
[00:00:00.000 --> 00:00:03.580]  現在到了正道的時間
[00:00:03.580 --> 00:00:07.680]  今天我們要看的這段經文
[00:00:07.680 --> 00:00:12.060]  是記載在舊約聖經的
[00:00:12.060 --> 00:00:15.560]  雙行本349頁
[00:00:15.560 --> 00:00:18.140]  今天要看的經文記載在
[00:00:18.140 --> 00:00:22.700]  舊約聖經的雙行本349頁
[00:00:22.700 --> 00:00:28.400]  是《士之記》的11章29到36節
[00:00:28.800 --> 00:00:31.920]  今天為我們分享訊息的是本堂的傳道
[00:00:31.920 --> 00:00:33.600]  吳景霖傳道
[00:00:33.600 --> 00:00:37.240]  他的講題是犯錯中的恩典
[00:00:37.240 --> 00:00:39.720]  在恩典中犯錯
[00:00:39.720 --> 00:00:43.480]  現在將時間交給吳景霖傳道
[00:00:43.480 --> 00:01:12.680]  (傳播)
[00:01:12.680 --> 00:01:17.000]  今天這堂道我形容得比較難聽
[00:01:17.000 --> 00:01:18.240]  為什麼比較難聽呢
[00:01:18.240 --> 00:01:20.040]  第一是因為經文比較多
[00:01:20.040 --> 00:01:23.560]  其實不單止是11章29到36節
[00:01:23.560 --> 00:01:25.480]  其實橫跨了很多的部分
[00:01:25.480 --> 00:01:27.840]  所以我請曾姑娘不用讀了
[00:01:27.840 --> 00:01:30.040]  留多一點時間給我
[00:01:30.040 --> 00:01:34.240]  讓我一邊跟大家講道一邊讀經
[00:01:34.240 --> 00:01:35.920]  另一方面就是
[00:01:35.920 --> 00:01:40.840]  其實這次這篇道令我想起很多
[00:01:40.840 --> 00:01:44.040]  在信主二十多年裡面
[00:01:44.040 --> 00:01:46.440]  聽到、見到的一些事情
[00:01:46.440 --> 00:01:49.320]  實在是很多不太好受的事情
[00:01:49.320 --> 00:01:51.840]  所以我這次這堂道
[00:01:51.840 --> 00:01:53.320]  我會講得比較白一點
[00:01:53.320 --> 00:01:54.800]  也不會轉回滅國
[00:01:54.800 --> 00:01:57.240]  可能有些事情是中言易語的
[00:01:57.240 --> 00:02:00.080]  所以希望大家不要介意
[00:02:00.080 --> 00:02:01.800]  但我認為作為一個傳道
[00:02:01.800 --> 00:02:03.920]  有時候經文這樣講的時候
[00:02:03.920 --> 00:02:05.480]  我就要這樣宣講
[00:02:05.480 --> 00:02:08.440]  第一點我要跟大家講的
[00:02:08.440 --> 00:02:11.080]  我給名字叫做
[00:02:11.080 --> 00:02:13.360]  「預計之中,意料之外」
[00:02:13.360 --> 00:02:16.080]  我們講的是耶復他故事
[00:02:16.080 --> 00:02:18.200]  耶復他故事其實有些事情
[00:02:18.200 --> 00:02:20.800]  是預計之中又意料之外的
[00:02:20.800 --> 00:02:23.440]  首先就是以色列人的處境
[00:02:23.440 --> 00:02:26.600]  其實我們講史詩記也講了一段時間了
[00:02:26.600 --> 00:02:29.640]  大家應該都發現史詩記有一個循環
[00:02:29.640 --> 00:02:32.080]  就是當以色列人
[00:02:32.080 --> 00:02:36.160]  他們行一些看來惡的事的時候
[00:02:36.160 --> 00:02:38.680]  耶和華就會興起一些敵人
[00:02:38.680 --> 00:02:41.000]  而這些敵人管治他們
[00:02:41.000 --> 00:02:43.160]  合制他們一段時間之後
[00:02:43.160 --> 00:02:46.280]  那些以色列人他們就會悔改
[00:02:46.280 --> 00:02:48.120]  求耶和華幫助
[00:02:48.120 --> 00:02:51.160]  然後耶和華就會為他們興起史詩
[00:02:51.160 --> 00:02:53.960]  是一個這樣重複又重複的循環
[00:02:53.960 --> 00:02:56.560]  以色列人和耶和華之間的關係
[00:02:56.560 --> 00:02:57.960]  我這樣形容
[00:02:57.960 --> 00:03:00.600]  好像一個很爛賭的賭仔
[00:03:00.600 --> 00:03:01.600]  一有錢
[00:03:01.600 --> 00:03:03.360]  一發工資就去澳門了
[00:03:03.360 --> 00:03:06.040]  賭完輸完借了大耳窿
[00:03:06.040 --> 00:03:08.840]  然後回來就求爸爸
[00:03:08.840 --> 00:03:12.240]  這個爸爸每一次都會幫他還錢
[00:03:12.240 --> 00:03:14.040]  每一次都出手救他
[00:03:14.040 --> 00:03:15.120]  但是救完之後
[00:03:15.120 --> 00:03:18.240]  轉過頭來兒子又去了澳門
[00:03:18.240 --> 00:03:20.360]  對於史詩記的讀者而言
[00:03:20.360 --> 00:03:22.360]  其實看了九章都是這樣
[00:03:22.360 --> 00:03:24.840]  這個循環不斷地重複又重複
[00:03:24.840 --> 00:03:27.760]  可以說第十章以色列人又來過
[00:03:27.760 --> 00:03:30.160]  這件事是預料之中的
[00:03:30.160 --> 00:03:31.960]  但是為什麼我說是意料之外
[00:03:31.960 --> 00:03:33.960]  因為這次和平時有點不同
[00:03:33.960 --> 00:03:35.960]  我們看第十章六節
[00:03:35.960 --> 00:03:39.560]  經文很清楚地列出了假神的名字
[00:03:39.560 --> 00:03:40.960]  朱巴力
[00:03:40.960 --> 00:03:43.160]  朱就是有很多意思的意思
[00:03:43.160 --> 00:03:44.160]  阿斯塔祿
[00:03:44.160 --> 00:03:45.160]  阿蘭的神明
[00:03:45.160 --> 00:03:46.160]  西頓的神明
[00:03:46.160 --> 00:03:47.360]  摩訶的神明
[00:03:47.360 --> 00:03:48.760]  阿滿人的神明
[00:03:48.760 --> 00:03:50.560]  非理事人的神明
[00:03:50.560 --> 00:03:54.760]  比平時這次列出的偶像名特別多
[00:03:54.760 --> 00:04:00.560]  其實意味著這次是以色列人犯罪犯得最厲害的一次
[00:04:00.560 --> 00:04:04.160]  而耶和華的反應和平時都很不同
[00:04:04.160 --> 00:04:06.160]  我們看十章十一到十四節
[00:04:06.160 --> 00:04:08.160]  耶和華對以色列人說
[00:04:08.160 --> 00:04:11.160]  我豈沒有救你們脫離埃及人
[00:04:11.160 --> 00:04:12.360]  阿摩利人
[00:04:12.360 --> 00:04:14.560]  阿滿人和非理事人嗎
[00:04:14.560 --> 00:04:15.560]  西頓人
[00:04:15.560 --> 00:04:18.360]  阿瑪力人和馬雲人欺壓你們
[00:04:18.360 --> 00:04:19.560]  你們哀求我
[00:04:19.560 --> 00:04:22.160]  我也請救你們脫離他們的手
[00:04:22.160 --> 00:04:25.560]  你們竟離棄我去侍奉別神
[00:04:25.560 --> 00:04:27.560]  所以我不再救你們了
[00:04:27.560 --> 00:04:30.560]  你們去哀求你們所選擇的神明
[00:04:30.560 --> 00:04:32.560]  你們遭急難的時候
[00:04:32.560 --> 00:04:35.560]  讓他們救你們吧
[00:04:35.560 --> 00:04:39.160]  大家聽不聽得出耶和華那種怒氣
[00:04:39.160 --> 00:04:41.560]  我救了你們N那麼多次
[00:04:41.560 --> 00:04:43.560]  每次都是這樣
