
[00:00:00.000 --> 00:00:02.000]  頂尖去平安
[00:00:02.000 --> 00:00:05.440]  剛才那段經文
[00:00:05.440 --> 00:00:07.440]  每一次當我讀的時候
[00:00:07.440 --> 00:00:11.840]  我就不期然想起這個北島翁
[00:00:11.840 --> 00:00:15.680]  這個北島翁就好像一個
[00:00:15.680 --> 00:00:19.080]  這個橢圓形的
[00:00:19.080 --> 00:00:21.080]  好像一個雞蛋的物品
[00:00:21.080 --> 00:00:23.080]  特別的地方就是
[00:00:23.080 --> 00:00:25.080]  當你大力推它的時候
[00:00:25.080 --> 00:00:27.760]  它都不會完全的跌倒的
[00:00:27.760 --> 00:00:30.600]  它很快就會反彈起來的
[00:00:30.600 --> 00:00:34.600]  這個北島翁這個名字是怎樣來的呢?
[00:00:34.600 --> 00:00:38.640]  在距離現在2700多年之前
[00:00:38.640 --> 00:00:40.640]  比耶穌更早之前
[00:00:40.640 --> 00:00:44.320]  在中國的春秋時期左右
[00:00:44.320 --> 00:00:46.320]  有一個楚國人
[00:00:46.320 --> 00:00:49.840]  他在山上撿到一塊大石頭
[00:00:49.840 --> 00:00:53.280]  他就覺得這塊大石頭裏面
[00:00:53.280 --> 00:00:56.480]  是一塊很漂亮很漂亮的玉
[00:00:56.480 --> 00:00:59.560]  於是就將這塊這麼漂亮的玉
[00:00:59.560 --> 00:01:03.200]  呈獻給當時楚國的皇帝
[00:01:03.200 --> 00:01:05.200]  但是那個皇帝不相信
[00:01:05.200 --> 00:01:08.000]  覺得只是普通的石頭
[00:01:08.000 --> 00:01:10.600]  接著這個皇帝死了之後
[00:01:10.600 --> 00:01:13.440]  他又再去呈獻給第二個皇帝
[00:01:13.440 --> 00:01:17.840]  第二個皇帝看到他這麼有信心
[00:01:17.840 --> 00:01:22.360]  他就找那些玉石鑒定家去看過了
[00:01:22.360 --> 00:01:24.640]  左看右看
[00:01:24.640 --> 00:01:27.760]  覺得都是普通石頭來的
[00:01:27.760 --> 00:01:30.800]  於是他就覺得這個人很煩
[00:01:30.800 --> 00:01:35.000]  整天都走來說這塊石頭是寶
[00:01:35.000 --> 00:01:38.120]  他覺得他犯了欺君之罪
[00:01:38.120 --> 00:01:41.960]  所以就將他兩隻腳斬了
[00:01:41.960 --> 00:01:43.320]  很慘的
[00:01:43.320 --> 00:01:45.320]  到這個皇帝死了之後
[00:01:45.320 --> 00:01:47.040]  到第三個皇帝了
[00:01:47.040 --> 00:01:48.320]  楚文王
[00:01:48.320 --> 00:01:50.800]  他上位了之後
[00:01:50.920 --> 00:01:55.320]  這個人又去求見這個皇帝了
[00:01:55.320 --> 00:01:57.320]  他就跟這個皇帝說
[00:01:57.320 --> 00:02:00.960]  他說玉石被定為環石
[00:02:00.960 --> 00:02:02.960]  就是一塊沒用的石頭
[00:02:02.960 --> 00:02:05.760]  終是被認為欺君
[00:02:05.760 --> 00:02:09.400]  我這麼忠心幫你找了一些好東西回來
[00:02:09.400 --> 00:02:12.080]  你覺得我是欺君
[00:02:12.080 --> 00:02:15.080]  這是神的悲哀
[00:02:15.080 --> 00:02:17.280]  這個楚文王聽了之後
[00:02:17.280 --> 00:02:19.880]  就覺得都信一下他
[00:02:19.880 --> 00:02:23.960]  於是就找人就割開了這塊石頭
[00:02:23.960 --> 00:02:26.520]  發覺到原來這塊石頭裏面
