
[00:00:00.000 --> 00:00:10.000]   各位弟兄姊妹晚安,因為我的電腦的時間是三十一分,不如我們先開始祈禱吧。
[00:00:14.000 --> 00:00:27.000]   很多謝主讓今天晚上,雖然有少少微雨,但是天氣都很清涼,很舒服,我們可以一齊來到他在神面前,再有查考聖經的時間。
[00:00:27.000 --> 00:00:56.000]   我們會來到去思想,和一齊去研讀阿伯拉罕的生平,都是一個相當重要的聖經人物,幫助我們能夠對他的人生有一個認識和學習,特別他是成為了神的朋友,這個都是我們大家很羨慕的,願你幫助帶領我們,一起在你面前等候禱告奉耶穌基督的名,阿們。
[00:00:56.000 --> 00:01:08.000]   希望能夠在九點前完結,過半小時大家聽回都不會太辛苦,如果太長兩個小時都會很辛苦。
[00:01:08.000 --> 00:01:30.000]   和大家先揭曉一下,雅各書的第二章,時時都教大家,如果新約的作者對舊約的一些聖經人物,他們的評價差不多是近乎神對他們的評價,因為作者他們是有神給他們的啟示的,
[00:01:30.000 --> 00:01:46.000]   所以他們這樣去幫這些舊約人物做一些概觀定論的宣告,其實是很重要的,就是說阿伯拉罕的人生可以達到這樣的水平,
[00:01:46.000 --> 00:02:10.000]   也都是對我們今天的一個挑戰,我們是不是真的有這樣的追求,好像阿伯拉罕一樣,第21節,如果長一點是第14節,雅各書的第二章14,一直到第26節,是講恩順清義的,
[00:02:10.000 --> 00:02:35.000]   14節開始,我的弟兄們,若有人說自己有信心卻沒有行為,有什麼益處呢?這信心能夠他嗎?若是弟兄或姐妹赤身露體,若即是假設,又缺了日用的飲食,你們中間有人對他們說,平平安安的去吧,
[00:02:35.000 --> 00:02:58.000]   願你們穿得暖吃得飽,卻不給他們身體所需用的,這有什麼益處呢?作者在這裡討論的就是,你的信心要有一個實際的行動去印證你真的這樣來相信和相信神,和愛自己的弟兄姐妹的,
[00:02:58.000 --> 00:03:16.000]   你眼見到,在一個這樣困局的弟兄姐妹,你只是說句話,打發他們走,打發他們走還要說得很冠冕堂皇的,平平安安的走,當時他們已經是赤身露體,又缺了日用的飲食,
[00:03:16.000 --> 00:03:40.000]   不是下個月要去五星級大酒店,尖東那個叫什麼名字,那個continental,那個就要結業了,重建了,在那裡吃一餐豪華的六星的自助餐,不是那些飲食,是缺了日用的飲食,而你就叫他們平平安安的走,
[00:03:40.000 --> 00:04:00.000]   所以這樣的信心根本是假的,第十七節,信心如果沒有行為就是死的,必有人說你有信心我有行為,你將你沒有行為的信心指給我看,我便藉著我的行為將我的信心指給你看,
[00:04:00.000 --> 00:04:23.000]   好像作出一個相應的行動,就是說你夠不夠膽挑戰你自己的信心,你是否真的只有講字,而你沒有實際的行動,作者就要來挑戰當時收信的這一班讀者,很多都是猶太人,猶太的信徒,
[00:04:23.000 --> 00:04:51.000]   第十九節,你信神只有一位,你信的不錯,鬼魔也信,卻是賤精,就是說鬼魔所認識的這一位做物主,他是帶著一份很深的敬畏,懼怕,而他實際真的不敢在神的面前做一些神不允許他做的事,一來證實有靈界,
[00:04:51.000 --> 00:05:05.000]   第二十節就是結論,他說虛浮的人,你願意知道沒有行為的信心是死的嗎,虛浮和沒有信心掛勾,然後突然之間就出現我們講的聖經人物,
[00:05:05.000 --> 00:05:31.000]   第二十一節,我們的祖宗阿伯拉罕,把他兒子以殺獻在壇上,樣樣都不講就講這件事,去證明他有信心,有行動,證明他實際真的講得出做得到,將自己的兒子獻為梵祭,準備獻為梵祭,
[00:05:31.000 --> 00:05:49.000]   豈不是因為行為清義嗎,所謂行為就是他聽從神的行動,所以不要混亂了保羅講的恩信清義,兩者是有不同的,其實兩者是沒有抵觸的,
[00:05:49.000 --> 00:06:11.000]   第二十二節,可見信心是和他的行為並行,而且信心因著行為才得以成全,這就應驗經上所說,阿伯拉罕信神,這就算為他的義,這節聖經記載在創世記第十五章第六節,
[00:06:11.000 --> 00:06:25.000]   這節聖經在新約出現很多很多次,所以將來我們一去到那些經文,我們就會詳細的討論,和將不同的經文出現在新約,保羅就很大量引用伯拉罕,
[00:06:25.000 --> 00:06:44.000]   所以我們有足夠的時間,將來看新約的時候,我們就去研讀這些經文,作者就引述這一句聖經,這樣才叫做清義,弟兄,和亞國書的修信讀者說,這樣才叫做清義,
[00:06:44.000 --> 00:06:56.000]   就是說伯拉罕在神的眼中被稱義,原因就是他真的有具體的行動去表白他的內心,
[00:06:56.000 --> 00:07:14.000]   接著這裡就說,最重要的就是這一句,就是我想和大家引述的這一句,就是豁兀之後,他又得稱為神的朋友,作者替伯拉罕作出一個人生的,
[00:07:14.000 --> 00:07:34.000]   似乎是一個無字名,無字名就是說,這個人一生行完他的信心之旅之後,這個人原來是成為神的朋友,很高很高的一個身份,很尊貴的身份,成為神的朋友,
[00:07:34.000 --> 00:07:55.000]   新約你知不知道誰是耶穌的朋友,這些冷知識,有沒有人可以說到,誰是耶穌的朋友,我想你們也估到,有沒有人可以回答,開咪回答,
[00:07:55.000 --> 00:08:12.000]   答錯不會扣分的,放心,大家一起給自己一個共鳴,新約稱為耶穌的朋友,只有一個家庭,就是在伯大尼的拉薩路,
[00:08:12.000 --> 00:08:30.000]   第25節,這裡說,妓女拉合接待使者,又放他們從別的路上出去,不也是一樣因行為稱艷,身體如果沒有靈魂是死的,信心如果沒有行為都是死的,
[00:08:30.000 --> 00:08:54.000]   所以作者是作出一個幾中肯的對真正的信心的評價,你有信心,在神的面前的真信心,必定付之於一個具體的行動,所以記得讀通這段聖經,不要跟保羅書信說的恩順正義有一個衝突,兩者不單止沒有衝突,而且是一個很好的和諧,
