
[00:00:00.000 --> 00:00:02.000]  本堂的堂主任牧師
[00:00:02.000 --> 00:00:04.400]  曾銳貴牧師在我們中間靜悟
[00:00:04.400 --> 00:00:06.200]  今日的講題是
[00:00:06.200 --> 00:00:08.800]  路加醫生論禱告
[00:00:08.800 --> 00:00:12.000]  經文當然在路加福音
[00:00:12.000 --> 00:00:15.600]  路加福音十一章一至十三節
[00:00:15.600 --> 00:00:17.600]  耶穌在一個地方禱告
[00:00:17.600 --> 00:00:18.600]  禱告完了
[00:00:18.600 --> 00:00:20.600]  有個門徒對他說
[00:00:20.600 --> 00:00:23.200]  主啊 求你教導我們禱告
[00:00:23.200 --> 00:00:26.800]  像約翰教導他的門徒一樣
[00:00:26.800 --> 00:00:28.800]  耶穌對他們說
[00:00:28.800 --> 00:00:31.200]  你們禱告的時候要說
[00:00:31.200 --> 00:00:34.200]  父啊 願人都尊你的名為聖
[00:00:34.200 --> 00:00:36.200]  願你的國降臨
[00:00:36.200 --> 00:00:39.800]  我們日用的飲食天天伺給我們
[00:00:39.800 --> 00:00:41.600]  赦免我們的罪
[00:00:41.600 --> 00:00:44.800]  因為我們也赦免凡虧欠我們的人
[00:00:44.800 --> 00:00:47.400]  不叫我們陷入試探
[00:00:47.400 --> 00:00:49.400]  耶穌又對他們說
[00:00:49.400 --> 00:00:52.200]  你們中間有誰一個朋友
[00:00:52.200 --> 00:00:54.200]  半夜到他那裡去
[00:00:54.200 --> 00:00:55.200]  對他說
[00:00:55.200 --> 00:00:58.400]  朋友 請借我三個餅
[00:00:58.400 --> 00:01:00.400]  因為我有一個朋友
[00:01:00.400 --> 00:01:02.400]  旅途中來到我這裡
[00:01:02.400 --> 00:01:05.400]  我沒有東西招待他
[00:01:05.400 --> 00:01:07.400]  那人在那裡回答
[00:01:07.400 --> 00:01:09.400]  不要打擾我了
[00:01:09.400 --> 00:01:11.400]  門已經關了
[00:01:11.400 --> 00:01:13.400]  孩子們和我都在床上了
[00:01:13.400 --> 00:01:15.400]  我不能起來給你
[00:01:15.400 --> 00:01:17.400]  我告訴你們
[00:01:17.400 --> 00:01:20.400]  雖不因他是朋友起來給他
[00:01:20.400 --> 00:01:24.400]  也會因他不顧面子地直求
[00:01:24.400 --> 00:01:26.400]  起來照他所需的給他
[00:01:26.400 --> 00:01:28.400]  我告訴你們
[00:01:28.400 --> 00:01:30.400]  祈求就給你們
[00:01:30.400 --> 00:01:32.400]  尋找就找到了
[00:01:32.400 --> 00:01:35.400]  叩門就給你們開門
[00:01:35.400 --> 00:01:38.400]  因為凡祈求的就得著
[00:01:38.400 --> 00:01:40.400]  尋找的就找到
[00:01:40.400 --> 00:01:44.400]  叩門的就給他開門
[00:01:44.400 --> 00:01:46.400]  你們中間作父親的
[00:01:46.400 --> 00:01:48.400]  誰有兒子求魚
[00:01:48.400 --> 00:01:51.400]  反拿蛇當魚給他呢
[00:01:51.400 --> 00:01:54.400]  求雞蛋反卡吞結子呢
[00:01:54.400 --> 00:01:56.400]  你們雖然不好
[00:01:56.400 --> 00:01:58.400]  尚且知道拿好東西給兒女
[00:01:58.400 --> 00:02:00.400]  何況天父
[00:02:00.400 --> 00:02:04.400]  他豈不更要把聖靈賜給求他的人嗎
[00:02:04.400 --> 00:02:06.400]  將時間交給周牧師
[00:02:07.400 --> 00:02:09.400]  各位弟兄姊妹早晨
[00:02:09.400 --> 00:02:12.400]  我們一起祈禱
[00:02:12.400 --> 00:02:16.400]  親愛的主我們再一次感謝你
[00:02:16.400 --> 00:02:18.400]  我們能夠在神的家
[00:02:18.400 --> 00:02:20.400]  神的殿來朝見
[00:02:20.400 --> 00:02:22.400]  來敬拜你
[00:02:22.400 --> 00:02:24.400]  我們更加可以來到
[00:02:24.400 --> 00:02:26.400]  弟兄姊妹每個禮拜日
[00:02:26.400 --> 00:02:28.400]  我們可以來到
[00:02:28.400 --> 00:02:30.400]  在教會裏面一起相交
[00:02:30.400 --> 00:02:33.400]  以致我們領受你的差遣
[00:02:33.400 --> 00:02:35.400]  你的教導
[00:02:35.400 --> 00:02:38.400]  使我們能夠在其他地方
[00:02:38.400 --> 00:02:41.400]  為主作見證
[00:02:41.400 --> 00:02:44.400]  願你繼續幫助我們
[00:02:44.400 --> 00:02:47.400]  使我們在禮拜堂所領會的
[00:02:47.400 --> 00:02:50.400]  心靈裏面所感受到
[00:02:50.400 --> 00:02:54.400]  從聖靈而來的交通
[00:02:54.400 --> 00:02:56.400]  默契、領受
[00:02:56.400 --> 00:03:00.400]  我們能夠將我們的生命
[00:03:00.400 --> 00:03:03.400]  在我們的生活展現出來
[00:03:03.400 --> 00:03:06.400]  願主施恩幫助
[00:03:06.400 --> 00:03:08.400]  今早我們能夠藉著
[00:03:08.400 --> 00:03:10.400]  盧家福音的作者
[00:03:10.400 --> 00:03:11.400]  盧家醫生
[00:03:11.400 --> 00:03:13.400]  來講論耶穌教導
[00:03:13.400 --> 00:03:15.400]  門徒禱告
[00:03:15.400 --> 00:03:18.400]  但願無論是這兩個比喻
[00:03:18.400 --> 00:03:20.400]  和那個應許
[00:03:20.400 --> 00:03:22.400]  我們都能夠從其中
[00:03:22.400 --> 00:03:24.400]  得到那個教訓
[00:03:24.400 --> 00:03:26.400]  我們一起在你面前等候仰望
[00:03:26.400 --> 00:03:30.400]  禱告奉耶穌基督的名
[00:03:30.400 --> 00:03:31.400]  阿們
[00:03:31.400 --> 00:03:33.400]  不知道你想祈禱
[00:03:33.400 --> 00:03:37.400]  最重要得到的英韻是什麼呢?
[00:03:37.400 --> 00:03:40.400]  今天應該有個答案了
[00:03:40.400 --> 00:03:42.400]  我們都有祈禱了
[00:03:42.400 --> 00:03:44.400]  你不相信耶穌之前
[00:03:44.400 --> 00:03:46.400]  相對會比較少
[00:03:46.400 --> 00:03:48.400]  當然有些拜偶像的
[00:03:48.400 --> 00:03:49.400]  例如我媽媽
[00:03:49.400 --> 00:03:51.400]  她們都會祈求的
[00:03:51.400 --> 00:03:54.400]  一定是和她們自己切身的
[00:03:54.400 --> 00:03:57.400]  例如為自己的兒女求福氣
[00:03:57.400 --> 00:03:59.400]  平安
[00:03:59.400 --> 00:04:00.400]  家宅
[00:04:00.400 --> 00:04:01.400]  很多這些事情
[00:04:01.400 --> 00:04:03.400]  中國人就更加
[00:04:03.400 --> 00:04:05.400]  一去到大的節日
[00:04:05.400 --> 00:04:07.400]  就要去祈禱
[00:04:07.400 --> 00:04:10.400]  但是原來猶太人他們都會祈禱的
[00:04:10.400 --> 00:04:14.400]  猶太人會問自己的一些屬靈領袖
[00:04:14.400 --> 00:04:15.400]  去祈禱
[00:04:15.400 --> 00:04:17.400]  教他們祈禱的
[00:04:17.400 --> 00:04:18.400]  所以你會見到
[00:04:18.400 --> 00:04:21.400]  當耶穌來祈禱的時候
[00:04:21.400 --> 00:04:23.400]  有一個門徒
[00:04:23.400 --> 00:04:25.400]  就問耶穌了
[00:04:25.400 --> 00:04:28.400]  一定是他看到耶穌的禱告
[00:04:28.400 --> 00:04:30.400]  他相當羨慕
[00:04:30.400 --> 00:04:31.400]  吸引他
[00:04:31.400 --> 00:04:33.400]  所以他就求耶穌
[00:04:33.400 --> 00:04:35.400]  教我們祈禱
[00:04:35.400 --> 00:04:37.400]  好像
[00:04:37.400 --> 00:04:38.400]  有屬靈導師
[00:04:38.400 --> 00:04:40.400]  施洗約翰
