
[00:00:00.000 --> 00:00:02.000]  鄧小妹早晨
[00:00:02.000 --> 00:00:04.000]  今年是鼠年
[00:00:04.000 --> 00:00:07.000]  所以我在此向大家拜個年
[00:00:07.000 --> 00:00:10.000]  恭祝大家鼠年蒙福
[00:00:10.000 --> 00:00:12.000]  身體健康
[00:00:12.000 --> 00:00:14.000]  以及事主得力
[00:00:14.000 --> 00:00:18.000]  鄧小妹我們和旁邊的主人拜個年
[00:00:18.000 --> 00:00:20.000]  好不好?
[00:00:29.000 --> 00:00:32.000]  提起老鼠
[00:00:32.000 --> 00:00:35.000]  我想很多人都怕怕的
[00:00:35.000 --> 00:00:36.000]  是不是?
[00:00:36.000 --> 00:00:38.000]  有沒有人不怕老鼠?
[00:00:38.000 --> 00:00:39.000]  舉起手
[00:00:39.000 --> 00:00:41.000]  我有興趣想問
[00:00:41.000 --> 00:00:43.000]  很多人都怕老鼠
[00:00:43.000 --> 00:00:45.000]  一提起老鼠都怕怕
[00:00:45.000 --> 00:00:46.000]  為什麼呢?
[00:00:46.000 --> 00:00:48.000]  因為覺得老鼠是什麼?
[00:00:48.000 --> 00:00:50.000]  很骯髒
[00:00:50.000 --> 00:00:51.000]  是不是?
[00:00:51.000 --> 00:00:54.000]  所以樣子又不太好看
[00:00:54.000 --> 00:00:56.000]  所以一見到老鼠就很怕怕
[00:00:56.000 --> 00:00:58.000]  不喜歡接觸老鼠
[00:00:58.000 --> 00:01:01.000]  不過除了一種老鼠你很喜歡
[00:01:01.000 --> 00:01:03.000]  是什麼老鼠?
[00:01:03.000 --> 00:01:06.000]  就是米奇老鼠
[00:01:06.000 --> 00:01:09.000]  除了米奇老鼠之外
[00:01:09.000 --> 00:01:11.000]  我想其他老鼠都怕怕的
[00:01:11.000 --> 00:01:14.000]  一見到老鼠就很怕怕
[00:01:14.000 --> 00:01:16.000]  既然今年是鼠年
[00:01:16.000 --> 00:01:19.000]  我也想和大家溫習一下
[00:01:19.000 --> 00:01:22.000]  到底老鼠有什麼特別呢?
[00:01:22.000 --> 00:01:24.000]  翻查資料
[00:01:24.000 --> 00:01:26.000]  原來老鼠都很厲害
[00:01:26.000 --> 00:01:29.000]  有幾百種類
[00:01:29.000 --> 00:01:35.000]  老鼠的數目是幾百億
[00:01:35.000 --> 00:01:38.000]  是人類的十倍
[00:01:38.000 --> 00:01:40.000]  厲害嗎?
[00:01:40.000 --> 00:01:43.000]  老鼠還有一樣東西很厲害
[00:01:43.000 --> 00:01:45.000]  繁殖力也很厲害
[00:01:45.000 --> 00:01:48.000]  一山就有很多隻
[00:01:48.000 --> 00:01:50.000]  一窩一窩
[00:01:50.000 --> 00:01:53.000]  所以你會發覺老鼠不單繁殖力厲害
[00:01:53.000 --> 00:01:55.000]  老鼠的生命力強不強?
[00:01:55.000 --> 00:01:57.000]  老鼠的生命力很強
