
[00:00:00.000 --> 00:00:02.000]  大家好,大英姐妹,主題面平安
[00:00:02.000 --> 00:00:06.000]  剛剛在天崇的講完後趕過來
[00:00:06.000 --> 00:00:12.000]  講到已經有點後沙了,不過都OK的
[00:00:12.000 --> 00:00:18.000]  今天大家看到台上有些蠟燭,有些setting
[00:00:18.000 --> 00:00:20.000]  到底是什麼呢?
[00:00:20.000 --> 00:00:23.000]  其實今天是一個特別的日子
[00:00:23.000 --> 00:00:27.000]  是張琳琦的第一個主日
[00:00:27.000 --> 00:00:31.000]  我第一次聽張琳琦的時候都心想是什麼呢?
[00:00:31.000 --> 00:00:33.000]  是不是人名呢?
[00:00:33.000 --> 00:00:35.000]  是不是胡善奇的朋友?
[00:00:35.000 --> 00:00:38.000]  張琳琦,姓張叫琳琦
[00:00:38.000 --> 00:00:44.000]  原來張琳琦是在講耶穌基督降生,聖誕節之前
[00:00:44.000 --> 00:00:51.000]  四個主日,這四個主日是他們有些主題去反思
[00:00:51.000 --> 00:00:54.000]  好讓我們去等候耶穌基督
[00:00:54.000 --> 00:00:59.000]  這四個主題分別用四支蠟燭代表
[00:00:59.000 --> 00:01:03.000]  有三支紫色,一支粉紫色或粉紅色
[00:01:03.000 --> 00:01:04.000]  代表什麼呢?
[00:01:04.000 --> 00:01:06.000]  第一支是醒悟
[00:01:06.000 --> 00:01:11.000]  按照節日,每一個主日點燃一支
[00:01:11.000 --> 00:01:15.000]  第一個是醒悟,第二個是悔改
[00:01:15.000 --> 00:01:18.000]  第三是喜樂,第四是平安
[00:01:18.000 --> 00:01:24.000]  多謝謝牧師讓我講這個時段
[00:01:24.000 --> 00:01:28.000]  其實向著這個方向好像比較好看
[00:01:28.000 --> 00:01:32.000]  這個時段我希望跟大家去反省
[00:01:32.000 --> 00:01:34.000]  第一個和第二個主日的主題
[00:01:34.000 --> 00:01:36.000]  就是醒悟和悔改
[00:01:36.000 --> 00:01:40.000]  也是透過今天的經文去反思
[00:01:40.000 --> 00:01:46.000]  到底我們應該用什麼心態去等候上帝
[00:01:46.000 --> 00:01:48.000]  其實這個主題有少少嚴肅
[00:01:48.000 --> 00:01:51.000]  所以我今天講到可能有些位置
[00:01:51.000 --> 00:01:56.000]  講得比較尖銳或語氣比較重
[00:01:56.000 --> 00:01:59.000]  希望大家體諒,我沒有惡意
[00:01:59.000 --> 00:02:04.000]  開始了,我們去到反思等候
[00:02:04.000 --> 00:02:07.000]  其實等候,我們經常在等一些東西
[00:02:07.000 --> 00:02:12.000]  我們要等很多東西,等人,等車,等位吃飯
[00:02:12.000 --> 00:02:16.000]  等老婆出門口,這件事很難等
[00:02:16.000 --> 00:02:19.000]  或者等老公回家,這件事也很難等
