
[00:00:00.000 --> 00:00:02.000]  經文
[00:00:02.000 --> 00:00:07.000]  經文是記載在啟示錄三章十四至二十二節
[00:00:07.000 --> 00:00:11.000]  啟示錄三章十四至二十二節
[00:00:11.000 --> 00:00:15.000]  在新約的第四百零二頁
[00:00:15.000 --> 00:00:20.000]  請聽我讀出啟示錄三章十四節
[00:00:20.000 --> 00:00:25.000]  你要寫信給奴隸家教會的使者
[00:00:25.000 --> 00:00:31.000]  說:那位衙門誠信真實的見證者
[00:00:31.000 --> 00:00:35.000]  神創造的根源於這項說
[00:00:35.000 --> 00:00:39.000]  我知道你的行為
[00:00:39.000 --> 00:00:41.000]  你也不冷也不熱
[00:00:41.000 --> 00:00:44.000]  我巴不得你或冷或熱
[00:00:44.000 --> 00:00:47.000]  既然你如溫水
[00:00:47.000 --> 00:00:49.000]  也不冷也不熱
[00:00:49.000 --> 00:00:53.000]  我要從我口中把你吐出去
[00:00:53.000 --> 00:00:56.000]  你說我是富足的
[00:00:56.000 --> 00:00:58.000]  已經發了財
[00:00:58.000 --> 00:01:00.000]  樣樣都不缺
[00:01:00.000 --> 00:01:03.000]  卻不知道你是困苦
[00:01:03.000 --> 00:01:04.000]  可憐
[00:01:04.000 --> 00:01:05.000]  貧窮
[00:01:05.000 --> 00:01:06.000]  癢眼
[00:01:06.000 --> 00:01:08.000]  赤身的
[00:01:08.000 --> 00:01:14.000]  我勸你向我買從火中鍛鍊出來的金紙
[00:01:14.000 --> 00:01:16.000]  使你富足
[00:01:16.000 --> 00:01:19.000]  又買白衣穿上
[00:01:19.000 --> 00:01:22.000]  使你赤身的羞恥不露出來
[00:01:22.000 --> 00:01:25.000]  又買眼藥抹你的眼睛
[00:01:25.000 --> 00:01:27.000]  使你能看見
[00:01:27.000 --> 00:01:30.000]  凡我所痛愛的
[00:01:30.000 --> 00:01:32.000]  我就責備管教
[00:01:32.000 --> 00:01:34.000]  所以
[00:01:34.000 --> 00:01:36.000]  你要發熱心
[00:01:36.000 --> 00:01:38.000]  也要悔改
