
[00:00:00.000 --> 00:00:02.000]  大兄姐妹 早安
[00:00:02.000 --> 00:00:06.720]  我們今早回到教會
[00:00:06.720 --> 00:00:08.720]  大家一路走的時候
[00:00:08.720 --> 00:00:12.720]  發覺有些陽光來普照
[00:00:12.720 --> 00:00:14.720]  我們感不感恩?
[00:00:14.720 --> 00:00:16.000]  很感恩
[00:00:16.000 --> 00:00:19.760]  因為這個星期都是整個星期下雨
[00:00:19.760 --> 00:00:24.240]  我們今天可以有這麼晴朗的天氣
[00:00:24.240 --> 00:00:26.240]  回到教會敬拜上帝
[00:00:26.240 --> 00:00:29.120]  這個真是上帝給我們很大的恩典
[00:00:29.120 --> 00:00:32.240]  也很感謝領唱的幾位弟兄姊妹
[00:00:32.240 --> 00:00:34.720]  帶領我們唱美好的詩歌
[00:00:34.720 --> 00:00:37.440]  叫我們心預備好
[00:00:37.440 --> 00:00:39.920]  我們來敬拜天父
[00:00:39.920 --> 00:00:45.040]  牧師今早跟大家思想的題目
[00:00:45.040 --> 00:00:48.480]  就是「屬靈沒有捷徑」
[00:00:48.480 --> 00:00:49.600]  簡單來說
[00:00:49.600 --> 00:00:52.880]  即是屬靈是沒有捷徑的
[00:00:52.880 --> 00:00:55.200]  為什麼沒有捷徑呢?
[00:00:55.200 --> 00:01:01.040]  我會引用一位大家較為陌生的人物
[00:01:01.040 --> 00:01:03.920]  不過剛才William也已經讀了
[00:01:03.920 --> 00:01:07.200]  這位人物叫西門
[00:01:07.200 --> 00:01:08.960]  不過你要搞清楚
[00:01:08.960 --> 00:01:12.160]  「似西門」就不同「比西門」
[00:01:12.160 --> 00:01:16.480]  你不要以為西門就是耶穌的門徒西門
[00:01:16.480 --> 00:01:17.200]  不是
[00:01:17.200 --> 00:01:22.320]  這是在撒瑪利亞城裡面
[00:01:22.320 --> 00:01:25.680]  一個行邪術的西門
[00:01:25.680 --> 00:01:26.800]  分得清嗎?
[00:01:26.800 --> 00:01:30.720]  所以我們不要混淆兩個人
[00:01:30.720 --> 00:01:35.760]  剛才的經文也已經中讀了
[00:01:35.760 --> 00:01:40.320]  我為什麼要今天去引用這個人物呢?
[00:01:40.320 --> 00:01:47.600]  是因為這個人物是一個反面的教材
[00:01:47.600 --> 00:01:49.360]  所以各位弟兄姊妹們
[00:01:49.360 --> 00:01:52.000]  我們要引以為鑒
[00:01:52.000 --> 00:01:59.680]  要警惕不要讓西門的問題
[00:01:59.680 --> 00:02:02.800]  同樣發生在我們身上
[00:02:02.800 --> 00:02:07.360]  我們今天看到這個行邪術的西門
[00:02:07.360 --> 00:02:09.200]  他有什麼背景呢?
[00:02:09.200 --> 00:02:13.440]  原來這個人其實不用說什麼
[00:02:13.440 --> 00:02:15.680]  他的綽號已經不好
[00:02:15.680 --> 00:02:17.280]  叫「行邪術」
[00:02:17.280 --> 00:02:18.800]  你明白我的意思嗎?
[00:02:18.800 --> 00:02:22.640]  「行邪術」不放好東西
[00:02:22.640 --> 00:02:25.440]  就像有人說這個人撈偏門
[00:02:25.440 --> 00:02:32.640]  這個人專門搞東搞西
[00:02:32.640 --> 00:02:37.440]  他的綽號已經不好
[00:02:37.440 --> 00:02:39.680]  如果我們再看他的背景
[00:02:39.680 --> 00:02:41.840]  他有四個問題
[00:02:41.840 --> 00:02:43.840]  這邊四個問題
[00:02:43.840 --> 00:02:50.000]  第一,原來在《小學人傳》的這一章經文
[00:02:50.000 --> 00:02:54.240]  第九節開始已經描述這個人
[00:02:54.240 --> 00:02:56.160]  描述他是怎樣呢?
[00:02:56.160 --> 00:02:59.040]  第一,妄自尊大
[00:02:59.040 --> 00:03:01.280]  如果你有時間可以回去慢慢看
[00:03:01.280 --> 00:03:04.960]  這個人第一個不好的地方是妄自尊大
[00:03:04.960 --> 00:03:09.280]  即是他凝聯、凝威
[00:03:09.280 --> 00:03:13.040]  要人尊重他
[00:03:13.040 --> 00:03:18.000]  他用他的邪術來迷惑人
[00:03:18.000 --> 00:03:20.080]  透過邪術迷惑人
[00:03:20.080 --> 00:03:26.800]  你知道有些人對邪術的事情很驚訝
[00:03:26.800 --> 00:03:32.080]  看到這個人這麼有本領
[00:03:32.080 --> 00:03:36.880]  可以做這麼奇特的事情
[00:03:36.880 --> 00:03:39.840]  這麼奇怪的東西
[00:03:39.840 --> 00:03:41.920]  這麼驚訝的事情都可以做到
[00:03:41.920 --> 00:03:49.360]  所以這班撒瑪利亞的人開始被西門迷惑
[00:03:49.360 --> 00:03:53.040]  而且聽他的話
[00:03:53.040 --> 00:03:54.560]  他說怎樣就怎樣
[00:03:54.560 --> 00:03:58.560]  這是第二個背景
[00:03:58.560 --> 00:04:00.880]  第三個背景
[00:04:00.880 --> 00:04:06.400]  西門這個人也是一個機會主義者
[00:04:06.400 --> 00:04:13.600]  即是他很懂得捉緊機會、捉緊利益
[00:04:13.600 --> 00:04:16.960]  哪裡有好處、哪裡有好處
[00:04:16.960 --> 00:04:19.440]  他就捉緊了
[00:04:19.440 --> 00:04:20.800]  大家明白我的意思嗎?
[00:04:20.800 --> 00:04:26.880]  所以當肥利去到撒瑪利亞傳福音的時候
[00:04:26.880 --> 00:04:28.880]  大家有印象嗎?
[00:04:28.880 --> 00:04:32.640]  這個城本來是烏煙瘴氣的
[00:04:32.640 --> 00:04:35.200]  後來肥利傳了福音
[00:04:35.200 --> 00:04:36.640]  介紹基督
[00:04:36.640 --> 00:04:38.400]  又說出污鬼
[00:04:38.400 --> 00:04:41.360]  又醫治瘸腿的、癱瘓的
[00:04:41.360 --> 00:04:42.560]  醫治不少病人
[00:04:42.560 --> 00:04:44.720]  結果那些人看到
[00:04:44.720 --> 00:04:49.040]  原來上帝的福音是這麼奇妙、這麼有能力的
[00:04:49.040 --> 00:04:54.640]  城裏的人就好像有一個屬靈的復興
[00:04:54.640 --> 00:04:57.440]  一個靈性上的復甦
[00:04:57.440 --> 00:04:59.040]  所以聖經記載
[00:04:59.040 --> 00:05:03.120]  這個城裏的人大有歡喜
[00:05:03.120 --> 00:05:05.120]  用吉克的說話來說
[00:05:05.120 --> 00:05:07.760]  就是叫做皆大歡喜
[00:05:07.760 --> 00:05:12.640]  這個西門看到這樣的光景
[00:05:12.640 --> 00:05:17.600]  他都很開心
[00:05:17.600 --> 00:05:24.000]  很難得我們的城突然間變了天
[00:05:24.000 --> 00:05:28.320]  所以看到肥利這麼有能力
[00:05:28.320 --> 00:05:31.440]  這麼可以行神蹟
