
[00:00:00.000 --> 00:00:06.000]  至於你,你所講的,總要合乎那健全的教導
[00:00:06.000 --> 00:00:12.000]  勸老年人要有節制、端正、刻己
[00:00:12.000 --> 00:00:17.000]  在信心、愛心、耐心上都要健全
[00:00:17.000 --> 00:00:23.000]  又要勸年長的婦女,在操守上公正
[00:00:23.000 --> 00:00:27.000]  不說蠶言、不作酒的奴隸
[00:00:27.000 --> 00:00:30.000]  用善道教導人
[00:00:30.000 --> 00:00:36.000]  好指教年輕的婦女,愛丈夫、愛兒女
[00:00:36.000 --> 00:00:40.000]  刻己、貞潔、禮家、善良
[00:00:40.000 --> 00:00:45.000]  信服自己的丈夫,免得凡的道被毀謗
[00:00:45.000 --> 00:00:50.000]  同樣要勸年輕人凡事刻己
[00:00:53.000 --> 00:00:57.000]  你要顯出自己是好行為的榜樣
[00:00:57.000 --> 00:01:01.000]  在教導上要正直、莊重
[00:01:01.000 --> 00:01:05.000]  言語健全,無可指責
[00:01:05.000 --> 00:01:12.000]  使那反對的人因說不出我們有什麼不好而自覺慚愧
[00:01:12.000 --> 00:01:17.000]  要勸僕人信服自己的主人
[00:01:17.000 --> 00:01:21.000]  凡是討他的喜悅,不可領撞他
[00:01:21.000 --> 00:01:23.000]  不可施捨財物
[00:01:23.000 --> 00:01:27.000]  要凡事顯出完美的忠誠
[00:01:27.000 --> 00:01:32.000]  好事事都能榮耀我們救主神的教導
[00:01:32.000 --> 00:01:34.000]  請多傳道
[00:01:34.000 --> 00:01:51.000]  足夠法定人數
[00:01:52.000 --> 00:01:54.000]  提神
[00:01:55.000 --> 00:01:57.000]  尊佳的大兄姊妹平安
[00:01:57.000 --> 00:02:03.000]  雖然近日我們知道受疫情氣氛的感染
[00:02:03.000 --> 00:02:05.000]  但今日是年初九
[00:02:05.000 --> 00:02:08.000]  都是新年的節日氣氛
[00:02:08.000 --> 00:02:11.000]  祝大家身心靈健康
[00:02:11.000 --> 00:02:14.000]  希望今年大家不單身體健康
[00:02:14.000 --> 00:02:16.000]  心靈也要健康
[00:02:16.000 --> 00:02:20.000]  作為基督徒我們一定明白
[00:02:20.000 --> 00:02:24.000]  神的恩典是無條件施予給我們
[00:02:24.000 --> 00:02:27.000]  不是用我們什麼行為獲取得到
[00:02:27.000 --> 00:02:31.000]  但當我們領受了神的恩典後
[00:02:31.000 --> 00:02:34.000]  我們又如何回應呢?
[00:02:34.000 --> 00:02:38.000]  當然信徒可以有很多不同的方式回應
[00:02:38.000 --> 00:02:42.000]  因著個人的恩賜、信心、領受而有所不同
[00:02:42.000 --> 00:02:44.000]  而其中一種回應方式
[00:02:44.000 --> 00:02:50.000]  就是要立志行事為人要與恩典相稱的人生
[00:02:50.000 --> 00:02:52.000]  所以今日我會引用
[00:02:52.000 --> 00:02:55.000]  多書二章一至十節的經文
[00:02:55.000 --> 00:02:58.000]  以行事與恩典相稱作為講題
[00:02:58.000 --> 00:03:05.000]  和大家分享如何做到行事與恩典相稱的秘訣和目的
[00:03:05.000 --> 00:03:08.000]  開始時我們有一個祈禱
[00:03:08.000 --> 00:03:11.000]  「初日主,我們感謝祢的拯救
[00:03:11.000 --> 00:03:14.000]  讓我們因著相信祢
[00:03:14.000 --> 00:03:17.000]  生命能得到一個改變」
[00:03:17.000 --> 00:03:21.000]  這種改變的力量不是來自我們自己而是來自祢
[00:03:21.000 --> 00:03:27.000]  然而我們改變了的生命仍然很幼嫩、很脆弱
[00:03:27.000 --> 00:03:30.000]  如果想切割成長的話
[00:03:30.000 --> 00:03:33.000]  就需要祢繼續的引導和保守
[00:03:33.000 --> 00:03:38.000]  今日求主的話語能夠災到我們每一個
[00:03:38.000 --> 00:03:41.000]  每一個都能夠立志跟隨祢
[00:03:41.000 --> 00:03:44.000]  都能夠按著主耶穌基督的心意
[00:03:44.000 --> 00:03:47.000]  能夠活出一個豐盛的人生
[00:03:47.000 --> 00:03:50.000]  我們的祈禱是奉主耶穌基督的聖名祈求
[00:03:50.000 --> 00:03:51.000]  阿們
[00:03:51.000 --> 00:03:55.000]  開始講到先我們先了解經文的背景
[00:03:55.000 --> 00:03:59.000]  根據寶羅寫作寫寶羅書信的次序
[00:03:59.000 --> 00:04:04.000]  一般學者都會認為提多書寫作的時期
[00:04:04.000 --> 00:04:06.000]  是在提摩太前書之後
[00:04:06.000 --> 00:04:09.000]  而在提摩太後書之前
[00:04:09.000 --> 00:04:12.000]  提多當時的侍奉處境
[00:04:12.000 --> 00:04:16.000]  都好像提摩太在二佛所時一樣
[00:04:16.000 --> 00:04:21.000]  寶羅要提多在克里特島裏將教會組織起來
[00:04:21.000 --> 00:04:27.000]  並處理滲透在教會裏的假教師的危機
[00:04:27.000 --> 00:04:33.000]  在第一章提到寶羅要求提多在克里特島設立一個長老
[00:04:33.000 --> 00:04:36.000]  並且提出做長老的資格
[00:04:36.000 --> 00:04:40.000]  另外亦提到有些猶太的假教師
[00:04:40.000 --> 00:04:44.000]  將不應該教導的事教導人
[00:04:44.000 --> 00:04:46.000]  在一章十四節
[00:04:46.000 --> 00:04:49.000]  他所講的就是無稽的傳說
[00:04:49.000 --> 00:04:52.000]  以及背棄真理之人的命令
[00:04:52.000 --> 00:04:56.000]  即是以人的規範取代神的命令
[00:04:56.000 --> 00:04:59.000]  所以寶羅在一章最後的十六節
[00:04:59.000 --> 00:05:01.000]  他作出了一個總結
[00:05:01.000 --> 00:05:12.000]  他就說他們宣稱認識神卻在行為上否認祂
[00:05:12.000 --> 00:05:15.000]  所以寶羅在第二章一開始
[00:05:15.000 --> 00:05:19.000]  就開宗明義地向提多指出
[00:05:19.000 --> 00:05:21.000]  二章的一節
