
[00:00:00.000 --> 00:00:02.000]  各位大英姐妹們早安
[00:00:02.000 --> 00:00:04.000]  很久沒見了
[00:00:04.000 --> 00:00:07.120]  很久沒見 大家都有一點新形象
[00:00:07.120 --> 00:00:08.800]  不過都認得的
[00:00:08.800 --> 00:00:11.920]  很久沒見 但是呢
[00:00:11.920 --> 00:00:13.920]  這次見面好像
[00:00:13.920 --> 00:00:15.920]  好像是不是隔了
[00:00:15.920 --> 00:00:17.920]  不只是時間內
[00:00:17.920 --> 00:00:21.920]  我們隔了2019年
[00:00:21.920 --> 00:00:26.160]  再隔了2020年開始疫情
[00:00:26.160 --> 00:00:29.120]  現在還在疫情當中
[00:00:29.120 --> 00:00:31.120]  好像發生了很多事故
[00:00:31.120 --> 00:00:33.120]  然後今天又再見面
[00:00:33.120 --> 00:00:35.120]  好像很遙遠
[00:00:35.120 --> 00:00:37.120]  但是原來
[00:00:37.120 --> 00:00:40.120]  其實我們很近
[00:00:40.120 --> 00:00:44.120]  我每次在這裏受訪的時候
[00:00:44.120 --> 00:00:46.120]  每次要找人載我過去
[00:00:46.120 --> 00:00:50.120]  再不然就坐兩輛車去元朗再回去
[00:00:50.120 --> 00:00:53.120]  我聽到原來走過來是40分鐘
[00:00:53.120 --> 00:00:57.120]  原來我們是相差40分鐘的距離
[00:00:57.120 --> 00:01:01.120]  好像相差了很遙遠
[00:01:01.120 --> 00:01:05.120]  你和你隔壁的相差了多遠
[00:01:05.120 --> 00:01:07.120]  一張椅子
[00:01:07.120 --> 00:01:09.120]  兩張椅子
[00:01:09.120 --> 00:01:11.120]  還是只是兩個口罩的距離
[00:01:11.120 --> 00:01:16.120]  兩個口罩的距離
[00:01:16.120 --> 00:01:19.120]  是多遙遠的距離
[00:01:19.120 --> 00:01:23.120]  我想問一下
[00:01:23.120 --> 00:01:27.120]  你和你隔壁附近的家庭上一次一起吃飯是何時呢
[00:01:27.120 --> 00:01:29.120]  是不是2018年呢
[00:01:29.120 --> 00:01:31.120]  不是吧
[00:01:31.120 --> 00:01:37.120]  我記得我和謝牧師我們都是在木匯
[00:01:37.120 --> 00:01:39.120]  我們總要找一下弟兄姊妹的時候
[00:01:39.120 --> 00:01:43.120]  你總不能夠去別人的家庭裏面
[00:01:43.120 --> 00:01:45.120]  我們一個人
[00:01:45.120 --> 00:01:47.120]  你找一個人來我們二人餐
[00:01:47.120 --> 00:01:49.120]  因為現在只可以二人限聚令
[00:01:49.120 --> 00:01:51.120]  記不記得
[00:01:51.120 --> 00:01:53.120]  二人限聚令的時候一對一的時候
[00:01:53.120 --> 00:01:59.120]  約飲茶要訂四張桌子
[00:01:59.120 --> 00:02:03.120]  原來我們的距離就是
[00:02:03.120 --> 00:02:09.120]  大家要有一個疫情的距離
[00:02:09.120 --> 00:02:11.120]  有相交的距離
[00:02:11.120 --> 00:02:13.120]  弟兄姊妹
[00:02:13.120 --> 00:02:19.120]  你和你隔壁的相差距離有多遙遠
[00:02:19.120 --> 00:02:25.120]  我很久沒有見過大家
[00:02:25.120 --> 00:02:29.120]  很開心地說聲Hi
[00:02:29.120 --> 00:02:31.120]  搖手
[00:02:31.120 --> 00:02:33.120]  你可不可以和你隔壁附近
[00:02:33.120 --> 00:02:35.120]  特別不是你家人的人
[00:02:35.120 --> 00:02:37.120]  Hi呀Hi
[00:02:37.120 --> 00:02:39.120]  激一激
[00:02:39.120 --> 00:02:43.120]  是不是
[00:02:43.120 --> 00:02:47.120]  我們很久都很靜默了
[00:02:47.120 --> 00:02:51.120]  很安靜地
[00:02:51.120 --> 00:02:53.120]  我們好像時時都在默想
[00:02:53.120 --> 00:02:55.120]  過日子
[00:02:55.120 --> 00:02:57.120]  讓你默想的日子
[00:02:57.120 --> 00:02:59.120]  可以一起去默想
[00:02:59.120 --> 00:03:03.120]  今天我們都說祈禱
[00:03:03.120 --> 00:03:05.120]  不過說耶穌基督的祈禱
[00:03:05.120 --> 00:03:07.120]  祈禱的時候
[00:03:07.120 --> 00:03:09.120]  可以不止一個人
[00:03:09.120 --> 00:03:11.120]  耶穌基督的祈禱被人寫了下來
[00:03:11.120 --> 00:03:13.120]  祈禱的時候不止祂一個人
[00:03:13.120 --> 00:03:15.120]  祂自己一個人的時候
[00:03:15.120 --> 00:03:17.120]  祈禱的時候
[00:03:17.120 --> 00:03:19.120]  幾大聲都沒有人寫下來
[00:03:19.120 --> 00:03:21.120]  還要寫約翰福音
[00:03:21.120 --> 00:03:23.120]  寫約翰福音的時候
[00:03:23.120 --> 00:03:25.120]  第一世紀都快完結了
[00:03:25.120 --> 00:03:27.120]  這是耶穌基督的祈禱
[00:03:27.120 --> 00:03:31.120]  耶穌基督祈禱什麼呢
[00:03:31.120 --> 00:03:33.120]  祂說
[00:03:33.120 --> 00:03:35.120]  我是為他們
[00:03:35.120 --> 00:03:37.120]  這班門徒祈禱
[00:03:37.120 --> 00:03:39.120]  不是為世人祈禱
[00:03:39.120 --> 00:03:43.120]  因為是你所賜給我的人
[00:03:43.120 --> 00:03:45.120]  本來這班門徒是屬於神的
[00:03:45.120 --> 00:03:47.120]  是你賜給耶穌的
[00:03:47.120 --> 00:03:49.120]  本來是屬於你的
[00:03:49.120 --> 00:03:51.120]  現在我為他們祈禱
[00:03:51.120 --> 00:03:53.120]  但我不止為他們祈禱
[00:03:53.120 --> 00:03:55.120]  也為信我的人祈禱
[00:03:55.120 --> 00:03:57.120]  我想問一下
[00:03:57.120 --> 00:03:59.120]  接下來我們要看耶穌基督的禱告
[00:03:59.120 --> 00:04:01.120]  和你有沒有關係
[00:04:01.120 --> 00:04:03.120]  有啊,你是信徒
