
[00:00:00.000 --> 00:00:06.880]  多謝主今天晚上再一次我們可以來到去研讀舊約的十五議記上
[00:00:06.880 --> 00:00:16.280]  幫助我們能夠有系統的去了解經文當時作者想要帶出的重要的真理
[00:00:16.280 --> 00:00:19.280]  特別是整個時代的轉變
[00:00:19.280 --> 00:00:25.760]  由一個未有王的以色列國慢慢演進
[00:00:25.760 --> 00:00:31.600]  去到他們開始有自己的王國的制度
[00:00:31.600 --> 00:00:35.120]  裡面有什麼需要我們去留心
[00:00:35.120 --> 00:00:39.560]  以及要在我們後世要跟隨的
[00:00:39.560 --> 00:00:42.880]  求主都讓我們能夠掌握明白
[00:00:42.880 --> 00:00:44.880]  我們仰望在你的面前
[00:00:44.880 --> 00:00:46.480]  多謝你聽我們禱告
[00:00:46.480 --> 00:00:48.640]  奉耶穌基督的名
[00:00:48.640 --> 00:00:50.640]  阿們
[00:00:50.640 --> 00:00:54.480]  好,我先設定了毛連
[00:00:54.480 --> 00:00:56.480]  你幫忙去加人進來
[00:00:56.480 --> 00:00:57.600]  如果有人要進來
[00:00:57.600 --> 00:00:59.600]  但應該自己進來都可以進來的
[00:00:59.600 --> 00:01:04.720]  我們可以開始了
[00:01:04.720 --> 00:01:07.360]  又給回一點記憶
[00:01:07.360 --> 00:01:12.800]  我們十五議記上處理了頭三章
[00:01:12.800 --> 00:01:15.400]  其實作者就是想告訴我們
[00:01:15.400 --> 00:01:19.640]  有一位很重要的先知出現
[00:01:19.640 --> 00:01:21.640]  就是薩姆爾
[00:01:21.640 --> 00:01:23.640]  他是怎麼來的
[00:01:23.640 --> 00:01:28.760]  神怎麼為當時的以色列人預備先知
[00:01:28.760 --> 00:01:31.760]  而且也說得很清楚
[00:01:31.760 --> 00:01:35.760]  在那段很長的事司時代
[00:01:35.760 --> 00:01:40.840]  有450年的《小道行傳》13章告訴我們
[00:01:40.840 --> 00:01:44.640]  告訴我們沒有先知是很長的年日
[00:01:44.640 --> 00:01:47.960]  直到薩姆爾的出現
[00:01:47.960 --> 00:01:51.800]  神為他們預備就有先知了
[00:01:51.800 --> 00:01:54.880]  所以十五議記上的一至三章
[00:01:54.880 --> 00:01:57.600]  就是講先知的出現
