
[00:00:00.000 --> 00:00:02.480]  請姐妹主女們平安
[00:00:02.480 --> 00:00:06.440]  能夠和大家再一次一起來思想神的話語
[00:00:06.440 --> 00:00:09.280]  我們一起簡單祈禱
[00:00:09.280 --> 00:00:14.800]  多謝主讓我們在晚上能夠安靜在禮拜堂
[00:00:14.800 --> 00:00:19.320]  神的電在聖靈的引導感動之下
[00:00:19.320 --> 00:00:21.880]  我們來向著造物的主
[00:00:21.880 --> 00:00:24.520]  這位永恆的真神
[00:00:24.520 --> 00:00:26.880]  和我們的救主耶穌
[00:00:26.880 --> 00:00:30.040]  來敬拜、來朝見
[00:00:30.040 --> 00:00:34.360]  今天晚上很盼望我們再一次思想
[00:00:34.360 --> 00:00:37.480]  主耶穌如何廢掉這個冤仇
[00:00:37.480 --> 00:00:42.920]  如何將隔斷的牆拆毀
[00:00:42.920 --> 00:00:50.320]  以及如何建造神藉著聖靈居住的聖殿
[00:00:50.320 --> 00:00:53.160]  就是我們這群屬神的兒女
[00:00:53.160 --> 00:00:56.000]  無論是猶太人、外邦人
[00:00:56.000 --> 00:00:59.520]  不同的民族、不同的背景
[00:00:59.520 --> 00:01:04.040]  都能夠被納入在這個神的家裡面
[00:01:04.040 --> 00:01:07.040]  是一個浩大永恆的工程
[00:01:07.040 --> 00:01:09.040]  我們能夠成為一份子
[00:01:09.040 --> 00:01:11.760]  是一件極其寶貴的事
[00:01:11.760 --> 00:01:17.520]  將今天晚上我們的信息仰望在神的手中
[00:01:17.520 --> 00:01:21.040]  這樣禱告奉耶穌基督的名
[00:01:21.040 --> 00:01:22.640]  阿們
[00:01:22.640 --> 00:01:27.320]  也嘗試用Papon給大家掌握
[00:01:27.320 --> 00:01:33.400]  我們來看看這段經文
[00:01:33.400 --> 00:01:36.520]  如果我們看這個分段的時候
[00:01:36.520 --> 00:01:40.960]  第二章有兩個重要的段落
[00:01:40.960 --> 00:01:45.760]  一到第十節是講每一個基督徒
[00:01:45.760 --> 00:01:51.280]  你最終要在神的恩典的改變下
[00:01:51.280 --> 00:01:53.520]  你要來行善
[00:01:53.520 --> 00:01:56.400]  但是保羅一而再重申
[00:01:56.400 --> 00:01:59.920]  一切的生命改變是恩典
[00:01:59.920 --> 00:02:02.760]  不是我們的行為
[00:02:02.760 --> 00:02:05.040]  免得有人自誇
[00:02:05.040 --> 00:02:10.800]  一切都是神在我們生命裡面的拯救、恩典
[00:02:10.800 --> 00:02:13.920]  這樣帶進從第十一節開始
[00:02:13.920 --> 00:02:15.880]  十一和第十二節
[00:02:15.880 --> 00:02:18.160]  不斷提到基督徒
[00:02:18.160 --> 00:02:21.160]  已不鎖的教會的弟兄姊妹
[00:02:21.160 --> 00:02:23.480]  你們要記得
[00:02:23.480 --> 00:02:26.320]  你們要記得你們為什麼會蒙召
[00:02:26.320 --> 00:02:28.720]  不過從另一個角度
[00:02:28.720 --> 00:02:31.400]  第十一到第十二節
[00:02:31.400 --> 00:02:36.360]  主耶穌就是拆牆者
[00:02:36.360 --> 00:02:41.840]  拆了阻礙我們與猶太人
[00:02:41.840 --> 00:02:46.920]  或者與神和好的牆
[00:02:46.920 --> 00:02:49.160]  耶穌拆毀了
[00:02:49.160 --> 00:02:52.440]  所以第二章的十一、十二節
[00:02:52.440 --> 00:02:54.280]  就是他拆毀之後
[00:02:54.280 --> 00:02:57.040]  如何藉著自己的身體
[00:02:57.040 --> 00:03:00.320]  來建造一個新的房屋
[00:03:00.320 --> 00:03:02.800]  所以拆毀和建造
[00:03:02.800 --> 00:03:05.360]  就是主耶穌告訴我們
[00:03:05.360 --> 00:03:08.160]  當然藉著使徒保羅
[00:03:08.160 --> 00:03:11.320]  在已不鎖書的時代
[00:03:11.320 --> 00:03:14.240]  保羅寫這封信的時候
[00:03:14.240 --> 00:03:16.920]  猶太人的聖殿
[00:03:16.920 --> 00:03:20.320]  由大希律王建造的聖殿
[00:03:20.320 --> 00:03:22.920]  稱為第二聖殿
[00:03:22.920 --> 00:03:25.320]  接近完成了
[00:03:25.320 --> 00:03:27.880]  當然到了主後的七十年
[00:03:27.880 --> 00:03:31.800]  這個聖殿就被羅馬人拆毀
[00:03:31.800 --> 00:03:37.040]  就是說你想像一個很石破天驚的
[00:03:37.040 --> 00:03:39.920]  就是保羅這位宣教士
[00:03:39.920 --> 00:03:42.560]  這位猶太人
[00:03:42.560 --> 00:03:44.720]  居然告訴我們
[00:03:44.720 --> 00:03:47.160]  外邦的弟兄姊妹
[00:03:47.160 --> 00:03:49.680]  你因為耶穌的十字架
[00:03:49.680 --> 00:03:54.320]  你可以進到神的面前
[00:03:54.320 --> 00:03:58.560]  在這個物質的聖殿裡面
[00:03:58.560 --> 00:04:01.760]  有四個院
[00:04:01.760 --> 00:04:05.080]  最外面叫做外邦人院
[00:04:05.080 --> 00:04:07.360]  只是外邦人上來守節
[00:04:07.360 --> 00:04:09.520]  你可以在那裡
[00:04:09.520 --> 00:04:12.440]  那面牆有個告示
[00:04:12.440 --> 00:04:16.600]  假如你跨越了這個院
[00:04:16.600 --> 00:04:19.200]  去到裡面的院
[00:04:19.200 --> 00:04:21.960]  有什麼危險
[00:04:21.960 --> 00:04:23.080]  死亡
[00:04:23.080 --> 00:04:25.560]  你自己各自處理
[00:04:25.560 --> 00:04:29.080]  真的會被人逼迫
[00:04:29.080 --> 00:04:31.560]  《使徒行傳》記載過
[00:04:31.560 --> 00:04:33.800]  在二十一章的時候
[00:04:33.800 --> 00:04:37.600]  保羅在聖殿附近行走
[00:04:37.600 --> 00:04:39.920]  當時他帶著一個外邦人
[00:04:39.920 --> 00:04:41.520]  特羅菲摩
[00:04:41.520 --> 00:04:45.160]  在安提阿上來的猶太人
