
[00:00:00.000 --> 00:00:05.000]  各位電影姐妹,中午了,我們講午安了
[00:00:05.000 --> 00:00:12.000]  很開心和大家一起在聖誕節前的一個星期裡,我們一起來崇拜
[00:00:12.000 --> 00:00:17.000]  今天我們會講《士師記》第九章
[00:00:17.000 --> 00:00:22.000]  經文有57節,今天讀不完,因為今天會講
[00:00:22.000 --> 00:00:32.000]  今天我們講道的風格是不同的,我們會講故事的形式,花20多分鐘講故事,講講經文的故事
[00:00:32.000 --> 00:00:40.000]  《士師記》是一段約書亞記和撒姆爾記中間的經文
[00:00:40.000 --> 00:00:47.000]  約書亞記是以色列人還沒有進入迦南之前的故事
[00:00:47.000 --> 00:00:54.000]  《士師記》是以色列人在迦南地區站穩陣腳的故事
[00:00:54.000 --> 00:00:59.000]  撒姆爾記是以色列人成為王國的故事
[00:00:59.000 --> 00:01:08.000]  所以你會發覺《士師記》夾在兩本書中間,正正是一個武王和酉王之間的一本書
[00:01:08.000 --> 00:01:16.000]  所以如果你要去聽《士師記》的故事,首先要明白《士師記》是一個很重要的概念
[00:01:16.000 --> 00:01:26.000]  《士師記》對於以色列人建立王國是有兩個不同的看法共存在一起
[00:01:26.000 --> 00:01:30.000]  兩個不同的立場放在同一本書中
[00:01:30.000 --> 00:01:38.000]  一個是反對王朝的立場,一個是支持王朝的立場
[00:01:38.000 --> 00:01:46.000]  如果你讀《士師記》,你會發現經文中提及支持以色列人建立王國
[00:01:46.000 --> 00:01:50.000]  有時候是會反對的,兩個文件放在一起
[00:01:50.000 --> 00:01:57.000]  舉個例子,打開《士師記》第17章到21章的經文
[00:01:57.000 --> 00:02:00.000]  你會發現經文中經常出現一段記載
[00:02:00.000 --> 00:02:05.000]  就是「那時以色列人沒有王,各人任意而行」
[00:02:05.000 --> 00:02:09.000]  這段書是甚麼意思呢?其實就是沒有連接詞
[00:02:09.000 --> 00:02:13.000]  正正因為以色列人沒有王,所以人們就任意而行
[00:02:13.000 --> 00:02:17.000]  所以這是一個支持建立王國的經文
[00:02:17.000 --> 00:02:23.000]  你看看沒有皇帝,就是這樣,這是支持建國的經文
[00:02:23.000 --> 00:02:32.000]  不過你會發現經文17章之前,1到16章的經文全部都是反對王朝的
[00:02:32.000 --> 00:02:37.000]  就是唯有耶和華才是以色列人的王,我們是反對的
[00:02:37.000 --> 00:02:42.000]  不應該有地上的王,因為耶和華上帝就是我們的王經文
[00:02:42.000 --> 00:02:47.000]  其中一段反對王朝的經文正是一個「基癲」的故事
[00:02:47.000 --> 00:02:52.000]  可能大家聽過,在《士師記》第6、7、8章中提及了基癲的故事
[00:02:52.000 --> 00:02:59.000]  基癲,又名耶魯巴力,基癲帶領以色列人打到最後,打敗了米顛人
[00:02:59.000 --> 00:03:06.000]  到了第8章,當以色列人天下太平,國泰民安,以色列民就有好日子過的時候
[00:03:06.000 --> 00:03:11.000]  有一天,一班以色列民就去拜訪基癲,實有皆是
[00:03:11.000 --> 00:03:20.000]  突然間就圍著基癲說,你機救我們脫離米顛人的手,願你的兒子和你都管理我們
[00:03:20.000 --> 00:03:25.000]  可能你不明白這句話是什麼意思,什麼叫願你和你的兒子都管理我們
[00:03:25.000 --> 00:03:31.000]  哪有人想管理自己,什麼叫管理,管理員,security,不是
[00:03:31.000 --> 00:03:35.000]  所謂管理我們是什麼意思,不是management,也不是security
[00:03:35.000 --> 00:03:43.000]  在原文裡面就是malak這個字,malak這個字其實就是王這個動詞
[00:03:43.000 --> 00:03:50.000]  所以所謂管理我們,意思就是說求你做我們的王
[00:03:50.000 --> 00:03:56.000]  其實是打算找基癲做他們的王
[00:03:56.000 --> 00:04:02.000]  你機救我們脫離米顛人的手,願你和你的兒孫都做我們的王
[00:04:02.000 --> 00:04:09.000]  不過基癲就這樣說,我不管理你們,我的兒子也不管你們,唯有耶和華管理你們
[00:04:09.000 --> 00:04:16.000]  什麼意思,就是我不做你們的王,我的兒子也不做你們的王,唯有耶和華上帝做你們的王
[00:04:16.000 --> 00:04:20.000]  這是史詩劇裡面反對王朝的立場
[00:04:20.000 --> 00:04:29.000]  雖然基癲不是以色列人第一任的皇帝,不過基癲是擁有以色列人的王的權力
[00:04:29.000 --> 00:04:36.000]  以色列人王的身份,以色列王的代言,只不過是沒有以色列王的名字
[00:04:36.000 --> 00:04:43.000]  所以你現在明白今天說的故事,基癲的兒子亞比米勒的故事
[00:04:43.000 --> 00:04:50.000]  是一個沒有名份的皇帝,他的兒子想擁有皇帝的名份的故事
[00:04:50.000 --> 00:04:56.000]  其實所謂亞比米勒,這個名字是不能夠聽出那個字的意思
[00:04:56.000 --> 00:05:02.000]  Abimelech,Melech是什麼意思,就是王
[00:05:02.000 --> 00:05:07.000]  所謂Abimelech,Abi就是我爸爸的意思,我爸爸的意思
[00:05:07.000 --> 00:05:18.000]  再加上Abimelech,就是我父親是皇帝,我爸爸是皇帝,我爸爸是皇帝
[00:05:18.000 --> 00:05:23.000]  所以當你讀聖經的時候,你會發現亞比米勒這個名字出現過好幾次
[00:05:23.000 --> 00:05:28.000]  全部都是和皇帝有關係,創世紀有個亞比米勒
[00:05:28.000 --> 00:05:34.000]  當阿伯拉罕帶著老婆假扮自己的妹妹,在經文裡面
[00:05:34.000 --> 00:05:38.000]  見到那個亞比米勒,那個是王,後來就搞得一團糟
[00:05:38.000 --> 00:05:44.000]  《十武爾記》也有一個亞比米勒,當年大衛要在那個王面前假扮癲
[00:05:44.000 --> 00:05:48.000]  那個經文,那個王就是叫亞比米勒
[00:05:48.000 --> 00:05:54.000]  所以當你認識基癲皇朝的故事,明白當時的局勢
[00:05:54.000 --> 00:05:59.000]  你就明白為什麼基癲會叫自己的兒子叫做亞比米勒是什麼意思
[00:05:59.000 --> 00:06:05.000]  叫亞比米勒的主要問題不是他,是他爸爸,因為名字是他爸爸取的
[00:06:05.000 --> 00:06:09.000]  爸爸幫自己的兒子叫做亞比米勒是什麼意思
[00:06:09.000 --> 00:06:12.000]  爸爸幫自己的兒子取了名,我爸爸是皇帝
[00:06:12.000 --> 00:06:19.000]  所以陳大體,陳朝體都是這樣,不過就更加厲害,都比不上亞比米勒
[00:06:19.000 --> 00:06:26.000]  比如我姓陳,我幫我的女兒改名叫陳赴瑞,瑞哥的瑞
[00:06:26.000 --> 00:06:32.000]  爸爸的女兒的名字叫陳赴瑞,我爸爸很帥的意思
[00:06:32.000 --> 00:06:36.000]  所以你明白今天的故事,基癲的兒子亞比米勒的故事
[00:06:36.000 --> 00:06:41.000]  一個我爸爸是皇帝,卻沒有做真正的皇帝
[00:06:41.000 --> 00:06:45.000]  後來這個兒子要做真正皇帝的故事
[00:06:45.000 --> 00:06:49.000]  我做了這麼久都還沒有正式介紹誰是亞比米勒
[00:06:49.000 --> 00:06:53.000]  亞比米勒是什麼人呢?亞比米勒其實是一個混血兒
[00:06:53.000 --> 00:06:59.000]  亞比米勒的爸爸是基癲,亞比米勒的媽媽是一個士劍人
[00:06:59.000 --> 00:07:04.000]  士劍人是什麼人呢?士劍人其實是迦南地裏的一個種族的族群
[00:07:04.000 --> 00:07:09.000]  士劍就是以色列地方的West Bank,約旦河
