
[00:00:00.000 --> 00:00:04.000]  詩篇142篇三章上
[00:00:04.000 --> 00:00:07.000]  我的靈在我裏面發昏的時候
[00:00:07.000 --> 00:00:10.000]  你知道我的道路
[00:00:10.000 --> 00:00:14.000]  現在恭請支全道長到
[00:00:14.000 --> 00:00:16.000]  弟兄姊妹平安
[00:00:16.000 --> 00:00:19.000]  首先在這過往兩年
[00:00:19.000 --> 00:00:21.000]  我需要感謝感宣家弟兄姊妹
[00:00:21.000 --> 00:00:23.000]  對我和Mary的支持
[00:00:23.000 --> 00:00:26.000]  無論在禱告或關心上
[00:00:26.000 --> 00:00:30.000]  都感受到大家關注我們侍奉
[00:00:30.000 --> 00:00:32.000]  在青少年人當中
[00:00:32.000 --> 00:00:35.000]  在校園裏面推動生死教育等等
[00:00:35.000 --> 00:00:39.000]  有時候會和弟兄姊妹分享的時候
[00:00:39.000 --> 00:00:44.000]  就會談多些青少年工作如何推動
[00:00:44.000 --> 00:00:47.000]  或者在本港裏面的發展是怎樣
[00:00:47.000 --> 00:00:51.000]  雖然人這兩年不在
[00:00:51.000 --> 00:00:53.000]  但我心裏都很記掛著
[00:00:53.000 --> 00:00:55.000]  感宣家青少年的發展
[00:00:55.000 --> 00:00:57.000]  我為感宣家感恩
[00:00:57.000 --> 00:01:01.000]  同時有時候默默聽到有些難處
[00:01:01.000 --> 00:01:05.000]  除了在感宣家和弟兄姊妹分享之外
[00:01:05.000 --> 00:01:06.000]  現在有個崗位
[00:01:06.000 --> 00:01:15.000]  經常代表大學組織和人分享青少年訊息
[00:01:15.000 --> 00:01:22.000]  不約而同聽到對我的鼓勵
[00:01:22.000 --> 00:01:23.000]  通常是甚麼呢
[00:01:23.000 --> 00:01:28.000]  通常是「朱全道,你年青是值得做的」
[00:01:28.000 --> 00:01:30.000]  「年青人是應該做的」
[00:01:30.000 --> 00:01:32.000]  所以很鼓勵性
[00:01:32.000 --> 00:01:34.000]  但下一句通常都是「不過」
[00:01:34.000 --> 00:01:39.000]  「不過,現在的大學生真的很難做」
[00:01:39.000 --> 00:01:41.000]  我覺得很有趣
[00:01:41.000 --> 00:01:43.000]  看看他們怎樣回應
[00:01:43.000 --> 00:01:44.000]  但通常我都未回應
[00:01:44.000 --> 00:01:48.000]  亦都未分享我的侍奉或情況的時候
[00:01:48.000 --> 00:01:50.000]  他們都不約而同地「不過」
[00:01:50.000 --> 00:01:57.000]  「如果很困難的話,我不會去做」
[00:01:57.000 --> 00:01:59.000]  但我再想深一層
