
[00:00:00.000 --> 00:00:02.000]  各位姐妹早晨
[00:00:02.000 --> 00:00:05.740]  孫家在上半年的講道
[00:00:05.740 --> 00:00:07.740]  我們自己同工的講道
[00:00:07.740 --> 00:00:11.300]  主要都是講這個舊約裏面的人物
[00:00:11.300 --> 00:00:14.320]  特別是這個創世紀裏面的人物
[00:00:14.320 --> 00:00:16.700]  藉著他們的生命
[00:00:16.700 --> 00:00:20.280]  就成為了我們今天提醒
[00:00:20.280 --> 00:00:22.280]  今天那個的尷尬
[00:00:22.280 --> 00:00:23.660]  到下半年了
[00:00:23.660 --> 00:00:25.420]  我們由今天開始
[00:00:25.420 --> 00:00:29.840]  同工就會主要是講這個使徒行傳
[00:00:29.840 --> 00:00:31.840]  新約的使徒行傳
[00:00:31.840 --> 00:00:36.640]  我們很想藉著初期教會他們的一些經歷
[00:00:36.640 --> 00:00:40.200]  成為我們今天教會的借鏡
[00:00:40.200 --> 00:00:43.840]  在剛才第一節裏面他講道
[00:00:43.840 --> 00:00:47.400]  他就說他在第一本書下
[00:00:47.400 --> 00:00:51.040]  作者下是盧家醫生
[00:00:51.040 --> 00:00:56.440]  在第一本書已經提到耶穌基督所有教導的事情
[00:00:56.440 --> 00:00:59.040]  第一本書就是盧家福音
[00:00:59.040 --> 00:01:03.240]  我們知道這個盧家福音和使徒行傳
[00:01:03.240 --> 00:01:07.260]  都是盧家醫生所寫的
[00:01:07.260 --> 00:01:11.900]  他的修信人就是一個人叫做提亞飛羅
[00:01:11.900 --> 00:01:14.320]  提亞飛羅這個真正是什麼人呢?
[00:01:14.320 --> 00:01:15.460]  沒有人知道的
[00:01:15.460 --> 00:01:19.300]  因為他只是提了個名字
[00:01:19.300 --> 00:01:23.640]  但我們在歷史、在聖經其他地方看不到他
[00:01:23.640 --> 00:01:28.560]  但就知道他一定是一些高望重的人
[00:01:28.560 --> 00:01:31.760]  因為他講到提亞飛羅大人
[00:01:31.760 --> 00:01:35.880]  是一些地位比較高的人
[00:01:35.880 --> 00:01:38.640]  他的意思就是愛神的人
[00:01:38.640 --> 00:01:41.880]  或者是神所愛的人
[00:01:41.880 --> 00:01:48.080]  所以盧家寫這封使徒行傳
[00:01:48.080 --> 00:01:52.520]  是去給一些神所愛的人
[00:01:52.520 --> 00:01:54.520]  而他也是愛神的人
[00:01:55.200 --> 00:01:59.360]  剛才讀了第一章第一至第十五節
[00:01:59.360 --> 00:02:02.320]  講到耶穌在升天之前
[00:02:02.320 --> 00:02:04.520]  就吩咐那些門徒
[00:02:04.520 --> 00:02:11.240]  他們要去將這個福音傳到地極
[00:02:11.240 --> 00:02:15.400]  命令不單止給昔日的門徒
[00:02:15.400 --> 00:02:19.600]  也在今天裡面給過你和我
[00:02:19.600 --> 00:02:26.880]  要將耶穌基督救贖的恩典傳到地極
[00:02:26.880 --> 00:02:32.920]  我有時候也喜歡看漫畫
