
[00:00:00.000 --> 00:00:13.000]  經文是記載在《新約》《肥納比書》四章八至九節
[00:00:13.000 --> 00:00:18.000]  在本堂的《新約聖經》第三百零五頁
[00:00:18.000 --> 00:00:24.000]  經文裏面講
[00:00:25.000 --> 00:00:48.000]  沒了,弟兄們!凡事真實的,凡事可敬的,凡事公義的,凡事清潔的,凡事可愛的,凡事有美名的,又有什麼德行,又有什麼稱讚,你們都要留意
[00:00:48.000 --> 00:01:03.000]  你們從我所學習的,所領受的,所聽見的,所看見的事,你們都要繼續去做,脅平我的神,就必與你們同在
[00:01:03.000 --> 00:01:13.000]  感謝神!今天晚上有曾瑞貴牧師在內當中請到,曾牧師大家都認識,是本堂的堂主任牧師
[00:01:13.000 --> 00:01:21.000]  今晚的講題是「嚴教與新教」,現在恭敬,將時間交給曾牧師
[00:01:21.000 --> 00:01:33.000]  我們一起祈禱
[00:01:33.000 --> 00:01:53.000]  主耶穌,我們感謝祢,再一次我們能夠聆聽祢的真道,求祢藉著祢的話語被傳開,使我們能夠在心靈裏面再一次心靈甦醒,有聖靈的鼓勵、教導和訓練
[00:01:53.000 --> 00:02:04.000]  我們來到祂有一個願意去遵行,真是來去經歷上主的平安,在我們的心裏,來去成為我們的力量
[00:02:04.000 --> 00:02:10.000]  我們一起在祢面前等候禱告,奉耶穌基督的名,阿們
[00:02:10.000 --> 00:02:24.000]  這段聖經,剛才主席讀完之後,大家都會看到,舍頭保羅他用了六句「凡是,凡是,凡是」
[00:02:24.000 --> 00:02:31.000]  新的修訂版就做得很好了,將原文的pattern都做出來
[00:02:31.000 --> 00:02:38.000]  然後就說你們在我身上所看見、所聽見、所做的,你們都要去遵行
[00:02:38.000 --> 00:02:48.000]  很明顯你見到有一個結構在這裏,如果再將第六、第七和第八、第九做一個比較
[00:02:48.000 --> 00:02:54.000]  你會看到上主的平安會與這樣的人同在
[00:02:54.000 --> 00:03:06.000]  去到第九節,再一次說,這位賜平安的神,在你們去遵行這些事情的時候,就必定會與你們同在
[00:03:06.000 --> 00:03:10.000]  兩段經文都是說同在,尋求平安
[00:03:10.000 --> 00:03:15.000]  第一個段落,第六、第七節,似乎是說一個基督徒
[00:03:15.000 --> 00:03:22.000]  他面對教會裏面不同的需要,有些回音,可不可以小聲一點呢?
[00:03:22.000 --> 00:03:29.000]  上面,有些回音,似乎是一個基督徒,或者一個傳道者
[00:03:29.000 --> 00:03:37.000]  或者當時在菲律賓的弟兄姊妹,面對教會的困難,要怎樣去處理
[00:03:37.000 --> 00:03:46.000]  藉著的是盡量將你心裏面的擔心、所知道的,全部告訴神
[00:03:46.000 --> 00:03:51.000]  有碗話碗,禱告祈求和感謝
[00:03:51.000 --> 00:03:59.000]  要這樣來到去,在祈願土之後,要加上一個祈願
[00:03:59.000 --> 00:04:05.000]  感謝這位神,聽了我的祈禱,我不能夠背負我自己的重擔
[00:04:05.000 --> 00:04:09.000]  我將這個擔子交付給神
[00:04:09.000 --> 00:04:13.000]  下一個段落,第八、第九節,似乎是一個基督徒
[00:04:13.000 --> 00:04:20.000]  他在世界上,被人看到的是一個怎樣的人格的人品
[00:04:20.000 --> 00:04:24.000]  就是他要羨慕這些美善
[00:04:24.000 --> 00:04:29.000]  古來用很詳細去展述,甚麼是美善
[00:04:29.000 --> 00:04:32.000]  真實的,Truth,真理
[00:04:32.000 --> 00:04:36.000]  公義的,Virtuous,公義
[00:04:36.000 --> 00:04:44.000]  清潔,清潔不是Kin的意思,清潔是神聖道德的清潔
[00:04:44.000 --> 00:04:49.000]  可愛的,Lovely的,都要留心地去做
[00:04:49.000 --> 00:04:54.000]  得幸,美名,美好的明星等等
[00:04:54.000 --> 00:04:59.000]  你就會看到保羅是有一個這樣的層次,在這裡來說
[00:04:59.000 --> 00:05:03.000]  其實第八節又是說到重點
[00:05:03.000 --> 00:05:05.000]  又是翻譯得很好
[00:05:05.000 --> 00:05:09.000]  舊的和諧本就說,我還有未盡的話
[00:05:09.000 --> 00:05:13.000]  其實英文或者原文就是Finally
[00:05:13.000 --> 00:05:21.000]  保羅說最後我仍然對比勒比弟兄姊妹有怨念
[00:05:21.000 --> 00:05:26.000]  你們要怎樣去追求這些美善
