
[00:00:00.000 --> 00:00:03.000]  請到何志迪牧師在我們當中靜悟
[00:00:03.000 --> 00:00:07.000]  題目是「活在神的心意當中」
[00:00:07.000 --> 00:00:11.000]  經文記載在《約翰福音》第十章十節
[00:00:11.000 --> 00:00:14.000]  請大家聽我讀出
[00:00:14.000 --> 00:00:20.000]  賊來了,不過是要偷竊、殺害、毀壞
[00:00:20.000 --> 00:00:26.000]  我來了,是要使羊得生命,並且得得更豐盛
[00:00:26.000 --> 00:00:30.000]  恭敬將時間交給何牧師
[00:00:30.000 --> 00:00:46.000]  大家早安
[00:00:46.000 --> 00:00:49.000]  我也是第一次來到加州花園的地方
[00:00:49.000 --> 00:00:55.000]  我從來沒有去過一個這麼安靜、特別的社區
[00:00:55.000 --> 00:00:58.000]  因為我從來沒有去過感受花園
[00:00:58.000 --> 00:01:01.000]  因為我是一個城市人,很少去過
[00:01:01.000 --> 00:01:06.000]  我不是說這裡不是城市,只是一個不同的感受
[00:01:06.000 --> 00:01:11.000]  但一進來這裡,就像一個Club House
[00:01:11.000 --> 00:01:13.000]  不像教會
[00:01:13.000 --> 00:01:17.000]  然後看到富哥帶我參觀這裡
[00:01:17.000 --> 00:01:20.000]  看到外面有一個Golf的地方
[00:01:20.000 --> 00:01:21.000]  我從來沒有打過Golf
[00:01:21.000 --> 00:01:27.000]  可能這個Golf吸引我進來學打Golf,挺過癮的
[00:01:27.000 --> 00:01:30.000]  我覺得是一個很特別的環境
[00:01:30.000 --> 00:01:33.000]  當然,再次感謝大家給我機會
[00:01:33.000 --> 00:01:38.000]  可以在這裡分享上帝的教導和鼓勵
[00:01:38.000 --> 00:01:40.000]  當然,我現在已經退休了
[00:01:40.000 --> 00:01:42.000]  我在教會已經不用再做主任牧師
[00:01:42.000 --> 00:01:45.000]  因為我已經快67歲了
[00:01:45.000 --> 00:01:48.000]  希望能夠在未來的日子當中
[00:01:48.000 --> 00:01:55.000]  用不同的機會和不同的服務方向來服務
[00:01:55.000 --> 00:01:58.000]  正因為我現在坐車已經是兩元
[00:01:58.000 --> 00:02:00.000]  大家明白我的意思吧
[00:02:00.000 --> 00:02:02.000]  所以我已經極少開車
[00:02:02.000 --> 00:02:06.000]  因為我覺得開車比起兩元,是差得太遠了
[00:02:06.000 --> 00:02:08.000]  以致這輛車就給了師母開
[00:02:08.000 --> 00:02:11.000]  因為我相信大家認識師母會多一點
[00:02:11.000 --> 00:02:14.000]  因為師母在Facebook裡是某一個紅人
[00:02:14.000 --> 00:02:18.000]  她有九萬多個粉絲,我只有一萬三千多個粉絲
[00:02:18.000 --> 00:02:20.000]  所以我跟她是不能比的
[00:02:20.000 --> 00:02:22.000]  在這個過程中
[00:02:22.000 --> 00:02:26.000]  所以我現在也是跟著師母謀生
[00:02:26.000 --> 00:02:27.000]  因為我退休了
[00:02:27.000 --> 00:02:32.000]  所以在不同的崗位和大家一起學習和服侍
[00:02:32.000 --> 00:02:36.000]  其實在過去三十多年的侍奉中
[00:02:36.000 --> 00:02:40.000]  我發覺這個世界變得太快
[00:02:40.000 --> 00:02:43.000]  快到一個地步,我們很難去跟隨
[00:02:43.000 --> 00:02:46.000]  正因為三十多四十年前
[00:02:46.000 --> 00:02:47.000]  我回到香港
[00:02:47.000 --> 00:02:49.000]  我1985年回到香港服侍
[00:02:49.000 --> 00:02:54.000]  在中環有間教會叫做港福堂
[00:02:54.000 --> 00:02:56.000]  如果大家聽過港福堂
[00:02:56.000 --> 00:02:58.000]  我是在港福堂開始服侍的
[00:02:58.000 --> 00:03:01.000]  當然在中環那邊
[00:03:01.000 --> 00:03:04.000]  當時我的聚會地方
[00:03:04.000 --> 00:03:06.000]  大家已經沒有了
[00:03:06.000 --> 00:03:09.000]  這個地方就是Hilton酒店
[00:03:09.000 --> 00:03:13.000]  我回來的時候是在Hilton酒店的Indian Room聚會
[00:03:13.000 --> 00:03:16.000]  如果大家跟我年紀差不多
[00:03:16.000 --> 00:03:19.000]  還記得Indian Room是在四樓
[00:03:19.000 --> 00:03:23.000]  在那邊侍奉了一年之後
[00:03:23.000 --> 00:03:25.000]  Hilton就沒有了
[00:03:25.000 --> 00:03:26.000]  就拆了
[00:03:26.000 --> 00:03:30.000]  變成現在是一個長江很高的地方
[00:03:30.000 --> 00:03:32.000]  過了幾年之後
[00:03:32.000 --> 00:03:34.000]  我就開了銅福
[00:03:34.000 --> 00:03:37.000]  銅福堂就在銅鑼灣
[00:03:37.000 --> 00:03:41.000]  我們也是租了一間酒店
[00:03:41.000 --> 00:03:44.000]  叫做利園酒店
[00:03:44.000 --> 00:03:46.000]  結果一年之後
[00:03:46.000 --> 00:03:49.000]  利園酒店又沒有了
[00:03:49.000 --> 00:03:52.000]  所以就沒有人敢租酒店給我
[00:03:52.000 --> 00:03:55.000]  誰租給我都玩完兩間酒店
[00:03:55.000 --> 00:04:00.000]  自此就沒有在酒店裡開始有任何聚會
[00:04:00.000 --> 00:04:04.000]  當然金福後來也租了YMCA
