
[00:00:00.000 --> 00:00:03.000]  各位感孫家弟兄姊妹平安
[00:00:03.000 --> 00:00:06.000]  雖然過了農曆年一段時間了
[00:00:06.000 --> 00:00:08.000]  但是中國人所說
[00:00:08.000 --> 00:00:09.000]  禮多人不怪
[00:00:09.000 --> 00:00:11.000]  都在這裡和大家拜個年
[00:00:11.000 --> 00:00:13.000]  祝大家身體健康
[00:00:13.000 --> 00:00:15.000]  福輝滿日
[00:00:15.000 --> 00:00:17.000]  以前聽過一個故事
[00:00:17.000 --> 00:00:20.000]  有一隻草蜢被人捉了
[00:00:20.000 --> 00:00:23.000]  關在針裏面
[00:00:23.000 --> 00:00:26.000]  加上一個蓋
[00:00:26.000 --> 00:00:29.000]  由於草蜢天生都會跳高
[00:00:29.000 --> 00:00:32.000]  於是它就不斷向上跳
[00:00:32.000 --> 00:00:35.000]  由於瓶頂有個蓋
[00:00:35.000 --> 00:00:39.000]  草蜢每一次跳高都撞到瓶蓋
[00:00:39.000 --> 00:00:42.000]  都感受到一些痛楚
[00:00:42.000 --> 00:00:46.000]  草蜢雖然經過無數次痛楚之後
[00:00:46.000 --> 00:00:49.000]  它就慢慢改變了習慣
[00:00:49.000 --> 00:00:53.000]  雖然它天性仍然都需要讓它繼續跳高
[00:00:53.000 --> 00:00:55.000]  但是每次跳到某個高度
[00:00:55.000 --> 00:00:57.000]  它就下來了
[00:00:57.000 --> 00:01:00.000]  它就碰不到瓶蓋
[00:01:00.000 --> 00:01:04.000]  所以就不會再有痛楚
[00:01:04.000 --> 00:01:06.000]  經過一段時間之後
[00:01:06.000 --> 00:01:10.000]  就算有人拿開了瓶蓋也好
[00:01:10.000 --> 00:01:15.000]  那隻草蜢最後都跳不出瓶子
[00:01:15.000 --> 00:01:19.000]  故事可以有不同解釋的進路
[00:01:19.000 --> 00:01:23.000]  一個是重複的行為可以改變了習慣
[00:01:23.000 --> 00:01:26.000]  因此習慣其實是可以改變
[00:01:26.000 --> 00:01:30.000]  另一個就是痛楚可以改變行為
[00:01:30.000 --> 00:01:32.000]  更準確地說
[00:01:32.000 --> 00:01:35.000]  就是害怕痛楚的恐懼
[00:01:35.000 --> 00:01:37.000]  會帶來行為的改變
[00:01:37.000 --> 00:01:41.000]  因此恐懼成為一種搏擊
