
[00:00:00.000 --> 00:00:03.000]  各位佳音樓的大英姐妹主內平安
[00:00:03.000 --> 00:00:08.000]  正因為我們正在經歷一個非常之嚴峻的疫情
[00:00:08.000 --> 00:00:13.000]  所以今天沒有機會和大家一起實體敬拜
[00:00:13.000 --> 00:00:16.000]  但我深信在這個時候
[00:00:16.000 --> 00:00:19.000]  我們的信仰究竟有多真實
[00:00:19.000 --> 00:00:21.000]  有多寶貴
[00:00:21.000 --> 00:00:23.000]  當中的力量有多大
[00:00:23.000 --> 00:00:27.000]  我深信這是一個去體驗的很好的時間
[00:00:27.000 --> 00:00:33.000]  究竟有信仰和沒有信仰當中有什麼分別呢
[00:00:33.000 --> 00:00:37.000]  我想和大家介紹一個很簡單的實驗
[00:00:37.000 --> 00:00:40.000]  即使你不是讀理科出身
[00:00:40.000 --> 00:00:42.000]  我深信你都會明白
[00:00:42.000 --> 00:00:47.000]  如果你倒一些油到一瓶水那裡
[00:00:47.000 --> 00:00:51.000]  然後你嘗試去看一下
[00:00:51.000 --> 00:00:54.000]  其實油是會浮上面的
[00:00:54.000 --> 00:00:57.000]  無論你怎樣搖一瓶
[00:00:57.000 --> 00:01:02.000]  當你搖晃鉛筆放下不久
[00:01:02.000 --> 00:01:04.000]  油又會浮上面
[00:01:04.000 --> 00:01:09.000]  所以我們說水混油怎樣都混不來
[00:01:09.000 --> 00:01:13.000]  但其實如果我們要深入一點去問
[00:01:13.000 --> 00:01:15.000]  究竟為什麼會這樣呢
[00:01:15.000 --> 00:01:20.000]  我想我們就必須要用一些比較科學的方法
[00:01:20.000 --> 00:01:22.000]  來作出解釋
[00:01:22.000 --> 00:01:25.000]  因為在化學科Chemistry裏面
[00:01:25.000 --> 00:01:31.000]  水和油其實是由不同的化學元素來組成的
[00:01:31.000 --> 00:01:37.000]  而它們的Polarity,它們的極性是剛剛相反的
[00:01:37.000 --> 00:01:41.000]  所以無論你是怎樣用什麼方法
[00:01:41.000 --> 00:01:45.000]  都是沒有辦法將它們混在一起的
[00:01:45.000 --> 00:01:49.000]  為什麼我要去說水混油呢
[00:01:49.000 --> 00:01:54.000]  因為我今天要和大家分享希伯來書第三章的經文
[00:01:54.000 --> 00:01:56.000]  作者正是向我們提出
[00:01:56.000 --> 00:01:59.000]  其實在信仰裏面
[00:01:59.000 --> 00:02:05.000]  不信和不信從其實是沒有辦法共融的
[00:02:05.000 --> 00:02:09.000]  現在在我們的社會當中
[00:02:09.000 --> 00:02:13.000]  基本上是充滿批判的思維
[00:02:13.000 --> 00:02:17.000]  所以對於管治者是怎樣去解決問題呢
[00:02:17.000 --> 00:02:20.000]  我們總是覺得不是順眼的
[00:02:20.000 --> 00:02:22.000]  無論問心那句
[00:02:22.000 --> 00:02:28.000]  問自己究竟有沒有一個更好的方法去解決這些問題呢
[00:02:28.000 --> 00:02:31.000]  可能自己都想不到的
[00:02:31.000 --> 00:02:34.000]  但我們總是覺得管治者很無能
[00:02:34.000 --> 00:02:36.000]  感到抗拒
[00:02:36.000 --> 00:02:40.000]  因為我們過份相信自己的判斷是對的
[00:02:40.000 --> 00:02:45.000]  而這種想法正正是潛藏的不信從
[00:02:45.000 --> 00:02:49.000]  其實也是叛逆的一種
[00:02:49.000 --> 00:02:51.000]  當我們回顧以色列人的歷史
[00:02:51.000 --> 00:02:55.000]  其實我們可以找到的例子真的比比皆是
[00:02:55.000 --> 00:02:58.000]  其實一個最經典的場面
[00:02:58.000 --> 00:03:00.000]  就是在《出埃及記》
[00:03:00.000 --> 00:03:02.000]  大家一定有印象
[00:03:02.000 --> 00:03:04.000]  法老是怎樣去活逆的
[00:03:04.000 --> 00:03:09.000]  結果就為自己的民族帶來了十災
[00:03:09.000 --> 00:03:11.000]  好了,到了以色列人
[00:03:11.000 --> 00:03:14.000]  當他們離開埃及之後
[00:03:14.000 --> 00:03:18.000]  其實他們的表現和法老不遑多讓
[00:03:18.000 --> 00:03:23.000]  所以摩西要花非常多的力氣和時間
[00:03:23.000 --> 00:03:27.000]  不斷地去和這些以色列人周旋
[00:03:27.000 --> 00:03:29.000]  處理他們的活逆
[00:03:29.000 --> 00:03:33.000]  最終令到連自己都不能進入迦南地
[00:03:33.000 --> 00:03:38.000]  所以有精英學者很一針見血地說
[00:03:38.000 --> 00:03:41.000]  活逆正是信的殺手
[00:03:41.000 --> 00:03:44.000]  反對是信的殺手
[00:03:44.000 --> 00:03:47.000]  所以我們真的要留心
[00:03:47.000 --> 00:03:52.000]  怎樣我們能夠持守著我們的信仰
[00:03:52.000 --> 00:03:57.000]  不要因為活逆而跌入一個不信的陷阱當中
[00:03:57.000 --> 00:04:02.000]  由於今天我想集中和大家分享
[00:04:02.000 --> 00:04:06.000]  怎樣才不會跌入不信的裏面
[00:04:06.000 --> 00:04:11.000]  所以我省略了希伯來書第三章頭六節的經文
[00:04:11.000 --> 00:04:14.000]  只會由第七節開始說
[00:04:14.000 --> 00:04:19.000]  一直說到結尾第十九節為止
[00:04:19.000 --> 00:04:22.000]  在第一個段落
[00:04:22.000 --> 00:04:24.000]  第七節到第十一節
[00:04:24.000 --> 00:04:26.000]  第七節開始的時候
[00:04:26.000 --> 00:04:30.000]  原文其實是有「所以」這個連接詞的
[00:04:30.000 --> 00:04:33.000]  正因為很明顯有「所以」
[00:04:33.000 --> 00:04:39.000]  所以我們就想到這段經文一定是和上文有關係的
[00:04:39.000 --> 00:04:41.000]  上文說的是甚麼呢?
[00:04:41.000 --> 00:04:43.000]  第一節到第六節
[00:04:43.000 --> 00:04:48.000]  其實是說到摩西和耶穌作為例子
[00:04:48.000 --> 00:04:52.000]  這兩個例子怎樣去忠心服事
[00:04:52.000 --> 00:04:55.000]  去見證神奇妙的作為
[00:04:55.000 --> 00:04:58.000]  然後到第六節下半節
[00:04:58.000 --> 00:05:00.000]  最後一句就這樣說
[00:05:00.000 --> 00:05:08.000]  「我們若將可跨的盼望和膽量堅持到底便是他的家了」
[00:05:08.000 --> 00:05:12.000]  作者想表明在神的家裏
[00:05:12.000 --> 00:05:17.000]  是要有堅守信仰這個特質
[00:05:17.000 --> 00:05:23.000]  然後他就用了整個以色列文作為一個相反的例子
