
[00:00:00.000 --> 00:00:03.120]  我們聽神話與支持我上一齊祈禱
[00:00:03.120 --> 00:00:05.120]  為聖童心禱告
[00:00:05.120 --> 00:00:08.120]  天上的爸爸 感謝你
[00:00:08.120 --> 00:00:12.920]  讓我們有生命的氣息回到你的殿堂裏面
[00:00:12.920 --> 00:00:17.320]  求聖靈與我們同在並且囂觀在場每一位
[00:00:17.320 --> 00:00:22.320]  願我們有眼能看見 有耳能聽到
[00:00:22.320 --> 00:00:24.800]  而且心裏面不要夢想自由
[00:00:24.800 --> 00:00:27.400]  讓神的道災進入我們的心裏面
[00:00:27.400 --> 00:00:29.400]  並且動了持心
[00:00:29.400 --> 00:00:31.000]  求主幫助我們眾人
[00:00:31.000 --> 00:00:33.000]  我們聽道要行道
[00:00:33.000 --> 00:00:36.400]  我們不單聽 而且在我們生活裏面活出來
[00:00:36.400 --> 00:00:38.000]  求主帶領以下時間
[00:00:38.000 --> 00:00:39.400]  以上不完全的禱告
[00:00:39.400 --> 00:00:42.000]  奉耶穌基督得聖之名字祈求
[00:00:42.000 --> 00:00:44.000]  阿們
[00:00:44.000 --> 00:00:45.600]  感謝主
[00:00:45.600 --> 00:00:47.600]  我想大家都很久沒有實體了
[00:00:47.600 --> 00:00:49.600]  我也是第一次實體
[00:00:49.600 --> 00:00:51.600]  但獻了給你們了
[00:00:51.600 --> 00:00:54.200]  我自己教會都還沒有回來
[00:00:54.200 --> 00:00:56.600]  昨晚有 我們有開晚堂
[00:00:56.600 --> 00:01:00.600]  今天我的題目 剛才主席也幫我讀了
[00:01:00.600 --> 00:01:05.600]  是信徒的愛心在哥林多後書八章
[00:01:05.600 --> 00:01:11.600]  哥林多後書其實保羅用了第八章和第九章裏面
[00:01:11.600 --> 00:01:14.600]  去討論一項很重要的事情
[00:01:14.600 --> 00:01:19.400]  就是周濟當時貧窮耶路撒冷的信徒
[00:01:19.400 --> 00:01:21.400]  在兩章裏面 很多時候
[00:01:21.400 --> 00:01:25.600]  目者都會用這兩章去探討主人奉獻的事情
[00:01:25.600 --> 00:01:28.600]  但如果你認真深考再去看
[00:01:28.600 --> 00:01:32.600]  其實保羅在這裏是在說一個更深的行義
[00:01:32.600 --> 00:01:39.600]  在說什麼呢?就是從行動的角度去看信徒的愛心的真實
[00:01:39.600 --> 00:01:43.600]  從行動的角度去看信徒愛心的真實
[00:01:43.600 --> 00:01:46.600]  真正的愛心是要有行動的
[00:01:46.600 --> 00:01:49.600]  而且這個行動是甘心樂意
[00:01:49.600 --> 00:01:51.600]  不被迫 不牽強的
[00:01:51.600 --> 00:01:53.600]  保羅在捐獻上的事情
[00:01:53.600 --> 00:01:55.600]  認為不單是善舉
[00:01:55.600 --> 00:02:00.600]  而且在你願意幫助別人有需要的人的時候
[00:02:00.600 --> 00:02:04.600]  其實對整體教會 在教會觀裏面
[00:02:04.600 --> 00:02:07.600]  是有一個非常重要的神學意義
[00:02:07.600 --> 00:02:10.600]  而對我們每一個信徒來說
[00:02:10.600 --> 00:02:13.600]  亦都是神使我們誠信的因典
[00:02:13.600 --> 00:02:18.600]  讓神繼續在我們生命中工作的一個途徑
[00:02:18.600 --> 00:02:22.600]  所以你讀這兩篇就不要水果鴨背讀了就算了
[00:02:22.600 --> 00:02:25.600]  今天我想從四方面去和大家分享一下
[00:02:25.600 --> 00:02:28.600]  什麼是信徒的愛心
[00:02:28.600 --> 00:02:30.600]  信徒經常都說愛
[00:02:30.600 --> 00:02:31.600]  我們唱詩也說
[00:02:31.600 --> 00:02:33.600]  對著你旁邊的人說
[00:02:33.600 --> 00:02:35.600]  但真正的愛心是什麼呢?
[00:02:35.600 --> 00:02:38.600]  第一 在剛才幫我讀的第一到第五節
[00:02:38.600 --> 00:02:41.600]  愛心有一些屬靈的原則
[00:02:41.600 --> 00:02:44.600]  在臨後八章一到五節
[00:02:44.600 --> 00:02:48.600]  保羅用了馬其頓宗教會做榜樣
[00:02:48.600 --> 00:02:52.600]  因為當時哥倫多教會在捐獻事上
[00:02:52.600 --> 00:02:54.600]  有一些事情要留意
[00:02:54.600 --> 00:02:57.600]  第一 我在經文裏找了一些屬靈的原則
