
[00:00:00.000 --> 00:00:02.360]  好的 弟兄姊妹晚安
[00:00:02.360 --> 00:00:06.160]  開始我們恢復今晚的茶經
[00:00:06.160 --> 00:00:11.680]  就是《出埃及記》第5章 應該可能去到第11章
[00:00:11.680 --> 00:00:15.920]  但今晚不可能講這麼多 可能第5、6、2章
[00:00:15.920 --> 00:00:18.680]  我們先一起有一個簡單的禱告
[00:00:18.680 --> 00:00:22.840]  再一次我們感恩 天父讓我們能夠有系統
[00:00:22.840 --> 00:00:25.640]  這樣去研讀聖經的話語
[00:00:25.640 --> 00:00:28.320]  我們正在看的《出埃及記》
[00:00:28.320 --> 00:00:32.320]  我們很盼望能夠藉著聖經的敘述
[00:00:32.320 --> 00:00:37.840]  我們能夠了解 特別神興起的這一位先知摩西
[00:00:37.840 --> 00:00:41.800]  讓我們能夠真的從他的心路歷程
[00:00:41.800 --> 00:00:46.160]  從他的夢照 從他回去埃及
[00:00:46.160 --> 00:00:53.080]  帶領自己的同胞民族來接觸神的應許
[00:00:53.080 --> 00:00:56.840]  將他的族民帶進迦南美地
[00:00:56.840 --> 00:01:00.600]  神求你給我們從這些遠古的歷史
[00:01:00.600 --> 00:01:03.160]  是真實發生過的歷史
[00:01:03.160 --> 00:01:07.360]  我們來掌握一些很重要的真理
[00:01:07.360 --> 00:01:10.840]  歷久常新 是不會改變的
[00:01:10.840 --> 00:01:12.960]  盼望神帶領我們
[00:01:12.960 --> 00:01:17.520]  我們將晚上這段時間仰望在主的手中
[00:01:17.520 --> 00:01:21.840]  也知道有相當多不同地方
[00:01:21.840 --> 00:01:24.160]  不同教會的弟兄姊妹
[00:01:24.160 --> 00:01:28.240]  偶然間在網上會聽到這些茶經的
[00:01:28.240 --> 00:01:30.440]  盼望深入淺出
[00:01:30.440 --> 00:01:34.000]  都是很平白地將經文去解釋
[00:01:34.000 --> 00:01:36.760]  又加上一些可能生活的體驗
[00:01:36.760 --> 00:01:38.880]  能夠成為弟兄姊妹
[00:01:38.880 --> 00:01:40.920]  特別不同的屬靈程度
[00:01:40.920 --> 00:01:44.160]  不同階段的信主的弟兄姊妹
[00:01:44.160 --> 00:01:48.120]  產生的共鳴 產生的內心的感動
[00:01:48.120 --> 00:01:54.480]  特別在網上YouTube可能有無數海量的資訊
[00:01:54.480 --> 00:02:00.360]  但是我們很盼望神使用不同的神僕人的信息
[00:02:00.360 --> 00:02:06.880]  去牧養更多更多的不同地方的弟兄姊妹
[00:02:06.880 --> 00:02:09.040]  我們仰望在你的手中
[00:02:09.040 --> 00:02:10.960]  這樣的感恩禱告
[00:02:10.960 --> 00:02:15.280]  奉耶穌基督的名 阿們
[00:02:15.280 --> 00:02:20.720]  雖然我們停了 但是我們一直緊接著經文的發展
[00:02:20.720 --> 00:02:25.600]  第四章很重要的一段經文
[00:02:25.600 --> 00:02:31.600]  就是當摩西約見這些屬靈的領袖
[00:02:31.600 --> 00:02:36.840]  來講述神的應許 拯救的時間
[00:02:36.840 --> 00:02:40.320]  特別應該說是神眷顧他們的時間
[00:02:40.320 --> 00:02:43.280]  因為這個眷顧 監察這個字
[00:02:43.280 --> 00:02:45.640]  稍後在第五章
[00:02:45.640 --> 00:02:49.040]  就是那些以色列的公頭或者官長
[00:02:49.040 --> 00:02:53.800]  就去罵摩西 怨神監察你
[00:02:53.800 --> 00:02:58.600]  所以你想一下是多無奈
[00:02:58.600 --> 00:03:03.640]  真是好心著雷劈的摩西
[00:03:03.640 --> 00:03:06.480]  所以那個內心的質素
[00:03:06.480 --> 00:03:13.760]  必須是要經過神來讓他不斷地有那個牧養
[00:03:13.760 --> 00:03:17.440]  他要清楚自己為什麼要回埃及
[00:03:17.440 --> 00:03:20.240]  這個清楚是很重要的
[00:03:20.240 --> 00:03:25.800]  不然的話 可以是很多很多的人事物
[00:03:25.800 --> 00:03:30.520]  令到我們不想再侍奉
[00:03:30.520 --> 00:03:36.520]  因為侍奉只會帶來很多的閒言閒語
[00:03:36.520 --> 00:03:39.160]  是很辛苦的
[00:03:39.160 --> 00:03:43.680]  所以我們回頭看第四章第27節
[00:03:43.680 --> 00:03:46.480]  耶和華對亞倫說
[00:03:46.480 --> 00:03:49.360]  你回去曠野去迎接摩西
[00:03:49.360 --> 00:03:53.120]  他就去在神的山 就是荷列山
[00:03:53.120 --> 00:03:56.280]  就遇見摩西和他親嘴
[00:03:56.280 --> 00:04:00.440]  摩西將耶和華打發他所說的言語
[00:04:00.440 --> 00:04:03.000]  和祝福他所行的神蹟
[00:04:03.000 --> 00:04:04.600]  都告訴了亞倫
[00:04:04.600 --> 00:04:09.400]  從來沒有說到亞倫是否要避老去到曠野
[00:04:09.400 --> 00:04:11.000]  被逼出走呢
[00:04:11.000 --> 00:04:13.640]  因為他是在埃及等等
[00:04:13.640 --> 00:04:15.640]  聖經沒有交代這些細節
[00:04:15.640 --> 00:04:18.280]  但總之就是神感動亞倫
[00:04:18.280 --> 00:04:20.440]  亞倫就去曠野找摩西
[00:04:20.440 --> 00:04:22.440]  大概就是這樣
[00:04:22.440 --> 00:04:25.200]  即是說他們其實是有來往的
[00:04:25.200 --> 00:04:28.160]  不是說失散了 以後沒有見面
[00:04:28.160 --> 00:04:33.040]  50年後 40年後才突然再重逢
[00:04:33.040 --> 00:04:34.160]  不是這樣的
[00:04:34.160 --> 00:04:36.520]  即是說摩西其實一直都
[00:04:36.520 --> 00:04:39.560]  雖然不是一些很緊貼的資訊 Whatsapp
[00:04:39.560 --> 00:04:41.360]  但是對於埃及
[00:04:41.360 --> 00:04:44.480]  一點都不會斷了那個訊息
[00:04:44.480 --> 00:04:46.960]  如果我們有這樣的前設
[00:04:46.960 --> 00:04:49.920]  我們就不需要太過天方夜譚
[00:04:49.920 --> 00:04:52.640]  好像一個人從來都不再回埃及
[00:04:52.640 --> 00:04:54.640]  就變成我們都會明白了
[00:04:54.640 --> 00:05:01.160]  第29節 摩西亞倫就去招聚以色列的重長老
[00:05:01.160 --> 00:05:06.440]  就是稍後的公頭 官長等等
[00:05:06.440 --> 00:05:11.240]  亞倫將耶和華對摩西所說的一切說述了一遍
[00:05:11.240 --> 00:05:13.240]  亞倫就代言
[00:05:13.240 --> 00:05:15.640]  可能真是那個口才上面
[00:05:15.640 --> 00:05:19.600]  或者亞倫一直都和他們一起在埃及
[00:05:19.600 --> 00:05:22.720]  摩西因為已經離開了一段長時間
[00:05:22.720 --> 00:05:24.720]  有這樣的可能性
[00:05:24.720 --> 00:05:29.360]  又在百姓眼前行了那些神蹟
[00:05:29.360 --> 00:05:31.360]  百姓就信了
[00:05:31.360 --> 00:05:34.840]  留意這個信 半信半疑
[00:05:34.840 --> 00:05:38.320]  姑且 看看怎樣
[00:05:38.320 --> 00:05:42.280]  我們就可以有很多空間給我們去看看
[00:05:42.280 --> 00:05:44.280]  以色列的官長
[00:05:44.280 --> 00:05:46.280]  有人說有出路
[00:05:46.280 --> 00:05:48.280]  都好過沒有
[00:05:48.280 --> 00:05:52.760]  所以這個信就不是真是真知確信的
[00:05:52.760 --> 00:05:54.760]  好像摩西遇見神
[00:05:54.760 --> 00:06:01.520]  有兩個印證的行神蹟的示範
[00:06:01.520 --> 00:06:06.320]  那個象變蛇的手山大麻風等等
[00:06:06.320 --> 00:06:09.320]  所以百姓的信
[00:06:09.320 --> 00:06:12.800]  我們就不要看得那麼緊要
[00:06:12.800 --> 00:06:18.160]  但是下面就說以色列人聽見耶和華眷顧他們
[00:06:18.160 --> 00:06:20.160]  監察他們
[00:06:20.160 --> 00:06:22.160]  留意這些字眼
[00:06:22.160 --> 00:06:24.160]  眷顧監察 留心地看
