
[00:00:00.000 --> 00:00:04.000]  我們很高興請到蔣文宗傳道為我們分享訊息
[00:00:04.000 --> 00:00:08.000]  講題是《雅各的生生》第五
[00:00:08.000 --> 00:00:10.000]  神使我一切充足
[00:00:10.000 --> 00:00:12.000]  請聽我讀出以下經文
[00:00:12.000 --> 00:00:15.000]  《創世記》三十三章 第四至十一節
[00:00:15.000 --> 00:00:18.000]  以素跑來迎接他
[00:00:18.000 --> 00:00:20.000]  將他抱住
[00:00:20.000 --> 00:00:23.000]  伏在他的頸項上親他
[00:00:23.000 --> 00:00:25.000]  他們都哭了
[00:00:25.000 --> 00:00:29.000]  以素舉目看見婦人和孩子
[00:00:29.000 --> 00:00:31.000]  就說:
[00:00:31.000 --> 00:00:33.000]  「姐姐和你一起的是誰呢?」
[00:00:33.000 --> 00:00:35.000]  雅各說:
[00:00:35.000 --> 00:00:38.000]  「姐姐孩子是神私恩給你們僕人的」
[00:00:38.000 --> 00:00:44.000]  於是兩個婢女和他們的孩子前來下拜
[00:00:44.000 --> 00:00:49.000]  尼雅和她的孩子也前來下拜
[00:00:49.000 --> 00:00:53.000]  隨後約瑟和拉傑也前來下拜
[00:00:53.000 --> 00:00:55.000]  以素說:
[00:00:55.000 --> 00:01:02.000]  「我所遇見的這些束裙是什麼意思呢?」
[00:01:02.000 --> 00:01:03.000]  雅各說:
[00:01:03.000 --> 00:01:07.000]  「是為了要在我主眼前蒙恩」
[00:01:07.000 --> 00:01:09.000]  以素說:
[00:01:09.000 --> 00:01:13.000]  「弟弟呀!你的已經足夠了」
[00:01:13.000 --> 00:01:17.000]  「你的你自己留著吧」
[00:01:17.000 --> 00:01:18.000]  雅各說:
[00:01:18.000 --> 00:01:22.000]  「不!我若在你眼前蒙恩」
[00:01:22.000 --> 00:01:26.000]  「請就你從我手裡收下這禮物」
[00:01:26.000 --> 00:01:28.000]  「因為我見了你的面」
[00:01:28.000 --> 00:01:30.000]  「如同見了神的面」
[00:01:30.000 --> 00:01:33.000]  「並且也寬容了我」
[00:01:33.000 --> 00:01:38.000]  「請你收下我帶來給你的禮物」
[00:01:38.000 --> 00:01:40.000]  「因為神恩待我」
[00:01:40.000 --> 00:01:42.000]  「使我一切都充足」
[00:01:42.000 --> 00:01:44.000]  雅各再三求他
[00:01:44.000 --> 00:01:45.000]  他才收下
[00:01:45.000 --> 00:01:47.000]  有請在前台
[00:01:47.000 --> 00:01:49.000]  (主持人:好!第五節未,早安!)
[00:01:50.000 --> 00:01:54.000]  (主持人:感謝敬拜隊為我們預備美好的詩歌)
[00:01:54.000 --> 00:01:57.000]  (讓我們一起敬拜上帝)
[00:01:57.000 --> 00:02:04.000]  (最後願我們一心都歸向上帝)
[00:02:04.000 --> 00:02:07.000]  (相信我們做基督徒)
[00:02:07.000 --> 00:02:10.000]  (是一個頗為重要的事情)
[00:02:10.000 --> 00:02:14.000]  (也是我們一生的功課)
[00:02:14.000 --> 00:02:17.000]  (如何將我們的心)
[00:02:17.000 --> 00:02:20.000]  (致以一切歸向上帝)
[00:02:20.000 --> 00:02:22.000]  (其實是一件不容易的事)
[00:02:22.000 --> 00:02:24.000]  (我們去看雅各的生平)
[00:02:24.000 --> 00:02:26.000]  (看他的故事)
[00:02:26.000 --> 00:02:28.000]  (不知不覺已經是第五次)
[00:02:28.000 --> 00:02:31.000]  (來到一個可以說是)
[00:02:31.000 --> 00:02:35.000]  (他人生的高峰)
[00:02:35.000 --> 00:02:37.000]  (要完結的事情)
[00:02:37.000 --> 00:02:40.000]  (完成了這個經歷)
[00:02:40.000 --> 00:02:43.000]  (與耳掃相遇的經歷)
[00:02:43.000 --> 00:02:44.000]  (其實他接著)
[00:02:44.000 --> 00:02:46.000]  (特別是創世記之後的經文)
