
[00:00:00.000 --> 00:00:02.000]  各位聽眾平安
[00:00:02.000 --> 00:00:06.000]  一家之主
[00:00:06.000 --> 00:00:08.000]  問問你們
[00:00:08.000 --> 00:00:12.000]  在家裡誰有話事權呢?
[00:00:12.000 --> 00:00:16.000]  很多時候
[00:00:16.000 --> 00:00:18.000]  我發現的情況就是
[00:00:18.000 --> 00:00:20.000]  做丈夫的那個
[00:00:20.000 --> 00:00:22.000]  會問老婆意見
[00:00:22.000 --> 00:00:24.000]  有時候會聽到
[00:00:24.000 --> 00:00:26.000]  女士們說
[00:00:26.000 --> 00:00:28.000]  大事就交給老公
[00:00:28.000 --> 00:00:30.000]  那些小事就他自己解決
[00:00:30.000 --> 00:00:32.000]  不知道你們是不是這個情形呢?
[00:00:32.000 --> 00:00:34.000]  其實
[00:00:34.000 --> 00:00:38.000]  我們家裡應該有一個金字塔
[00:00:38.000 --> 00:00:40.000]  應該是
[00:00:40.000 --> 00:00:42.000]  以神為首
[00:00:42.000 --> 00:00:44.000]  一家之主應該是我們的神
[00:00:44.000 --> 00:00:46.000]  讓我們一起在看神的話語之前
[00:00:46.000 --> 00:00:48.000]  我們一起祈禱
[00:00:48.000 --> 00:00:52.000]  沒有恩典沒有慈愛的主
[00:00:52.000 --> 00:00:54.000]  我們真的歡喜快樂
[00:00:54.000 --> 00:00:56.000]  因為今天是你的日子
[00:00:56.000 --> 00:00:58.000]  你讓我們
[00:00:58.000 --> 00:01:00.000]  因著你的愛招聚我們回來
[00:01:00.000 --> 00:01:04.000]  盼望生命記這段話
[00:01:04.000 --> 00:01:06.000]  你同樣的呼召我們
[00:01:06.000 --> 00:01:08.000]  去教導我們
[00:01:08.000 --> 00:01:10.000]  以致我們願意
[00:01:10.000 --> 00:01:12.000]  順服你的旨意
[00:01:12.000 --> 00:01:14.000]  去走出來求你保守我們的心
[00:01:14.000 --> 00:01:16.000]  我們這樣祈禱教託
[00:01:16.000 --> 00:01:18.000]  奉主耶穌基督命求
[00:01:18.000 --> 00:01:20.000]  阿們
[00:01:20.000 --> 00:01:22.000]  我們剛才說到
[00:01:22.000 --> 00:01:24.000]  這個西乃之約
[00:01:24.000 --> 00:01:26.000]  是最早的時候
[00:01:26.000 --> 00:01:28.000]  和以色列人去納約的
