
[00:00:00.000 --> 00:00:10.000]  今日宣道的經文是記載在肥立彼書一章三至十一節
[00:00:10.000 --> 00:00:14.000]  新約第三零一二
[00:00:14.000 --> 00:00:18.000]  肥立彼書一章三至十一節
[00:00:18.000 --> 00:00:21.000]  新約第一零三二
[00:00:21.000 --> 00:00:25.000]  請聽我讀出經文
[00:00:25.000 --> 00:00:30.000]  我每逢想念你們就感謝我的神
[00:00:30.000 --> 00:00:33.000]  每逢為你們眾人祈求的時候
[00:00:33.000 --> 00:00:36.000]  總是歡歡喜喜地祈求
[00:00:36.000 --> 00:00:40.000]  因為從第一天直到如今
[00:00:40.000 --> 00:00:43.000]  你們都同心合意興旺福音
[00:00:43.000 --> 00:00:49.000]  我深信那在你們心裡動了美好工作的
[00:00:49.000 --> 00:00:56.000]  到了耶穌基督的日子必完成這工作
[00:00:56.000 --> 00:01:01.000]  我為你們眾人有這樣的想法原是應當的
[00:01:01.000 --> 00:01:05.000]  因為你們常在我心裡
[00:01:05.000 --> 00:01:12.000]  無論我在困所中再變命並證實福音的時候
[00:01:12.000 --> 00:01:15.000]  你們都與我一同蒙恩
[00:01:15.000 --> 00:01:22.000]  我以基督耶穌的心牆切切想念你們眾人
[00:01:22.000 --> 00:01:25.000]  這是神可以為我作證的
[00:01:25.000 --> 00:01:28.000]  我所祈禱的就是
[00:01:28.000 --> 00:01:34.000]  是你們的愛心在知識和各樣見識上不斷增長
[00:01:34.000 --> 00:01:37.000]  使你們能分辨是非
[00:01:37.000 --> 00:01:41.000]  在基督日子作真誠無可指責的人
[00:01:41.000 --> 00:01:45.000]  更靠著耶穌基督潔滿仁義的果子
[00:01:45.000 --> 00:01:48.000]  歸榮耀稱讚給神
[00:01:48.000 --> 00:01:50.000]  感謝主
[00:01:50.000 --> 00:01:54.000]  今日有本堂的傳道人伍薇絲姑娘
[00:01:54.000 --> 00:01:56.000]  在我們中間傳道
[00:01:56.000 --> 00:02:01.000]  講題是「道山領上去傳揚」
[00:02:01.000 --> 00:02:05.000]  恭請伍姑娘
[00:02:05.000 --> 00:02:10.000]  請伍姑娘上台
[00:02:11.000 --> 00:02:14.000]  請姐妹平安
[00:02:14.000 --> 00:02:25.000]  道山領上去傳揚是一首古老的文歌
[00:02:25.000 --> 00:02:29.000]  歌詞是呼籲人走到每一個山領
[00:02:29.000 --> 00:02:33.000]  越過山崗去傳揚一個好的訊息
[00:02:33.000 --> 00:02:37.000]  就是救主耶穌基督已經降生
[00:02:37.000 --> 00:02:41.000]  這首詩歌在我中學時代已經很喜歡唱
[00:02:41.000 --> 00:02:43.000]  每逢唱的時候
[00:02:43.000 --> 00:02:47.000]  我都會想像一大群在野地裡
[00:02:47.000 --> 00:02:49.000]  看守羊群的牧羊人
[00:02:49.000 --> 00:02:51.000]  因為天使的報信
[00:02:51.000 --> 00:02:57.000]  他們去百里行看到救主鷹鞋臥在馬槽裡
[00:02:57.000 --> 00:02:58.000]  想起天使說
[00:02:58.000 --> 00:03:02.000]  這就是他們所盼望很久的救主耶穌基督
[00:03:02.000 --> 00:03:06.000]  於是就非常興奮地跑上山領
[00:03:06.000 --> 00:03:09.000]  高聲宣講這個好訊息
[00:03:09.000 --> 00:03:13.000]  為什麼他們要跑上山領呢?
[00:03:13.000 --> 00:03:15.000]  除了因為他們的同伴
[00:03:15.000 --> 00:03:16.000]  即其他牧羊人
[00:03:16.000 --> 00:03:19.000]  都應該遍佈在山頭之外
[00:03:19.000 --> 00:03:22.000]  從高處向下吶喊
[00:03:22.000 --> 00:03:26.000]  更加會引起很多人的注意
[00:03:26.000 --> 00:03:28.000]  好像星期五的時候
[00:03:28.000 --> 00:03:32.000]  有很多香港人用燈光造成了閃亮的銀邊
[00:03:32.000 --> 00:03:35.000]  在獅子山頭那裡成為一個很矚目的畫面
[00:03:35.000 --> 00:03:38.000]  也引起很多人的注意
