
[00:00:00.000 --> 00:00:04.200]  我們本堂的陳麗慈牧師在你當中傳講一陣話語
[00:00:04.200 --> 00:00:06.600]  她的講題是
[00:00:06.600 --> 00:00:10.200]  「世界的虛 神國的異」
[00:00:10.200 --> 00:00:13.500]  相關的經文是記載在《盧家福音》
[00:00:13.500 --> 00:00:18.200]  22章47至53節
[00:00:18.200 --> 00:00:24.000]  是記載在《新約聖經》第130頁
[00:00:25.500 --> 00:00:30.500]  盧家福音22章47至53節
[00:00:30.500 --> 00:00:33.000]  聖經這樣說
[00:00:33.000 --> 00:00:38.500]  耶穌還在說話的時候來了一群人
[00:00:38.500 --> 00:00:42.000]  十二使徒之一名叫猶大的
[00:00:42.000 --> 00:00:47.000]  走在前頭接近耶穌要親他
[00:00:47.000 --> 00:00:49.500]  耶穌對他說
[00:00:49.500 --> 00:00:54.000]  猶大 你用親吻來出賣人子嗎?
[00:00:55.000 --> 00:00:59.000]  左右的人見了要發生的事就說
[00:00:59.000 --> 00:01:02.500]  主啊 我們拿刀砍好不好?
[00:01:02.500 --> 00:01:07.500]  其中有一個人把大祭司的僕人砍了一刀
[00:01:07.500 --> 00:01:10.500]  削掉了他的右耳
[00:01:10.500 --> 00:01:12.500]  耶穌回答說
[00:01:12.500 --> 00:01:16.500]  算了 住手吧
[00:01:16.500 --> 00:01:21.000]  就摸那人的耳朵 把他治好了
[00:01:22.000 --> 00:01:25.000]  耶穌對那些來找他的祭司長
[00:01:25.000 --> 00:01:28.000]  守殿官和長老說
[00:01:28.000 --> 00:01:30.500]  你們帶著刀棒出來
[00:01:30.500 --> 00:01:33.500]  如同對付強盜嗎?
[00:01:33.500 --> 00:01:37.500]  我天天同你們在聖殿裡
[00:01:37.500 --> 00:01:40.000]  你們不下手找我
[00:01:40.000 --> 00:01:43.000]  現在卻是你們的時候
[00:01:43.000 --> 00:01:46.000]  黑暗掌權了
[00:01:46.000 --> 00:01:51.500]  世界的去 神國的異
[00:01:52.500 --> 00:01:54.500]  張二亞時間交給陳慧珠
[00:01:54.500 --> 00:02:10.500]  請小君讀出剛才的經文
[00:02:11.500 --> 00:02:16.500]  這段經文是在主耶穌基督和門徒
[00:02:16.500 --> 00:02:18.500]  設立了聖餐
[00:02:18.500 --> 00:02:22.500]  之後他就去到赫西瑪利園禱告
[00:02:22.500 --> 00:02:27.000]  接著一大群人就來拉耶穌
[00:02:27.000 --> 00:02:31.000]  有一個很出名的畫家達文西
[00:02:31.000 --> 00:02:35.500]  他就把最後晚餐的情景
[00:02:35.500 --> 00:02:38.000]  畫了一幅畫
[00:02:38.500 --> 00:02:41.500]  我想很多頂展家家裡
[00:02:41.500 --> 00:02:43.500]  也有這幅畫
[00:02:43.500 --> 00:02:45.000]  最後晚餐
[00:02:45.000 --> 00:02:47.500]  耶穌基督和那十二個門徒
[00:02:47.500 --> 00:02:49.500]  一起領餐
[00:02:49.500 --> 00:02:52.500]  原來畫這幅畫
[00:02:52.500 --> 00:02:56.500]  達文西花了兩年多的時間
[00:02:56.500 --> 00:02:59.500]  他畫這幅畫的時候
[00:02:59.500 --> 00:03:01.500]  先畫耶穌
[00:03:01.500 --> 00:03:03.500]  不過他就想來想去
[00:03:03.500 --> 00:03:06.000]  耶穌基督那份詞容
[00:03:06.500 --> 00:03:08.500]  怎麼去表達呢
[00:03:08.500 --> 00:03:10.000]  他說不行
[00:03:10.000 --> 00:03:12.500]  一定要找一個人的樣子
[00:03:12.500 --> 00:03:15.500]  比較柔順
[00:03:15.500 --> 00:03:17.000]  比較清秀
[00:03:17.000 --> 00:03:19.500]  才能想到怎樣畫
[00:03:19.500 --> 00:03:21.500]  所以他找了很久
[00:03:21.500 --> 00:03:25.500]  在一間教會的師班裡
[00:03:25.500 --> 00:03:27.500]  他就找到一個男生
[00:03:27.500 --> 00:03:29.000]  真的眉目清秀
[00:03:29.000 --> 00:03:32.500]  而且樣子很純潔
[00:03:32.500 --> 00:03:36.000]  他就請他做他的模特兒
[00:03:36.000 --> 00:03:39.000]  完成了耶穌的樣子
[00:03:39.000 --> 00:03:43.000]  他就陸續畫其他的門徒
[00:03:43.000 --> 00:03:48.000]  一畫就畫了一年多兩年的時間
[00:03:48.000 --> 00:03:51.000]  畫到猶大的時候
[00:03:51.000 --> 00:03:53.000]  他又覺得有點頭痛
[00:03:53.000 --> 00:03:57.000]  猶大那份奸狡
[00:03:57.000 --> 00:03:59.000]  怎麼畫呢
[00:03:59.000 --> 00:04:01.000]  他又想不到
[00:04:01.000 --> 00:04:05.000]  於是他又要去找這個人
[00:04:05.500 --> 00:04:08.500]  他覺得直覺上是猶大
[00:04:08.500 --> 00:04:11.500]  他就到處去找
[00:04:11.500 --> 00:04:16.000]  到最後在某一條街的角落
[00:04:16.000 --> 00:04:18.000]  他找到一個人
[00:04:18.000 --> 00:04:21.500]  他的面容很滄 sr
[00:04:21.500 --> 00:04:23.000]  很憔悴
[00:04:23.000 --> 00:04:27.000]  而且他的眼睛有一點點空光
[00:04:27.000 --> 00:04:30.000]  也就是說他挺兇的
[00:04:30.000 --> 00:04:32.500]  這個人剛剛喝醉酒
[00:04:32.500 --> 00:04:34.000]  醉到醉醺醺
[00:04:34.500 --> 00:04:36.000]  躺在街上
[00:04:36.000 --> 00:04:38.500]  達文西走過去跟他說
[00:04:38.500 --> 00:04:42.000]  先生,我給你一點錢
[00:04:42.000 --> 00:04:43.500]  你做我的模特兒
[00:04:43.500 --> 00:04:47.500]  醉酒佬聽到錢的眼睛都開了
[00:04:47.500 --> 00:04:49.000]  很好很好
[00:04:49.000 --> 00:04:52.500]  於是跟達文西去到他的畫室
[00:04:52.500 --> 00:04:55.000]  做他的模特兒
[00:04:55.000 --> 00:04:59.000]  達文西在畫
[00:04:59.000 --> 00:05:00.500]  畫著畫著
[00:05:00.500 --> 00:05:03.000]  醉酒佬開始有點醒
[00:05:03.500 --> 00:05:06.000]  他的眼睛開始大了
[00:05:06.000 --> 00:05:08.000]  他到處去看一看
[00:05:08.000 --> 00:05:10.000]  之後他哭了
[00:05:10.000 --> 00:05:12.000]  達文西問他
[00:05:12.000 --> 00:05:15.500]  為什麼無端端哭起來
[00:05:15.500 --> 00:05:18.000]  醉酒佬告訴他
[00:05:18.000 --> 00:05:20.500]  兩年多之前
[00:05:20.500 --> 00:05:23.500]  我曾經在這個畫室裡
[00:05:23.500 --> 00:05:25.500]  做你的模特兒
[00:05:25.500 --> 00:05:28.000]  就是你畫耶穌的時候
[00:05:28.000 --> 00:05:31.000]  那個年輕人就是我了
[00:05:31.500 --> 00:05:35.500]  原來在短短兩年多的時間裡
[00:05:35.500 --> 00:05:39.500]  他因為把持不了世界那些虛浮
[00:05:39.500 --> 00:05:42.000]  虛假的人有
[00:05:42.000 --> 00:05:44.500]  他離開了耶穌
[00:05:44.500 --> 00:05:47.500]  他雨酒放蕩
[00:05:47.500 --> 00:05:48.500]  吸毒
[00:05:48.500 --> 00:05:52.000]  過著一些很罪惡的生活
[00:05:52.000 --> 00:05:57.500]  他原本真的擁有耶穌那份純潔的容貌
