
[00:00:00.000 --> 00:00:02.000]  第四章第一節
[00:00:02.000 --> 00:00:08.000]  孩子們,要聽父親的訓誨,留心明白道理
[00:00:08.000 --> 00:00:14.000]  因我給你們好的教導,不可離棄我的教誨
[00:00:14.000 --> 00:00:20.000]  當我在父親面前還是小孩,是母親獨一嬌兒的時候
[00:00:20.000 --> 00:00:22.000]  他教導我說
[00:00:22.000 --> 00:00:29.000]  你的心要持守我的話,遵守我的命令,你就會存活
[00:00:29.000 --> 00:00:31.000]  第五節
[00:00:31.000 --> 00:00:40.000]  要獲得智慧,要獲得聰明,不可忘記,也不可偏離我口中的言語
[00:00:40.000 --> 00:00:47.000]  不可離棄智慧,智慧就庇護你,要愛它,它就保護你
[00:00:47.000 --> 00:00:54.000]  智慧為首,所以要獲得智慧,要用你一切所有的玩趣聰明
[00:00:54.000 --> 00:01:03.000]  高舉智慧,它就使你升高,擁抱智慧,它就使你尊榮
[00:01:03.000 --> 00:01:10.000]  它必將恩惠的華冠,加在你頭上,把榮名賜給你
[00:01:10.000 --> 00:01:16.000]  感謝神,我們今天有我們本堂的傳道人伍美思姑娘在我們中間靜悟
[00:01:16.000 --> 00:01:22.000]  她今天講題是「慈父的心」,現在我們將時間和恭敬交給她
[00:01:22.000 --> 00:01:30.000]  (慈父的心)
[00:01:30.000 --> 00:01:34.000]  各位師妹平安,今天是父親節
[00:01:34.000 --> 00:01:41.000]  在這裡首先祝福每一位做父親的願神親自保護你,鼓勵你
[00:01:41.000 --> 00:01:49.000]  也願意你的兒女溫暖你,讓他們的關心成為你一份的愛
[00:01:49.000 --> 00:01:52.000]  我們先低頭一起祈禱
[00:01:52.000 --> 00:01:59.000]  慈悲的父神,我們感謝你,因為你讓我們地上有父母
[00:01:59.000 --> 00:02:03.000]  讓他們的愛成為我們學習你的愛的傳源
[00:02:03.000 --> 00:02:09.000]  還有我們從他們的身上,我們知道你對我們的愛真是無窮無盡,也是無條件的
[00:02:09.000 --> 00:02:14.000]  還有和你今天都讓我們藉著所羅門的話語去學習
[00:02:14.000 --> 00:02:19.000]  去教導我們的小朋友,也知道怎樣去進行你的法則
[00:02:19.000 --> 00:02:24.000]  主也求你的靈,就好像你去賜字慰給所羅門一樣
[00:02:24.000 --> 00:02:28.000]  讓我們今天來到你的面前,都領受你的話語
[00:02:28.000 --> 00:02:32.000]  我們獻上祈禱,奉耶穌基督的名,阿們
[00:02:32.000 --> 00:02:36.000]  當我今天預備講章的時候,我就在想
[00:02:36.000 --> 00:02:42.000]  在聖經裡面,不知道有什麼人物是很能夠代表一個父親的榜樣的呢?
[00:02:42.000 --> 00:02:48.000]  想著想著,突然間我覺得聖經裡面常常都有一句話
[00:02:48.000 --> 00:02:54.000]  就是「我兒」,或者今天我們的「孩子們」,一個新的譯法
[00:02:54.000 --> 00:02:58.000]  就是我們看針研的時候,大家都會看到
[00:02:58.000 --> 00:03:01.000]  很多時候一開始就說「我兒」
[00:03:01.000 --> 00:03:07.000]  這裡就是所羅門王寫的一些對他的兒女的叮囑
[00:03:07.000 --> 00:03:11.000]  每一句都是法治肺腑之言
