
[00:00:00.000 --> 00:00:02.880]  各位弟兄姊妹主,兩面平安
[00:00:02.880 --> 00:00:04.540]  多謝敬拜隊的肢體
[00:00:04.540 --> 00:00:06.300]  很好的一首詩歌
[00:00:06.300 --> 00:00:10.420]  亦令人覺得很振奮、很感動
[00:00:10.420 --> 00:00:14.720]  剛才的詩歌敬拜我也很享受
[00:00:14.720 --> 00:00:19.780]  在先說到這裡,也提醒大家一件事
[00:00:19.780 --> 00:00:23.480]  有時候我也漸漸發覺
[00:00:23.480 --> 00:00:27.680]  將整個主日崇拜、敬拜的環節
[00:00:27.680 --> 00:00:30.560]  好像框在詩歌敬拜的部分
[00:00:30.560 --> 00:00:34.100]  好像唱完詩歌之後,大家就開始流散
[00:00:34.100 --> 00:00:35.600]  不知道散到哪裡去了
[00:00:35.600 --> 00:00:39.680]  不是的,整個敬拜應該是包含整個程序
[00:00:39.680 --> 00:00:41.400]  甚至報告、奉獻
[00:00:41.400 --> 00:00:44.100]  這些都是主日敬拜的環節
[00:00:44.100 --> 00:00:48.000]  所以提醒大家,特別是家中的弟妹
[00:00:48.000 --> 00:00:50.120]  不要唱完詩歌就散去
[00:00:50.120 --> 00:00:55.760]  要聽廣道,要完整地去敬拜上帝
[00:00:55.760 --> 00:01:01.200]  開始講到,今天想跟大家說流散
[00:01:01.200 --> 00:01:05.840]  不知道弟兄姊妹最近最熱門的話題是什麼
[00:01:05.840 --> 00:01:08.240]  最熱門討論的是什麼呢?
[00:01:08.240 --> 00:01:13.360]  在我負責的團契裡,最熱門的話題就是移民
[00:01:13.360 --> 00:01:15.600]  每個人都在說移民
[00:01:15.600 --> 00:01:18.680]  可能是說他們打算移民
[00:01:18.680 --> 00:01:21.880]  有些已經在處理、預備移民
[00:01:21.880 --> 00:01:24.400]  也有些已經移民了
[00:01:24.400 --> 00:01:28.160]  移民對於感傷的肢體來說並不陌生
[00:01:28.160 --> 00:01:31.960]  有很多家人甚至已經有外國護照
[00:01:31.960 --> 00:01:35.200]  或者已經安排了子女到外國讀書
[00:01:35.200 --> 00:01:38.320]  甚至已經讀完書回來了
[00:01:38.320 --> 00:01:42.680]  移民對我們來說並不是十分陌生的一件事
[00:01:42.680 --> 00:01:46.480]  移民或者留學,某程度上就是進入一個異文化
[00:01:46.480 --> 00:01:50.240]  去到生活,跟你本身的文化是完全不同的
[00:01:50.240 --> 00:01:54.000]  雖然我沒有去異文化地方生活的經驗
[00:01:54.000 --> 00:01:56.560]  但是也去過很多次短訊
[00:01:56.560 --> 00:01:59.240]  也聽過很多不同的人分享
[00:01:59.240 --> 00:02:01.520]  有些異文化真的很有趣
[00:02:01.520 --> 00:02:05.440]  怎樣有趣呢?我講幾個例子給大家聽
[00:02:05.440 --> 00:02:08.440]  我不講地方,只講那個情況
[00:02:08.440 --> 00:02:11.800]  有一個地方的人是非常熱情的
[00:02:11.800 --> 00:02:15.080]  他們三不識七的人都可以圍在一起聊天
[00:02:15.080 --> 00:02:18.560]  聊半個小時,真的三不識七
[00:02:18.560 --> 00:02:22.240]  有人提醒我在那裡,如果你迷路,你要問路
[00:02:22.240 --> 00:02:24.840]  你千萬不要只問一個人
[00:02:24.840 --> 00:02:26.000]  為什麼不要問一個人?
[00:02:26.000 --> 00:02:28.840]  因為那個人會非常熱情地招呼你
[00:02:28.840 --> 00:02:31.160]  然後他為了幫你
[00:02:31.160 --> 00:02:34.160]  他不認識路也會指著路給你走
[00:02:34.160 --> 00:02:36.440]  所以你千萬不要只問一個,你問多幾個
[00:02:36.440 --> 00:02:38.560]  肯定那條路是對的,你才會走
[00:02:38.560 --> 00:02:40.560]  他很熱情
[00:02:40.560 --> 00:02:42.880]  又有一些地方的人
[00:02:42.880 --> 00:02:46.840]  那裡的孫教士告訴我,他們的人說謊話
[00:02:46.840 --> 00:02:48.560]  真的當吃生菜
[00:02:48.560 --> 00:02:52.440]  他們是沒有覺得說謊話是不對的概念
[00:02:52.440 --> 00:02:55.600]  甚至是童工,甚至是基督徒
[00:02:55.600 --> 00:02:58.080]  他們不會覺得說謊話是有問題的
[00:02:58.080 --> 00:03:00.200]  你當面拆穿他的謊話
[00:03:00.200 --> 00:03:01.960]  「哦,是的,你知道了」
[00:03:01.960 --> 00:03:04.920]  只是這樣而已,說謊話跟說笑好像差不多
[00:03:04.920 --> 00:03:06.480]  他們的概念裡面
[00:03:06.480 --> 00:03:09.480]  所以你不要太認真對他們
[00:03:10.600 --> 00:03:14.600]  有些地方,他們是不習慣去分享食物
[00:03:14.600 --> 00:03:17.760]  你自己吃自己的份
[00:03:17.760 --> 00:03:19.880]  你去拿他的食物是不禮貌的
[00:03:19.880 --> 00:03:22.280]  但我們不是的,我們一碟送大家一盒
[00:03:22.280 --> 00:03:24.560]  現在就好一點,用功快
[00:03:24.560 --> 00:03:27.920]  在家裡就大家選完就撩
[00:03:27.920 --> 00:03:29.760]  吃Pizza,點一個Pizza之後
[00:03:29.760 --> 00:03:31.360]  大家一人一塊吃
[00:03:31.360 --> 00:03:35.960]  他們不是的,他們12個人去一間餐廳就點12個Pizza
[00:03:35.960 --> 00:03:38.120]  自己吃自己那個
[00:03:38.120 --> 00:03:40.200]  自己叫自己的口味,吃不完那些
[00:03:40.200 --> 00:03:41.200]  隨便他吧
[00:03:41.200 --> 00:03:44.520]  不同的地方有不同的文化
[00:03:44.520 --> 00:03:45.720]  不同的習慣
[00:03:45.720 --> 00:03:49.560]  很多時候你會看到出現一些新聞
[00:03:49.560 --> 00:03:51.560]  或者一些衝突的原因
[00:03:51.560 --> 00:03:54.680]  就是一些移民化的地方
[00:03:54.680 --> 00:03:57.200]  就是一些新移民去到一個移民化的地方
[00:03:57.200 --> 00:04:00.360]  他們不願意適應那裡的習慣
[00:04:00.360 --> 00:04:03.040]  甚至企圖將自己本身的習慣
[00:04:03.040 --> 00:04:04.760]  放在一個新的地方那裡
[00:04:04.760 --> 00:04:06.760]  於是就爆發一些衝突
[00:04:06.760 --> 00:04:08.360]  引來一些問題
[00:04:09.840 --> 00:04:11.840]  今天講亞國書
[00:04:11.840 --> 00:04:17.360]  就是關於一些流散在不同地方的移民化裡面的情況
