
[00:00:00.000 --> 00:00:02.000]  請姐妹早安
[00:00:02.000 --> 00:00:04.800]  我們先一起祈禱
[00:00:04.800 --> 00:00:06.500]  感謝主耶穌
[00:00:06.500 --> 00:00:10.200]  讓我們能夠成為一個群體
[00:00:10.200 --> 00:00:15.600]  我們能夠在基督耶穌這位復活的元首之下
[00:00:15.600 --> 00:00:18.300]  我們成為神的兒女
[00:00:18.300 --> 00:00:20.600]  不再分種族
[00:00:20.600 --> 00:00:24.000]  不再分男女階級
[00:00:24.000 --> 00:00:26.900]  而是我們能夠在主耶穌裡面
[00:00:26.900 --> 00:00:28.800]  都已經成為一
[00:00:28.800 --> 00:00:30.900]  幫助我們看到
[00:00:30.900 --> 00:00:33.600]  我們是屬天的國民
[00:00:33.600 --> 00:00:35.500]  我們是等候救主
[00:00:35.500 --> 00:00:37.500]  就是我們的主耶穌基督
[00:00:37.500 --> 00:00:41.700]  將來有一天要來迎接教會
[00:00:41.700 --> 00:00:44.000]  但願我們能夠在祢的面前
[00:00:44.000 --> 00:00:46.200]  我們所過的生活
[00:00:46.200 --> 00:00:48.200]  是蒙祢所喜悅
[00:00:48.200 --> 00:00:52.400]  今早我們有十四位弟兄姊妹
[00:00:52.400 --> 00:00:55.300]  加入神的家裡面
[00:00:55.300 --> 00:00:57.400]  其實是在屬天上
[00:00:57.400 --> 00:01:00.200]  他們成為了神的兒女
[00:01:00.200 --> 00:01:02.800]  我們能夠參與在其中
[00:01:02.800 --> 00:01:05.000]  見證神的救恩
[00:01:05.000 --> 00:01:08.000]  再一次在不同的弟兄姊妹
[00:01:08.000 --> 00:01:10.100]  他們過去的歷史
[00:01:10.100 --> 00:01:11.900]  過去的家庭背景
[00:01:11.900 --> 00:01:14.100]  能夠得到神的拯救
[00:01:14.100 --> 00:01:17.500]  這是一個很大的恩典和福氣
[00:01:17.500 --> 00:01:19.800]  我們能夠這樣來參與
[00:01:19.800 --> 00:01:22.900]  是神給教會一份很大的福氣
[00:01:22.900 --> 00:01:24.600]  我們獻上感謝
[00:01:24.600 --> 00:01:28.400]  我們在今天思想感謝
[00:01:28.400 --> 00:01:31.000]  求祢讓我們大家有一份
[00:01:31.000 --> 00:01:36.200]  常常有的感恩的態度、文化
[00:01:36.200 --> 00:01:37.700]  在我們的教會
[00:01:37.700 --> 00:01:40.600]  在我們每一位弟兄姊妹的內心
[00:01:40.600 --> 00:01:42.500]  我們一起在祢面前等候
[00:01:42.500 --> 00:01:45.600]  願祢的聖靈運行在聚會當中
[00:01:45.600 --> 00:01:47.300]  向我們說話
[00:01:47.300 --> 00:01:48.800]  我們這樣祈禱
[00:01:48.800 --> 00:01:51.100]  奉耶穌基督的名
[00:01:51.100 --> 00:01:52.800]  阿們
[00:01:52.800 --> 00:01:55.000]  今早的講道
[00:01:55.000 --> 00:01:57.000]  有兩個向道
[00:01:57.000 --> 00:01:58.100]  一方面
