
[00:00:00.000 --> 00:00:02.520]  我們一起簡單有禱告
[00:00:02.520 --> 00:00:05.680]  再一次多謝主讓我們有機會
[00:00:05.680 --> 00:00:10.920]  仔細地逐段地看《約翰福音》
[00:00:10.920 --> 00:00:16.600]  讓我們能夠掌握到這本書一個很重要的真理
[00:00:16.600 --> 00:00:23.080]  就是作者要介紹耶穌就是尼塞亞
[00:00:23.080 --> 00:00:26.520]  這位道成肉身來到這個世界
[00:00:26.520 --> 00:00:29.520]  拯救世人是神的禮物
[00:00:29.520 --> 00:00:32.720]  讓我們能夠藉著相信耶穌
[00:00:32.720 --> 00:00:35.040]  就可以獲得這個新的生命
[00:00:35.040 --> 00:00:36.840]  而且是豐盛的生命
[00:00:36.840 --> 00:00:38.360]  我們很感謝主
[00:00:38.360 --> 00:00:41.760]  求主幫助我們來到最後這兩章聖經
[00:00:41.760 --> 00:00:43.320]  能夠明白
[00:00:43.320 --> 00:00:47.480]  尤其是最重要的三十一節
[00:00:47.480 --> 00:00:52.520]  是整卷書寫作的動機和目的
[00:00:52.520 --> 00:00:54.520]  幫助我們能夠掌握
[00:00:54.520 --> 00:00:56.640]  雖然我們不是猶太人
[00:00:56.640 --> 00:01:00.280]  我們也不是一些未信主的
[00:01:00.280 --> 00:01:03.720]  在猶太教之下受到合制的
[00:01:03.720 --> 00:01:07.800]  一些被律法規範的人
[00:01:07.800 --> 00:01:12.240]  雖然我們也是二千年後的外邦人
[00:01:12.240 --> 00:01:13.720]  但是我們知道
[00:01:13.720 --> 00:01:17.240]  神的話語那種跨越時代
[00:01:17.240 --> 00:01:20.200]  跨越時空是這麼奇妙
[00:01:20.200 --> 00:01:23.920]  我們今天已經翻譯成中文
[00:01:23.920 --> 00:01:27.480]  我們去讀也可以藉著經文
[00:01:27.480 --> 00:01:30.040]  我們可以和主耶穌相遇
[00:01:30.040 --> 00:01:32.680]  我們可以得到這個永恆生命
[00:01:32.680 --> 00:01:35.560]  和明白神的救贖計劃
[00:01:35.560 --> 00:01:37.360]  所以求主幫助我們
[00:01:37.360 --> 00:01:39.240]  不僅僅是明白了
