
[00:00:00.000 --> 00:00:20.000]  宋拜正開始,請各位大英姐妹預備心,準備敬拜上帝。
[00:00:20.000 --> 00:00:26.000]  詩篇九篇,一字二字地說:
[00:00:26.000 --> 00:00:32.000]  我要一心稱謝耶和華,傳揚你一切奇妙的作為。
[00:00:32.000 --> 00:00:38.000]  我要因你歡喜快樂,至高者,我要歌頌你的名。
[00:00:38.000 --> 00:00:46.000]  雖然近期疫情反彈,而我們天崇各位兄弟姐妹也很久沒有團聚了,
[00:00:46.000 --> 00:00:53.000]  但是我們對上帝的敬拜不會因為這樣而停止,而是要更加敬拜讚美祂,
[00:00:53.000 --> 00:00:57.000]  因為我們有千萬個理由去敬拜上帝。
[00:00:57.000 --> 00:01:08.000]  祝福祂的美麗,我愛祂。
[00:01:08.000 --> 00:01:19.000]  我尊崇祂的聖名,聽眾心的全力歌頌祢。
[00:01:19.000 --> 00:01:24.000]  我尊崇祢的聖名,
[00:01:24.000 --> 00:01:31.000]  祈求祢生今世,萬物皆來臨。
[00:01:31.000 --> 00:01:36.000]  我就是要讚美祂所有的神,
[00:01:36.000 --> 00:01:43.000]  無論將永遠對視,神情還是意境。
[00:01:43.000 --> 00:01:49.000]  等夜晚來,寧願要歌頌祢。
[00:01:49.000 --> 00:01:55.000]  順藏著祢名,我愛祢光榮,
[00:01:55.000 --> 00:02:06.000]  我尊崇祂的聖名,聽眾心的全力歌頌祢。
[00:02:06.000 --> 00:02:11.000]  我尊崇祢的聖名。
[00:02:11.000 --> 00:02:17.000]  當陽光升起,是新的一天,親愛的。
[00:02:17.000 --> 00:02:22.000]  是時候再次唱祢的歌了。
[00:02:22.000 --> 00:02:29.000]  萬物皆來臨,萬物皆來臨。
[00:02:29.000 --> 00:02:35.000]  等夜晚來,寧願要歌頌祢。
[00:02:35.000 --> 00:02:41.000]  順藏著祢名,我愛祢光榮,
[00:02:41.000 --> 00:02:49.000]  我尊崇祢的聖名,聽眾心的全力歌頌祢。
[00:02:49.000 --> 00:02:57.000]  我尊崇祢的聖名。
[00:02:57.000 --> 00:03:03.000]  當陽光升起,是新的一天,親愛的。
[00:03:03.000 --> 00:03:08.000]  是時候再次唱祢的歌了。
[00:03:08.000 --> 00:03:15.000]  萬物皆來臨,萬物皆來臨。
[00:03:15.000 --> 00:03:22.000]  萬物皆來臨,萬物皆來臨。
[00:03:22.000 --> 00:03:28.000]  我尊崇祢的聖名,我愛祢光榮,
[00:03:28.000 --> 00:03:36.000]  我尊崇祢的聖名,聽眾心的全力歌頌祢。
[00:03:36.000 --> 00:03:43.000]  我尊崇祢的聖名,我愛祢光榮,
[00:03:43.000 --> 00:03:49.000]  順藏著祢名,我愛祢光榮,
[00:03:49.000 --> 00:03:59.000]  尊崇祢的聖名,聽眾心的全力歌頌祢。
[00:03:59.000 --> 00:04:04.000]  我尊崇祢的聖名。
[00:04:04.000 --> 00:04:10.000]  我尊崇祢的聖名,我愛祢光榮,
[00:04:10.000 --> 00:04:18.000]  我尊崇祢的聖名,聽眾心的全力歌頌祢。
[00:04:33.000 --> 00:04:42.000]  不可能,永要的主放棄尊貴,
[00:04:42.000 --> 00:04:50.000]  寧願為我獵得一切,為我今生盪世,
[00:04:50.000 --> 00:04:57.000]  來讓我得見主光輝。
[00:04:57.000 --> 00:05:06.000]  不可能,難道還能像這樣,
[00:05:06.000 --> 00:05:13.000]  看應衝動被迫在的高陽,來而身體獻上,
[00:05:13.000 --> 00:05:19.000]  流著血悲傷,一如十九常,
[00:05:19.000 --> 00:05:25.000]  萬用的全性為心際,
[00:05:25.000 --> 00:05:31.000]  如此上帝耶穌太偉大,太美麗,
[00:05:31.000 --> 00:05:37.000]  願這人變來全萬種百世,
