
[00:00:00.000 --> 00:00:04.000]  好,弟兄姊妹晚安
[00:00:04.000 --> 00:00:10.000]  我們又可以來到去研讀歸回的歷史書
[00:00:10.000 --> 00:00:12.000]  尼欺米記
[00:00:12.000 --> 00:00:14.000]  我們今天會看第六章
[00:00:14.000 --> 00:00:16.000]  我們一起祈禱
[00:00:16.000 --> 00:00:18.000]  天父多謝你
[00:00:18.000 --> 00:00:22.000]  多謝你讓我們可以每個星期四晚
[00:00:22.000 --> 00:00:25.000]  大家能夠用心去研讀聖經
[00:00:25.000 --> 00:00:29.000]  能夠從經文裏面去思想
[00:00:29.000 --> 00:00:31.000]  作為一位領袖
[00:00:31.000 --> 00:00:39.000]  在當時他要帶領重建聖城
[00:00:39.000 --> 00:00:45.000]  很盼望神都讓我們透過領袖的擺相
[00:00:45.000 --> 00:00:47.000]  我們從其中學習
[00:00:47.000 --> 00:00:50.000]  我們今天晚上等候在你的面前
[00:00:50.000 --> 00:00:53.000]  我們這樣禱告奉耶穌基督的名
[00:00:53.000 --> 00:00:55.000]  阿們
[00:00:57.000 --> 00:00:59.000]  是不是有些雜音
[00:00:59.000 --> 00:01:01.000]  讓我看看
[00:01:01.000 --> 00:01:04.000]  還是要靜音
[00:01:04.000 --> 00:01:07.000]  我們進入第六章
[00:01:07.000 --> 00:01:09.000]  又是重溫一點
[00:01:09.000 --> 00:01:11.000]  第三章你見到
[00:01:11.000 --> 00:01:22.000]  尼欺米他講不同的四圍的城牆的方位
[00:01:22.000 --> 00:01:25.000]  安置哪些猶太人
[00:01:25.000 --> 00:01:27.000]  哪些領袖
[00:01:27.000 --> 00:01:29.000]  怎樣做法
[00:01:29.000 --> 00:01:33.000]  第三章很集中地講
[00:01:33.000 --> 00:01:39.000]  他能夠動員有多少人可以協助他
[00:01:39.000 --> 00:01:42.000]  因為沒有人根本就做不到
[00:01:42.000 --> 00:01:44.000]  大家都認同那個事公
[00:01:44.000 --> 00:01:46.000]  一齊來到去
[00:01:46.000 --> 00:01:48.000]  重中之重的
[00:01:48.000 --> 00:01:54.000]  現在是要趕緊讓城牆和門能夠連絡好
[00:01:54.000 --> 00:01:59.000]  去到第七章就可以有事做了
[00:01:59.000 --> 00:02:01.000]  如果不是安息日
[00:02:01.000 --> 00:02:06.000]  就可以外邦人進來做普通的買賣
[00:02:06.000 --> 00:02:08.000]  但一到安息日
[00:02:08.000 --> 00:02:10.000]  這個民族
[00:02:10.000 --> 00:02:12.000]  這個神的選民
[00:02:12.000 --> 00:02:14.000]  就要守安息日
[00:02:14.000 --> 00:02:17.000]  就很嚴肅地暫時不可以買賣
[00:02:17.000 --> 00:02:19.000]  外邦人就進不來了
[00:02:19.000 --> 00:02:21.000]  所以第七章你會見到
[00:02:21.000 --> 00:02:23.000]  當城牆做好之後
[00:02:23.000 --> 00:02:26.000]  百姓就要來把關
[00:02:26.000 --> 00:02:29.000]  有些地方是不准外邦人進
[00:02:29.000 --> 00:02:31.000]  這樣就很清楚了
[00:02:31.000 --> 00:02:32.000]  你可想而知
[00:02:32.000 --> 00:02:35.000]  如果沒有了那個基本的基建
[00:02:35.000 --> 00:02:38.000]  很難做到要讓神的選民
[00:02:38.000 --> 00:02:40.000]  慢慢回到那個標準
[00:02:40.000 --> 00:02:43.000]  就是摩西的律法書的標準
[00:02:43.000 --> 00:02:46.000]  這個標準都不只是為了做而做
[00:02:46.000 --> 00:02:48.000]  而是這個民族
[00:02:48.000 --> 00:02:51.000]  是要孕育尼塞亞降臨
[00:02:51.000 --> 00:02:53.000]  所以你可以看到
[00:02:53.000 --> 00:02:55.000]  雖然尼西米未必很清楚
[00:02:55.000 --> 00:02:57.000]  何時耶穌基督
[00:02:57.000 --> 00:02:59.000]  這位尼塞亞會降生
[00:02:59.000 --> 00:03:02.000]  但是我們現在回望的時候
[00:03:02.000 --> 00:03:04.000]  神在歷史裏面
[00:03:04.000 --> 00:03:07.000]  就揀選了一位這麼重要的領袖
[00:03:07.000 --> 00:03:09.000]  他是一個外邦的走證
[00:03:09.000 --> 00:03:14.000]  但是他有感動要回到
[00:03:14.000 --> 00:03:16.000]  一回到自然就是
[00:03:16.000 --> 00:03:19.000]  當你肩負起一個這麼大的工程
