
[00:00:00.000 --> 00:00:03.000]  各位兄弟姐妹,我們一起祈禱吧
[00:00:03.000 --> 00:00:06.000]  多謝主再一次招聚我們
[00:00:06.000 --> 00:00:08.000]  來聆聽你的話語
[00:00:08.000 --> 00:00:10.000]  我們一直看《創世紀》
[00:00:10.000 --> 00:00:14.000]  由阿伯拉罕的家庭、家族
[00:00:14.000 --> 00:00:16.000]  一直我們看到
[00:00:16.000 --> 00:00:18.000]  已經到了第四代
[00:00:18.000 --> 00:00:21.000]  神的恩典、神的應許的約
[00:00:21.000 --> 00:00:23.000]  是沒有廢棄
[00:00:23.000 --> 00:00:26.000]  而且是一直來到落實
[00:00:26.000 --> 00:00:28.000]  其中那個奧妙
[00:00:28.000 --> 00:00:30.000]  是我們無法想像
[00:00:30.000 --> 00:00:32.000]  特別關乎到約瑟
[00:00:32.000 --> 00:00:35.000]  有一個這麼奇妙的計劃
[00:00:35.000 --> 00:00:37.000]  是很多年前
[00:00:37.000 --> 00:00:39.000]  就在他兩個夢裡面
[00:00:39.000 --> 00:00:44.000]  要讓他知道這個預言
[00:00:44.000 --> 00:00:46.000]  將來神怎樣來到去
[00:00:46.000 --> 00:00:50.000]  透過他去解救全地
[00:00:50.000 --> 00:00:52.000]  我們都盼望
[00:00:52.000 --> 00:00:54.000]  藉著這些已經發生了的歷史
[00:00:54.000 --> 00:00:56.000]  經文的記載
[00:00:56.000 --> 00:00:59.000]  我們能夠找到一些蛛絲馬跡
[00:00:59.000 --> 00:01:01.000]  尤其是神的足跡
[00:01:01.000 --> 00:01:05.000]  怎樣我們可以在現在的時代
[00:01:05.000 --> 00:01:07.000]  在我們自己的人生
[00:01:07.000 --> 00:01:10.000]  去跟隨神的旨意
[00:01:10.000 --> 00:01:14.000]  來活在這個社會、這個時代
[00:01:14.000 --> 00:01:16.000]  去作這個時代的見證
[00:01:16.000 --> 00:01:18.000]  求你帶領我們
[00:01:18.000 --> 00:01:20.000]  我們一起在你面前等候、禱告
[00:01:20.000 --> 00:01:23.000]  奉耶穌基督的名,阿們
[00:01:23.000 --> 00:01:26.000]  我們正式開始
[00:01:26.000 --> 00:01:28.000]  再補充一下
[00:01:28.000 --> 00:01:31.000]  因為可能我上兩天
[00:01:31.000 --> 00:01:33.000]  用另外一個戶口
[00:01:33.000 --> 00:01:38.000]  登出了Zoom和Facebook
[00:01:38.000 --> 00:01:40.000]  所以我今天進不來
[00:01:40.000 --> 00:01:42.000]  剛才我又忘了問同工
[00:01:42.000 --> 00:01:44.000]  所以我Facebook那裡就不開了
[00:01:44.000 --> 00:01:48.000]  所以就只是在現在這個頁面的Zoom這裡
[00:01:48.000 --> 00:01:50.000]  所以如果有些弟兄姊妹
[00:01:50.000 --> 00:01:52.000]  他習慣了看Facebook
[00:01:52.000 --> 00:01:54.000]  可以叫他現在進Zoom
[00:01:54.000 --> 00:01:58.000]  又或者是之後聽回錄音就可以了
[00:01:58.000 --> 00:02:04.000]  我們就繼續看約瑟的故事
[00:02:04.000 --> 00:02:06.000]  可能今天還未必能說完
[00:02:06.000 --> 00:02:09.000]  因為還有八章聖經
[00:02:09.000 --> 00:02:12.000]  其中今天我們一定要問一個問題
[00:02:12.000 --> 00:02:16.000]  既然神的旨意
[00:02:16.000 --> 00:02:18.000]  藉著約瑟
