
[00:00:00.000 --> 00:00:07.000]  主耶穌在那撒勒自己成長的家鄉
[00:00:08.000 --> 00:00:12.000]  謝謝吳全道剛才讀的聖經
[00:00:12.000 --> 00:00:20.000]  這段聖經雖然是相當長
[00:00:20.000 --> 00:00:23.000]  但是也有一個很清晰的訊息
[00:00:23.000 --> 00:00:29.000]  就是主耶穌在當時那撒勒自己成長的家鄉
[00:00:29.000 --> 00:00:35.000]  由一個帶給當時聽的群眾
[00:00:35.000 --> 00:00:37.000]  特別是在會堂裏面
[00:00:37.000 --> 00:00:42.000]  大部分是一些弟兄、男士
[00:00:42.000 --> 00:00:45.000]  帶來一個很大的盼望
[00:00:45.000 --> 00:00:52.000]  但是這個盼望隨著耶穌引述兩段的舊約聖經
[00:00:52.000 --> 00:00:56.000]  就開始對耶穌有一個失望
[00:00:56.000 --> 00:00:59.000]  最終甚至乎去到一個絕望
[00:00:59.000 --> 00:01:04.000]  要推耶穌下山崖來想殺祂
[00:01:04.000 --> 00:01:08.000]  為甚麼會有一個這麼大的落差
[00:01:08.000 --> 00:01:10.000]  今天很想用這段聖經
[00:01:10.000 --> 00:01:13.000]  特別是現在疫情都相當嚴峻
[00:01:13.000 --> 00:01:17.000]  也都在由國安法之後
[00:01:17.000 --> 00:01:23.000]  都觀察到社會瀰漫著一些絕望
[00:01:23.000 --> 00:01:28.000]  瀰漫著很多的撕裂、很多的問題
[00:01:28.000 --> 00:01:34.000]  信仰群體我們是應該超越了政治的任何一方面
[00:01:34.000 --> 00:01:36.000]  不應該有顏色的
[00:01:36.000 --> 00:01:42.000]  但是信仰群體要帶來人有盼望
[00:01:42.000 --> 00:01:45.000]  帶來那個對神
[00:01:45.000 --> 00:01:51.000]  在這個時代雖然不是太知道那個情況
[00:01:51.000 --> 00:01:54.000]  是怎樣來到它一路的開始
[00:01:54.000 --> 00:01:57.000]  但是信仰群體絕對不能夠失去的
[00:01:57.000 --> 00:02:00.000]  就是對神的盼望
[00:02:00.000 --> 00:02:04.000]  所以這段聖經相當具指標性
[00:02:04.000 --> 00:02:08.000]  是路加福音開始的時候
[00:02:08.000 --> 00:02:14.000]  就好像告訴我們主耶穌祂這個很早期的述志
[00:02:14.000 --> 00:02:19.000]  將祂自己在未來要做的就說出來了
[00:02:19.000 --> 00:02:27.000]  而且不介意讓祂的鄉民、祂的同胞
[00:02:27.000 --> 00:02:30.000]  知道祂真正想做的
[00:02:30.000 --> 00:02:35.000]  是和一般人想法是會有很大的不同和落差
[00:02:35.000 --> 00:02:42.000]  到底怎樣來將這件事解釋得清楚呢?
[00:02:42.000 --> 00:02:45.000]  到底主耶穌是什麼身份呢?
[00:02:45.000 --> 00:02:48.000]  這個述志很重要
[00:02:48.000 --> 00:02:51.000]  和帶來的盼望也是很重要
[00:02:51.000 --> 00:02:55.000]  是這個路加福音一個很重要的主題
[00:02:55.000 --> 00:02:57.000]  我們先有一個簡單祈禱
[00:02:57.000 --> 00:02:59.000]  親愛的主
[00:02:59.000 --> 00:03:02.000]  我們再一次來打開聖經
[00:03:02.000 --> 00:03:07.000]  我們能夠有幸可以來聆聽主耶穌
[00:03:07.000 --> 00:03:10.000]  來當年的在拿撒勒會堂
[00:03:10.000 --> 00:03:13.000]  來中讀這個以塞亞書的61章
[00:03:13.000 --> 00:03:18.000]  關乎到尼塞亞來到這個世界要做的工作
[00:03:18.000 --> 00:03:20.000]  我們很稀奇
[00:03:20.000 --> 00:03:25.000]  主耶穌你可以當面和自己的村民、鄉民說
[00:03:25.000 --> 00:03:29.000]  這段聖經就是代表著你就是尼塞亞
[00:03:29.000 --> 00:03:35.000]  帶來的讓當時的聽眾感到很大的振奮
[00:03:35.000 --> 00:03:39.000]  但是這個振奮很快就變成一個絕望
[00:03:39.000 --> 00:03:41.000]  甚至對你的逼迫
[00:03:41.000 --> 00:03:43.000]  我們覺得很稀奇
[00:03:43.000 --> 00:03:47.000]  我們很盼望今早我們一起在你面前來等候
[00:03:47.000 --> 00:03:51.000]  我們來仰望聖靈的教導
[00:03:51.000 --> 00:03:55.000]  使我們能夠明白這段聖經的教訓
[00:03:55.000 --> 00:03:57.000]  和讓我們在這個時代
[00:03:57.000 --> 00:04:04.000]  到日一齊我們教會都能夠一起有這個在神裡面的盼望
[00:04:04.000 --> 00:04:09.000]  和真正了解我們怎樣來幫助有需要的人
[00:04:09.000 --> 00:04:14.000]  我們在你面前等候禱告奉耶穌基督的名
[00:04:14.000 --> 00:04:15.000]  阿們
[00:04:15.000 --> 00:04:19.000]  你可以說這段聖經分了兩個段落
[00:04:19.000 --> 00:04:21.000]  最大的那個明顯就是
[00:04:21.000 --> 00:04:25.000]  由當時的在會堂裡面
[00:04:25.000 --> 00:04:27.000]  來到去聽耶穌說話
[00:04:27.000 --> 00:04:29.000]  宣讀聖經的人
[00:04:29.000 --> 00:04:32.000]  他們那個反應
[00:04:32.000 --> 00:04:34.000]  來到去作出那個分段的
[00:04:34.000 --> 00:04:37.000]  就是第四章
[00:04:37.000 --> 00:04:39.000]  就是二十二節
[00:04:39.000 --> 00:04:41.000]  眾人因為耶穌這樣說完
[00:04:41.000 --> 00:04:42.000]  說什麼呢
[00:04:42.000 --> 00:04:43.000]  二十一節說
