
[00:00:00.000 --> 00:00:02.540]  請姐妹子們平安
[00:00:02.540 --> 00:00:05.380]  我們一起簡單祈禱
[00:00:05.380 --> 00:00:08.700]  再一次我們將我們大家的心靈
[00:00:08.700 --> 00:00:11.540]  來去交託、仰望
[00:00:11.540 --> 00:00:15.180]  很盼望當我們去宣講你的話語
[00:00:15.180 --> 00:00:17.740]  你的道、你的聖靈
[00:00:17.740 --> 00:00:21.900]  在我們大家的心靈裏面來去工作
[00:00:21.900 --> 00:00:28.140]  讓我們看到聖經真的帶給我們有何等的盼望
[00:00:28.140 --> 00:00:30.140]  喜樂的泉源
[00:00:30.140 --> 00:00:35.260]  讓我們能夠就近我們這一位親愛的主耶穌
[00:00:35.260 --> 00:00:38.860]  今早我們等候、盼望這個訊息
[00:00:38.860 --> 00:00:42.460]  成為我們大家很寶貴的提醒
[00:00:42.460 --> 00:00:44.340]  這樣的感恩禱告
[00:00:44.340 --> 00:00:46.980]  奉耶穌基督的名
[00:00:46.980 --> 00:00:48.740]  阿們
[00:00:48.740 --> 00:00:52.140]  大家都知道主耶穌一生
[00:00:52.140 --> 00:00:57.100]  只有十二個的使徒跟隨祂
[00:00:57.100 --> 00:01:01.020]  祂的IG只有十二個追隨者
[00:01:01.020 --> 00:01:05.700]  臨死猶大都出賣祂
[00:01:05.700 --> 00:01:09.660]  所以祂對門徒的要求
[00:01:09.660 --> 00:01:11.700]  甚麼是在祂眼中
[00:01:11.700 --> 00:01:15.820]  神的眼中的門徒的特質
[00:01:15.820 --> 00:01:20.340]  在這段聖經已經充分地講得很清楚
[00:01:20.340 --> 00:01:22.620]  來表露無遺
[00:01:22.620 --> 00:01:25.020]  是家庭最核心的
[00:01:25.020 --> 00:01:27.980]  不能再有任何懸念
[00:01:27.980 --> 00:01:30.700]  你的父母、妻子、兒女
[00:01:30.700 --> 00:01:33.100]  你的兄弟、你的姐妹
[00:01:33.100 --> 00:01:36.420]  還要包括你自己這個當事人
[00:01:36.420 --> 00:01:39.100]  是你自己要跟隨這位耶穌
[00:01:39.100 --> 00:01:43.420]  所以是一個很清楚的選擇
[00:01:43.420 --> 00:01:45.060]  既然是一個選擇
[00:01:45.060 --> 00:01:46.900]  拜託你就要計算
[00:01:46.900 --> 00:01:49.020]  所以就講了兩個比喻
[00:01:49.020 --> 00:01:51.100]  蓋高樓的比喻
[00:01:51.100 --> 00:01:53.740]  和一個王打仗的比喻
[00:01:53.740 --> 00:01:55.060]  就是很清楚
[00:01:55.060 --> 00:01:56.460]  你拜託坐下
[00:01:56.460 --> 00:02:00.300]  深思熟慮地去計算
[00:02:00.300 --> 00:02:03.820]  為甚麼你要跟隨耶穌
[00:02:03.820 --> 00:02:05.700]  這個是很清楚的
[00:02:05.700 --> 00:02:06.940]  都不足夠
[00:02:06.940 --> 00:02:12.060]  去到33節還要做一個更加重的呼籲
[00:02:12.060 --> 00:02:16.260]  就是無論甚麼人
[00:02:16.260 --> 00:02:18.220]  即是說十二使徒
[00:02:18.220 --> 00:02:22.540]  是跟隨者的其中一小部份人
[00:02:22.540 --> 00:02:27.860]  因為第25節是有極多人跟隨耶穌的
[00:02:27.860 --> 00:02:29.740]  耶穌是轉過來
[00:02:29.740 --> 00:02:31.820]  向著他們講的
[00:02:31.820 --> 00:02:35.420]  整個動作很清楚
[00:02:35.420 --> 00:02:38.300]  是一個大的群眾裏面
[00:02:38.300 --> 00:02:40.980]  好像一個講台對著紅館
[00:02:40.980 --> 00:02:44.140]  幾萬人這樣講的
[00:02:44.140 --> 00:02:46.180]  耶穌33節
[00:02:46.180 --> 00:02:48.380]  無論甚麼人
[00:02:48.380 --> 00:02:52.460]  如果你不撇下一切所有
[00:02:52.460 --> 00:02:55.780]  就不可以做我的門徒
[00:02:55.780 --> 00:03:01.660]  不單止是要恨自己的家人
[00:03:01.660 --> 00:03:04.220]  還要是撇下所有
[00:03:04.220 --> 00:03:09.180]  所以這段聖經相當有那個厭惡性
[00:03:09.180 --> 00:03:12.500]  相當帶來的誤解
[00:03:12.500 --> 00:03:13.740]  都不足夠
[00:03:13.740 --> 00:03:17.580]  34、35節再講多一個比喻
[00:03:17.580 --> 00:03:19.780]  就是沒有了味道的鹽
[00:03:19.780 --> 00:03:24.180]  沒用
[00:03:24.180 --> 00:03:28.980]  門徒做不到真正的耶穌的門徒
[00:03:28.980 --> 00:03:30.900]  是沒用的
[00:03:30.900 --> 00:03:36.980]  這樣來結束這段聖經的厭惡
[00:03:36.980 --> 00:03:40.580]  首先就是中文的和合本是很好
[00:03:40.580 --> 00:03:46.820]  幫我們將這段經文做了一個詮釋
[00:03:46.820 --> 00:03:51.380]  「承卷新約」這個字是很清楚
[00:03:51.380 --> 00:03:54.980]  不是愛是恨
[00:03:54.980 --> 00:03:57.380]  「約翰福音」出現了五次
[00:03:57.380 --> 00:03:59.940]  「約翰一書猶在猶」
[00:03:59.940 --> 00:04:01.940]  「世人約恨你們」
[00:04:01.940 --> 00:04:03.860]  「約翰福音」三章二十節
[00:04:03.860 --> 00:04:06.660]  「恨你們」以前已經是恨我
[00:04:06.660 --> 00:04:09.220]  是很清楚那個恨字
[00:04:09.220 --> 00:04:11.860]  所以不需要幫聖經解釋
[00:04:11.860 --> 00:04:14.020]  主耶穌的原文是很清楚
[00:04:14.020 --> 00:04:18.100]  或者盧家醫生他真的用了這個字
[00:04:18.100 --> 00:04:20.820]  不過和合本真的很好
[00:04:20.820 --> 00:04:24.500]  原來幫我們做了一個詮釋
[00:04:24.500 --> 00:04:28.020]  就是說愛這位主
[00:04:28.020 --> 00:04:30.020]  愛到一個地步
[00:04:30.020 --> 00:04:33.940]  就等同於要恨其他的事情
[00:04:33.940 --> 00:04:38.300]  這些好像不是很明白的概念
[00:04:38.300 --> 00:04:40.020]  試試用一些類比
[00:04:40.020 --> 00:04:42.900]  看看大家是不是能夠有共鳴
[00:04:42.900 --> 00:04:45.700]  我是車路士的球迷
[00:04:45.700 --> 00:04:48.020]  沒得改變的了
[00:04:48.020 --> 00:04:51.220]  很自然我就會恨曼聯
[00:04:51.220 --> 00:04:54.500]  很自然我就不喜歡利物浦
[00:04:54.500 --> 00:04:57.140]  很自然我就真的會對曼城
[00:04:57.140 --> 00:04:59.140]  「你波三這麼難看」
[00:04:59.140 --> 00:05:01.060]  很自然的
[00:05:01.060 --> 00:05:03.380]  我是巴西的球迷
[00:05:03.380 --> 00:05:07.780]  很自然我就不喜歡阿根廷
[00:05:07.780 --> 00:05:09.940]  巴西輸了一場世界盃
[00:05:09.940 --> 00:05:11.220]  7比1
[00:05:11.220 --> 00:05:14.180]  以後不敢看
[00:05:14.180 --> 00:05:16.020]  看到也不敢看
[00:05:16.020 --> 00:05:19.220]  不敢回憶那個痛苦
