
[00:00:00.000 --> 00:00:01.660]  各位姐妹 晚上好
[00:00:01.660 --> 00:00:03.920]  晚安
[00:00:03.920 --> 00:00:07.580]  今晚下了很大雨
[00:00:07.580 --> 00:00:09.780]  之前非常大雨
[00:00:09.780 --> 00:00:12.780]  我們為天體祈禱
[00:00:12.780 --> 00:00:13.780]  真的很感恩
[00:00:13.780 --> 00:00:16.340]  在我們聚會開始前半小時
[00:00:16.340 --> 00:00:18.340]  雨就停了
[00:00:18.340 --> 00:00:20.080]  風也停了
[00:00:20.080 --> 00:00:21.980]  我們在講道之前
[00:00:21.980 --> 00:00:23.360]  我們一起低頭禱告
[00:00:23.360 --> 00:00:28.080]  才藝天父上帝
[00:00:28.080 --> 00:00:30.500]  我們感謝讚美祢
[00:00:30.500 --> 00:00:32.880]  祢此刻救恩給我們
[00:00:32.880 --> 00:00:34.880]  祢減少我們當中
[00:00:34.880 --> 00:00:36.880]  每一個弟兄姊妹
[00:00:36.880 --> 00:00:39.880]  主啊 祢亦帶領我們
[00:00:39.880 --> 00:00:43.380]  讓我們要作祢的門徒
[00:00:43.380 --> 00:00:47.380]  主啊 在這個分裂的世代當中
[00:00:47.380 --> 00:00:49.880]  主啊 我們的心很容易被
[00:00:49.880 --> 00:00:53.380]  其他的事物所牽引
[00:00:53.380 --> 00:00:55.880]  主啊 求祢去指教我們
[00:00:55.880 --> 00:00:58.380]  在這個幕後的世代
[00:00:58.380 --> 00:01:00.880]  主啊 求祢以我們同在
[00:01:00.880 --> 00:01:02.880]  我們亦都懇求祢
[00:01:02.880 --> 00:01:05.380]  求祢的聖靈將祢的話語
[00:01:05.380 --> 00:01:07.880]  讓我們能夠聽得清楚
[00:01:07.880 --> 00:01:09.380]  能夠明明白白
[00:01:09.380 --> 00:01:11.880]  亦都幫助我們能夠
[00:01:11.880 --> 00:01:14.380]  活出基督的樣式
[00:01:14.380 --> 00:01:15.880]  改變我們的生命
[00:01:15.880 --> 00:01:20.380]  我們願意將一切的榮耀都歸給祢
[00:01:20.380 --> 00:01:21.380]  我們謹祷告
[00:01:21.380 --> 00:01:24.380]  是奉至耶穌基督的聖名祈求
[00:01:24.380 --> 00:01:26.380]  阿門
[00:01:26.380 --> 00:01:31.380]  弟兄姊妹
[00:01:31.380 --> 00:01:34.380]  我們在2020年的時候
[00:01:34.380 --> 00:01:39.880]  我們就經歷了幾年的新冠的疫情
[00:01:39.880 --> 00:01:42.880]  我們可以看到一波又一波的
[00:01:42.880 --> 00:01:44.880]  變種的病毒
[00:01:44.880 --> 00:01:49.380]  政府亦都有不同的限聚令
[00:01:49.380 --> 00:01:52.380]  我們就是這樣過了幾年
[00:01:52.380 --> 00:01:55.380]  但現在我們仍然都看到
[00:01:55.380 --> 00:01:57.380]  有很多弟兄姊妹都會戴口罩
[00:01:57.380 --> 00:02:00.380]  因為這個疫情雖然完結
[00:02:00.380 --> 00:02:02.380]  但亦都有流感
[00:02:02.380 --> 00:02:06.380]  和這個病毒亦都同時存在
[00:02:06.380 --> 00:02:07.380]  是夾雜
[00:02:07.380 --> 00:02:11.380]  讓我們亦都有很多的擔心
[00:02:11.380 --> 00:02:13.380]  亦都是我們現在香港
[00:02:13.380 --> 00:02:17.380]  現在正在經歷97年以後
[00:02:17.380 --> 00:02:20.380]  第二波的移民潮
[00:02:20.380 --> 00:02:21.880]  在過去這幾年
[00:02:21.880 --> 00:02:27.380]  亦都是香港最多人移民的時候
[00:02:27.380 --> 00:02:30.380]  以前97年是年輕人走
[00:02:30.380 --> 00:02:34.380]  現在是全家人一起走
[00:02:34.380 --> 00:02:36.380]  有些是幾家人一起走
[00:02:36.380 --> 00:02:40.380]  有些是教會弟兄姊妹和牧者一起走
[00:02:40.380 --> 00:02:43.380]  我們就在這樣一個環境當中
[00:02:43.380 --> 00:02:47.380]  當然要移民亦都不是那麼容易
[00:02:47.380 --> 00:02:49.380]  你要面對一些外面
[00:02:49.380 --> 00:02:51.380]  一些很遙遠的地方
[00:02:51.380 --> 00:02:54.380]  一些不同的生活環境
[00:02:54.380 --> 00:02:57.380]  要重新去找工作
[00:02:57.380 --> 00:03:00.380]  重新去找居住的地方
[00:03:00.380 --> 00:03:04.380]  所以亦都面臨著很大的挑戰
[00:03:04.380 --> 00:03:07.380]  大家都知道香港現在都是缺人才
[00:03:07.380 --> 00:03:09.380]  有一個高才通計劃
[00:03:09.380 --> 00:03:11.380]  早幾天報道
[00:03:11.380 --> 00:03:13.380]  有8萬到10萬人
[00:03:13.380 --> 00:03:16.380]  在一年當中申請高才通
[00:03:16.380 --> 00:03:18.380]  這些人全部是高學歷
[00:03:18.380 --> 00:03:20.380]  是名牌大學
[00:03:20.380 --> 00:03:23.380]  就來了香港這裡工作
[00:03:23.380 --> 00:03:25.380]  亦都是令到
[00:03:25.380 --> 00:03:28.380]  在以後的一些競爭當中
[00:03:28.380 --> 00:03:30.380]  是更加大的
[00:03:30.380 --> 00:03:32.380]  所以可以預想到
[00:03:32.380 --> 00:03:35.380]  未來我們香港在就業上面
[00:03:35.380 --> 00:03:38.380]  我們亦都會遇到很大的困難
[00:03:38.380 --> 00:03:40.380]  很多弟兄姊妹都在想
[00:03:40.380 --> 00:03:42.380]  究竟我們要離開香港
[00:03:42.380 --> 00:03:44.380]  還是留在香港呢
[00:03:44.380 --> 00:03:46.380]  CPA已經告訴我們
[00:03:46.380 --> 00:03:50.380]  在第46篇第5節怎樣說呢
[00:03:50.380 --> 00:03:52.380]  甚在其中
[00:03:52.380 --> 00:03:54.380]  成必不動搖
[00:03:54.380 --> 00:03:55.380]  道天一亮
[00:03:55.380 --> 00:03:58.380]  神必幫助者成
[00:03:58.380 --> 00:04:00.380]  聖經告訴我們
[00:04:00.380 --> 00:04:02.380]  有神同在的時候
[00:04:02.380 --> 00:04:05.380]  我們在哪裡都不怕
[00:04:05.380 --> 00:04:08.380]  只要甚不是我說的
[00:04:08.380 --> 00:04:10.380]  是聖經說的
[00:04:10.380 --> 00:04:12.380]  確實我們在這幾年當中
[00:04:12.380 --> 00:04:15.380]  我們很多人都是不想去回顧的
[00:04:15.380 --> 00:04:17.380]  真是不容易
[00:04:17.380 --> 00:04:19.380]  面對很多的艱難
[00:04:19.380 --> 00:04:21.380]  各種的環境正在急劇的
[00:04:21.380 --> 00:04:23.380]  在轉變的當中
[00:04:23.380 --> 00:04:25.380]  我們需要怎樣呢
[00:04:25.380 --> 00:04:27.380]  我們需要
[00:04:27.380 --> 00:04:29.380]  預備好我們自己
