
[00:00:00.000 --> 00:00:03.000]  阿哈把以利亞一切所做的
[00:00:03.000 --> 00:00:07.000]  和他人都殺中先知的事
[00:00:07.000 --> 00:00:10.000]  都告訴耶齊別
[00:00:10.000 --> 00:00:15.000]  耶齊別就被指責到以利亞那裡說
[00:00:15.000 --> 00:00:18.000]  明日若死時候
[00:00:18.000 --> 00:00:20.000]  我若不使你的性命
[00:00:20.000 --> 00:00:23.000]  像那些人的性命一樣
[00:00:23.000 --> 00:00:26.000]  現神明重重懲罰我
[00:00:26.000 --> 00:00:29.000]  第三節
[00:00:30.000 --> 00:00:35.000]  以利亞害怕就起來逃命
[00:00:35.000 --> 00:00:39.000]  到了猶大的別墅包
[00:00:39.000 --> 00:00:42.000]  把僕人留在那裡
[00:00:42.000 --> 00:00:50.000]  他自己在曠野走了一日的路程
[00:00:50.000 --> 00:00:57.000]  來到一火羅藤樹下就坐在那裡求死說
[00:00:58.000 --> 00:01:02.000]  耶和華現在夠了
[00:01:02.000 --> 00:01:05.000]  求你取我的性命吧
[00:01:05.000 --> 00:01:09.000]  因為我不比我的祖先好
[00:01:09.000 --> 00:01:11.000]  五節
[00:01:11.000 --> 00:01:15.000]  他躺在羅藤樹下睡著了
[00:01:15.000 --> 00:01:20.000]  看那有一個天使拍他對他說
[00:01:20.000 --> 00:01:22.000]  起來吃吧
[00:01:22.000 --> 00:01:25.000]  他觀看
[00:01:25.000 --> 00:01:29.000]  看那頭旁有燒熱的石頭
[00:01:29.000 --> 00:01:33.000]  烤的餅和一壺水
[00:01:33.000 --> 00:01:38.000]  他就吃了喝了又再躺下
[00:01:38.000 --> 00:01:42.000]  耶和華的使者回來
[00:01:42.000 --> 00:01:44.000]  被子拍他說
[00:01:44.000 --> 00:01:46.000]  起來吃吧
[00:01:46.000 --> 00:01:50.000]  因為你要走的路很遠
[00:01:50.000 --> 00:01:52.000]  八節
[00:01:53.000 --> 00:01:56.000]  他就起來吃了喝了
[00:01:56.000 --> 00:02:02.000]  將絕這飲食的力走了四十晝夜
[00:02:02.000 --> 00:02:06.000]  到了神的山就是賀列山
[00:02:06.000 --> 00:02:10.000]  他在那裡進了一個洞
[00:02:10.000 --> 00:02:12.000]  在洞中過夜
[00:02:12.000 --> 00:02:17.000]  看那耶和華的話難道他說
[00:02:17.000 --> 00:02:21.000]  以利亞你在這裡做什麼
[00:02:22.000 --> 00:02:24.000]  十節
[00:02:24.000 --> 00:02:26.000]  他說
[00:02:26.000 --> 00:02:30.000]  我為耶和華萬鈞之神大發而心
[00:02:30.000 --> 00:02:34.000]  因為以色列人背棄了你的約
[00:02:34.000 --> 00:02:37.000]  毀壞了你的壇
[00:02:37.000 --> 00:02:40.000]  用刀殺了你的先知
[00:02:40.000 --> 00:02:43.000]  只剩下我一人
[00:02:43.000 --> 00:02:46.000]  他們還要追殺我
[00:02:46.000 --> 00:02:48.000]  耶和華說
[00:02:48.000 --> 00:02:51.000]  你出來站在山上
[00:02:51.000 --> 00:02:53.000]  在耶和華面前
[00:02:53.000 --> 00:02:57.000]  看那耶和華從哪裡經過
[00:02:57.000 --> 00:03:00.000]  在耶和華面前有烈風大作
[00:03:00.000 --> 00:03:02.000]  山崩石裂
[00:03:02.000 --> 00:03:05.000]  耶和華卻不在風中
[00:03:05.000 --> 00:03:07.000]  風後有地震
[00:03:07.000 --> 00:03:10.000]  耶和華也不在其中
[00:03:10.000 --> 00:03:12.000]  十二
[00:03:12.000 --> 00:03:15.000]  地震後有火
[00:03:15.000 --> 00:03:18.000]  耶和華也不在火中
[00:03:18.000 --> 00:03:22.000]  火後有輕微細小的聲音
[00:03:22.000 --> 00:03:25.000]  以利亞聽見
[00:03:25.000 --> 00:03:27.000]  就用外衣蒙面
[00:03:27.000 --> 00:03:29.000]  出來站在洞口
[00:03:29.000 --> 00:03:30.000]  聽啊
[00:03:30.000 --> 00:03:32.000]  有聲音向他說
[00:03:32.000 --> 00:03:37.000]  以利亞你在這裡做什麼
[00:03:37.000 --> 00:03:40.000]  十四
[00:03:40.000 --> 00:03:41.000]  他說
[00:03:41.000 --> 00:03:46.000]  我為耶和華萬鈞之神大發熱心
[00:03:46.000 --> 00:03:50.000]  因為以色列人背棄了你的約
[00:03:50.000 --> 00:03:53.000]  毀壞了你的壇
[00:03:53.000 --> 00:03:56.000]  用刀殺了你的先知
[00:03:56.000 --> 00:03:58.000]  只剩下我一人
[00:03:58.000 --> 00:04:01.000]  他們還要追殺我
[00:04:01.000 --> 00:04:04.000]  耶和華對他說
[00:04:04.000 --> 00:04:05.000]  去吧
[00:04:05.000 --> 00:04:07.000]  從原路回去
[00:04:07.000 --> 00:04:10.000]  往大馬士革的曠野去
[00:04:10.000 --> 00:04:12.000]  到了那裡
[00:04:12.000 --> 00:04:15.000]  你要高哈舌作阿蘭王
[00:04:15.000 --> 00:04:19.000]  由高靈士的孫子
[00:04:19.000 --> 00:04:21.000]  耶和族以織王
[00:04:21.000 --> 00:04:24.000]  並高阿伯
[00:04:24.000 --> 00:04:25.000]  買荷拉人
[00:04:25.000 --> 00:04:27.000]  沙伐的兒子
[00:04:27.000 --> 00:04:30.000]  以尼沙族先知接續你
[00:04:30.000 --> 00:04:33.000]  將來
[00:04:33.000 --> 00:04:35.000]  透過哈舌之刀的
[00:04:35.000 --> 00:04:37.000]  必被耶和華所殺
[00:04:37.000 --> 00:04:40.000]  透過耶和之刀的
[00:04:40.000 --> 00:04:43.000]  必被以尼沙所殺
[00:04:43.000 --> 00:04:45.000]  十八節
[00:04:45.000 --> 00:04:50.000]  但我在以色列莊
[00:04:50.000 --> 00:04:52.000]  留下七千人
[00:04:52.000 --> 00:04:55.000]  是未曾向巴力屈膝
[00:04:55.000 --> 00:04:58.000]  未曾親吻巴力的
[00:04:58.000 --> 00:05:00.000]  諾經元畢
[00:05:00.000 --> 00:05:02.000]  今年早上
[00:05:02.000 --> 00:05:05.000]  有老饒雄傳道來到我們中根正道
[00:05:05.000 --> 00:05:09.000]  老傳道是本堂的傳道人
[00:05:09.000 --> 00:05:11.000]  他今天的講題是
[00:05:11.000 --> 00:05:14.000]  你在這裡做什麼
[00:05:14.000 --> 00:05:15.000]  有請老傳道
[00:05:15.000 --> 00:05:18.000]  各位感恩尊家弟兄姊妹平安
[00:05:18.000 --> 00:05:23.000]  對於一個侍奉主的信徒來說
[00:05:23.000 --> 00:05:26.000]  一生所追求的其中一個恩典
[00:05:26.000 --> 00:05:29.000]  就必然是侍奉德力
[00:05:29.000 --> 00:05:33.000]  侍奉者能夠不斷地從主領受
[00:05:33.000 --> 00:05:34.000]  侍奉的力量
[00:05:34.000 --> 00:05:37.000]  侍奉才不會乏力
[00:05:37.000 --> 00:05:39.000]  在教會裡
[00:05:39.000 --> 00:05:41.000]  經常聽到
[00:05:41.000 --> 00:05:43.000]  經常聽到人說
[00:05:43.000 --> 00:05:45.000]  做到burn out
[00:05:45.000 --> 00:05:48.000]  就是說侍奉到沒力
[00:05:48.000 --> 00:05:53.000]  甚至力量都消盡了
[00:05:53.000 --> 00:05:56.000]  由侍奉德力到侍奉武力
[00:05:56.000 --> 00:05:59.000]  中間必定經歷了一個過程
[00:05:59.000 --> 00:06:03.000]  如何能夠時時都侍奉德力呢
[00:06:03.000 --> 00:06:04.000]  又或者
