
[00:00:00.000 --> 00:00:03.000]  好 弟兄姊妹 主佬們平安
[00:00:03.000 --> 00:00:06.200]  最後一次在這裡晚堂跟大家講道
[00:00:06.200 --> 00:00:09.000]  天下無不散之筵席
[00:00:09.000 --> 00:00:12.600]  希望將來有機會再跟大家分享
[00:00:12.600 --> 00:00:17.000]  今天這個故事是一個筵席的場面
[00:00:17.000 --> 00:00:20.600]  是一個很特別的故事
[00:00:20.600 --> 00:00:21.600]  為什麼這麼說呢
[00:00:21.600 --> 00:00:23.800]  因為在《馬太福音》和《馬可福音》
[00:00:23.800 --> 00:00:29.800]  其實都記載了耶穌去一個叫做長大麻風的西門
[00:00:29.800 --> 00:00:32.400]  家裡吃飯的
[00:00:32.400 --> 00:00:35.000]  而在《路加福音》 即是今天這一段
[00:00:35.000 --> 00:00:38.400]  就說到去一個法利塞人家裡
[00:00:38.400 --> 00:00:39.400]  法利塞人家裡
[00:00:39.400 --> 00:00:42.400]  不過我們在對話裡面就知道
[00:00:42.400 --> 00:00:45.400]  原來那個法利塞人又是叫西門
[00:00:45.400 --> 00:00:49.200]  好了 《約翰福音》就沒有記載
[00:00:49.200 --> 00:00:51.400]  耶穌去誰的家裡吃飯
[00:00:51.400 --> 00:00:54.000]  不過在其他福音書裡面
[00:00:54.000 --> 00:00:55.200]  即是四卷福音書
[00:00:55.200 --> 00:00:57.800]  都是同樣地有一個女人
[00:00:57.800 --> 00:01:01.800]  拿著一瓶香膏闖入了筵席裡面
[00:01:01.800 --> 00:01:03.600]  馬太和馬可就說
[00:01:03.600 --> 00:01:06.400]  她用這個香膏去勾耶穌的頭
[00:01:06.400 --> 00:01:12.200]  然後馬可和馬太
[00:01:12.200 --> 00:01:15.000]  馬可和馬太的高頭是路加和約翰
[00:01:15.000 --> 00:01:16.600]  就勾耶穌的腳
[00:01:16.600 --> 00:01:19.800]  三卷福音書 對觀福音
[00:01:19.800 --> 00:01:21.800]  即是馬太 馬可和約翰
[00:01:21.800 --> 00:01:24.600]  都說這個女人勾完耶穌之後
[00:01:24.600 --> 00:01:26.800]  那些門徒就有反應了
[00:01:26.800 --> 00:01:28.800]  就說這麼貴的一瓶香膏
[00:01:28.800 --> 00:01:30.000]  你浪費了它
[00:01:30.000 --> 00:01:32.400]  可以拿來周祭窮人
[00:01:32.400 --> 00:01:36.600]  那麼耶穌當然就不OK了
[00:01:36.600 --> 00:01:40.000]  他就去支持那個女人
[00:01:40.000 --> 00:01:42.600]  就說這個女人所做的
[00:01:42.600 --> 00:01:46.400]  是預先為我安葬而做的
[00:01:46.400 --> 00:01:49.200]  所以大家都看到
[00:01:49.200 --> 00:01:51.600]  在這麼多卷方書裡面
[00:01:51.600 --> 00:01:55.400]  雖然那個記載是有出入的
[00:01:55.400 --> 00:01:59.000]  但我們估計它其實是在說同一件事
[00:01:59.000 --> 00:02:00.600]  是同一件事來的
[00:02:00.600 --> 00:02:02.200]  今天這個經文
[00:02:02.200 --> 00:02:04.600]  我們說路加福音的記述
[00:02:04.600 --> 00:02:06.400]  我想問一下這個故事
[00:02:06.400 --> 00:02:07.800]  這個敘事裡面
[00:02:07.800 --> 00:02:11.000]  誰是主角
[00:02:11.000 --> 00:02:12.000]  你不要回答我耶穌
[00:02:12.000 --> 00:02:13.400]  耶穌當然是主角
[00:02:13.400 --> 00:02:16.200]  但是主要角色除了耶穌之外
[00:02:16.200 --> 00:02:20.200]  一般來說我們將焦點放在女人身上
[00:02:20.200 --> 00:02:23.200]  我們會說放在女人身上
[00:02:23.200 --> 00:02:26.800]  她在耶穌身上做了這麼多事情
[00:02:26.800 --> 00:02:28.800]  然後耶穌又稱讚她
[00:02:28.800 --> 00:02:32.600]  當然主角是她
[00:02:32.600 --> 00:02:33.800]  但是我想問一下
[00:02:33.800 --> 00:02:37.600]  假設你是一個作者
[00:02:37.600 --> 00:02:38.600]  你寫一本書
[00:02:38.600 --> 00:02:40.400]  你去記載一些事情
[00:02:40.400 --> 00:02:42.400]  一個最主要的主角
[00:02:42.400 --> 00:02:44.600]  你會不會不給他名字
[00:02:44.600 --> 00:02:45.800]  不給他名字
[00:02:45.800 --> 00:02:47.200]  為什麼呢
[00:02:47.200 --> 00:02:48.400]  為什麼西門就有名字
[00:02:48.400 --> 00:02:50.600]  但是這個女人就沒有名字
[00:02:50.600 --> 00:02:52.600]  是不是門徒不知道呢
[00:02:52.600 --> 00:02:54.600]  不知道可以問的
[00:02:54.600 --> 00:02:56.200]  就算真的不知道
[00:02:56.200 --> 00:02:57.400]  就給他一個名字也可以
[00:02:57.400 --> 00:02:59.200]  如果你是作者的話
[00:02:59.200 --> 00:03:02.000]  我印象中我看這麼多故事
