
[00:00:00.000 --> 00:00:02.000]  在開始講道之先
[00:00:02.000 --> 00:00:04.000]  我們同心祈禱
[00:00:04.000 --> 00:00:06.000]  慈悲仁愛天父
[00:00:06.000 --> 00:00:08.000]  我們多謝你
[00:00:08.000 --> 00:00:10.000]  雖然在疫情裏面
[00:00:10.000 --> 00:00:12.000]  但主你仍然幫助我們
[00:00:12.000 --> 00:00:14.000]  讓我們可以透過網絡
[00:00:14.000 --> 00:00:16.000]  來敬拜你
[00:00:16.000 --> 00:00:18.000]  聽你自己的話語
[00:00:18.000 --> 00:00:20.000]  願聖靈在我們當中
[00:00:20.000 --> 00:00:22.000]  啟迪我們的心
[00:00:22.000 --> 00:00:24.000]  賜我們有屬靈的
[00:00:24.000 --> 00:00:26.000]  悟性和耳朵
[00:00:26.000 --> 00:00:28.000]  明白神你自己話語的教導
[00:00:28.000 --> 00:00:30.000]  主多謝你讓我們
[00:00:30.000 --> 00:00:32.000]  可以從你的話語裏面
[00:00:32.000 --> 00:00:34.000]  得著力量和指引
[00:00:34.000 --> 00:00:36.000]  我們簡單完全的
[00:00:36.000 --> 00:00:38.000]  祈禱靠耶穌基督
[00:00:38.000 --> 00:00:40.000]  你得聖的命,阿們
[00:00:40.000 --> 00:00:46.000]  各位喜不喜歡看3D電影
[00:00:46.000 --> 00:00:48.000]  我第一次看3D電影
[00:00:48.000 --> 00:00:50.000]  就是體驗在
[00:00:50.000 --> 00:00:52.000]  迪士尼樂園
[00:00:52.000 --> 00:00:54.000]  當時是一個很溫馨的場景
[00:00:54.000 --> 00:00:56.000]  有一片香噴噴的蛋糕
[00:00:56.000 --> 00:00:58.000]  在螢光幕那裏
[00:00:58.000 --> 00:01:00.000]  向著我送過來
[00:01:00.000 --> 00:01:02.000]  有些小朋友就很自然
[00:01:02.000 --> 00:01:04.000]  伸手就想去拿那個蛋糕
[00:01:04.000 --> 00:01:06.000]  很快那個蛋糕
[00:01:06.000 --> 00:01:08.000]  就回到螢光幕那裏
[00:01:08.000 --> 00:01:10.000]  那時真是看得到
[00:01:10.000 --> 00:01:12.000]  但我們是捉不住的
[00:01:12.000 --> 00:01:14.000]  當我們戴上3D
[00:01:14.000 --> 00:01:16.000]  冷鏡之後就可以體驗到
[00:01:16.000 --> 00:01:18.000]  既實在又虛擬的
[00:01:18.000 --> 00:01:20.000]  情景
[00:01:20.000 --> 00:01:22.000]  希伯來書的主題是
[00:01:22.000 --> 00:01:24.000]  信心
[00:01:24.000 --> 00:01:26.000]  信就是所盼望之時
[00:01:26.000 --> 00:01:28.000]  有把握
[00:01:28.000 --> 00:01:30.000]  對未見之時有
[00:01:30.000 --> 00:01:32.000]  確具
[00:01:32.000 --> 00:01:34.000]  基督徒要有甚麼裝備
[00:01:34.000 --> 00:01:36.000]  才可以持手盼望
[00:01:36.000 --> 00:01:38.000]  看得見我
[00:01:38.000 --> 00:01:40.000]  未人看得見的事物
[00:01:40.000 --> 00:01:42.000]  承接著第十一章
[00:01:42.000 --> 00:01:44.000]  列舉了
[00:01:44.000 --> 00:01:46.000]  以色列歷史信心的人物
[00:01:46.000 --> 00:01:48.000]  當中包括了
[00:01:48.000 --> 00:01:50.000]  阿伯
[00:01:50.000 --> 00:01:52.000]  以諾
[00:01:52.000 --> 00:01:54.000]  以色列的家庭
[00:01:54.000 --> 00:01:56.000]  摩西
[00:01:56.000 --> 00:01:58.000]  以色列的士司和先知
[00:01:58.000 --> 00:02:00.000]  在第十二章的開始
[00:02:00.000 --> 00:02:02.000]  作者就以希臘
[00:02:02.000 --> 00:02:04.000]  運動員
[00:02:04.000 --> 00:02:06.000]  奮鬥不懈
[00:02:06.000 --> 00:02:08.000]  賽前訓練作為一個比喻
[00:02:08.000 --> 00:02:10.000]  向當時的猶太基督徒
[00:02:10.000 --> 00:02:12.000]  作出呼籲
[00:02:12.000 --> 00:02:14.000]  我們既有
[00:02:14.000 --> 00:02:16.000]  許多的見證人
[00:02:16.000 --> 00:02:18.000]  如同雲彩圍著我們
[00:02:18.000 --> 00:02:20.000]  所以你們就要
[00:02:20.000 --> 00:02:22.000]  將你們的信心作為裝備
[00:02:22.000 --> 00:02:24.000]  另一方面
[00:02:24.000 --> 00:02:26.000]  你們都要放下各樣的重擔
[00:02:26.000 --> 00:02:28.000]  脫去容易
[00:02:28.000 --> 00:02:30.000]  纏累的罪
[00:02:30.000 --> 00:02:32.000]  作為一個比賽的預備
[00:02:32.000 --> 00:02:34.000]  放下各樣的重擔
[00:02:34.000 --> 00:02:36.000]  意思是
[00:02:36.000 --> 00:02:38.000]  除了最基本的裝備之外
[00:02:38.000 --> 00:02:40.000]  全部都要放下
[00:02:40.000 --> 00:02:42.000]  那些增加我們負擔的
[00:02:42.000 --> 00:02:44.000]  我們不可以保留
[00:02:44.000 --> 00:02:46.000]  要輕裝上路
[00:02:46.000 --> 00:02:48.000]  這是每一個跑步的人
[00:02:48.000 --> 00:02:50.000]  都會做的事
[00:02:50.000 --> 00:02:52.000]  但是值得留意的
[00:02:52.000 --> 00:02:54.000]  作者在這裡的語氣是很嚴厲的
[00:02:54.000 --> 00:02:56.000]  他說要脫去
[00:02:56.000 --> 00:02:58.000]  容易纏累我們的罪
[00:02:58.000 --> 00:03:00.000]  是沒有明確講明
[00:03:00.000 --> 00:03:02.000]  纏累他們的是什麼罪
[00:03:02.000 --> 00:03:04.000]  所以這裡可以很廣泛
[00:03:04.000 --> 00:03:06.000]  可以指到
[00:03:06.000 --> 00:03:08.000]  任何妨礙一個基督徒
[00:03:08.000 --> 00:03:10.000]  和神的關係
[00:03:10.000 --> 00:03:12.000]  阻礙我們在信心
[00:03:12.000 --> 00:03:14.000]  信仰的道路上跑得好
[00:03:14.000 --> 00:03:16.000]  纏累我們
[00:03:16.000 --> 00:03:18.000]  我們信靠神的信心
[00:03:18.000 --> 00:03:20.000]  和忍耐的事情
[00:03:20.000 --> 00:03:22.000]  究竟
