
[00:00:00.000 --> 00:00:03.400]  詩篇121篇第一句
[00:00:03.400 --> 00:00:06.600]  他說我要向山舉目
[00:00:06.600 --> 00:00:11.200]  當一想起向山舉目的時候
[00:00:11.200 --> 00:00:17.200]  我就想起一套十幾二十年前的一套戲
[00:00:17.200 --> 00:00:19.200]  叫聖戰奇兵
[00:00:19.200 --> 00:00:21.200]  不知道大家有沒有看過
[00:00:21.200 --> 00:00:23.200]  其中一幕在臨尾的時候
[00:00:23.200 --> 00:00:25.200]  我很深刻
[00:00:25.200 --> 00:00:33.200]  是說到人們每個人都在尋找耶穌基督最後晚餐的時候所用的杯子
[00:00:33.200 --> 00:00:35.200]  很多人去尋找
[00:00:35.200 --> 00:00:37.200]  包括有好的人
[00:00:37.200 --> 00:00:40.200]  也包括一些不好的人
[00:00:40.200 --> 00:00:42.200]  到結束的時候
[00:00:42.200 --> 00:00:45.200]  這個主角找到了
[00:00:45.200 --> 00:00:48.200]  他就知道耶穌所用的
[00:00:48.200 --> 00:00:51.200]  最後晚餐用的聖餐杯
[00:00:51.200 --> 00:00:54.200]  就在對面的山上
[00:00:54.200 --> 00:00:58.200]  不過前面就是懸崖
[00:00:58.200 --> 00:01:01.200]  後面又有很多追兵
[00:01:01.200 --> 00:01:03.200]  這些追兵都是他的敵人
[00:01:03.200 --> 00:01:05.200]  怎麼辦呢
[00:01:05.200 --> 00:01:08.200]  這個主角就記得了
[00:01:08.200 --> 00:01:13.200]  當他一開始去尋找杯子的時候
[00:01:13.200 --> 00:01:17.200]  有些高人給了他一個秘訣
[00:01:17.200 --> 00:01:19.200]  給了他一個口訣
[00:01:19.200 --> 00:01:22.200]  就是舉目望天
[00:01:22.200 --> 00:01:24.200]  向前踏步
[00:01:24.200 --> 00:01:26.200]  主角就想了一下
[00:01:26.200 --> 00:01:30.200]  怎麼向前踏步
[00:01:30.200 --> 00:01:33.200]  但這個就是成功的秘訣
[00:01:33.200 --> 00:01:35.200]  很記得那個主角
[00:01:35.200 --> 00:01:38.200]  於是就這樣去望天
[00:01:38.200 --> 00:01:40.200]  舉目望天
[00:01:40.200 --> 00:01:42.200]  憑著信心
[00:01:42.200 --> 00:01:45.200]  踏出懸崖
[00:01:45.200 --> 00:01:48.200]  當他憑著信心這樣做的時候
[00:01:48.200 --> 00:01:52.200]  從天有一道石橋
[00:01:52.200 --> 00:01:54.200]  就一直一直下來
[00:01:54.200 --> 00:01:57.200]  將兩座山連在一起
[00:01:57.200 --> 00:02:02.200]  主角就成功去到對面的山上
