
[00:00:00.000 --> 00:00:03.000]  我們一起有簡單祈禱先
[00:00:03.000 --> 00:00:06.600]  多謝主讓我們能夠可以在晚上
[00:00:06.600 --> 00:00:09.400]  再一次來到有系統的去研讀
[00:00:09.400 --> 00:00:10.800]  約翰福音
[00:00:10.800 --> 00:00:13.600]  多謝你讓我們能夠有很多
[00:00:13.600 --> 00:00:16.000]  耶穌基督直接的教導
[00:00:16.000 --> 00:00:17.800]  使我們能夠明白
[00:00:17.800 --> 00:00:20.000]  這一位真光
[00:00:20.000 --> 00:00:21.500]  生命的娘
[00:00:21.500 --> 00:00:24.400]  這一位次下活水的主
[00:00:24.400 --> 00:00:27.600]  以及你是好的木人
[00:00:27.600 --> 00:00:30.400]  來擔待我們的生命
[00:00:30.400 --> 00:00:33.200]  多謝主讓我們能夠認識
[00:00:33.200 --> 00:00:37.200]  你是從神那裡差遣而來的救世主
[00:00:37.200 --> 00:00:41.000]  使我們的生命出入得草吃
[00:00:41.000 --> 00:00:43.400]  而且是豐盛的生命
[00:00:43.400 --> 00:00:45.200]  幫助我們能夠領略
[00:00:45.200 --> 00:00:48.800]  這個無窮無盡的生命的大能
[00:00:48.800 --> 00:00:51.200]  我們今天晚上再一次等候
[00:00:51.200 --> 00:00:54.600]  我們這樣禱告奉耶穌基督的名
[00:00:54.600 --> 00:00:55.800]  阿們
[00:00:55.800 --> 00:00:59.200]  經過上一個星期有少許的背景
[00:00:59.200 --> 00:01:01.400]  這樣來說了舊約
[00:01:01.400 --> 00:01:03.600]  尤其是相當顯著的就是
[00:01:03.600 --> 00:01:07.200]  以西傑書那段聖經三十四章
[00:01:07.200 --> 00:01:10.200]  其實大仙之書還有幾段
[00:01:10.200 --> 00:01:12.000]  是很明顯說到
[00:01:12.000 --> 00:01:17.000]  舊約神怎樣來以他自己是好的木人
[00:01:17.000 --> 00:01:18.400]  大木者
[00:01:18.400 --> 00:01:21.200]  然後說到以色列的領袖
[00:01:21.200 --> 00:01:22.800]  他們失職
[00:01:22.800 --> 00:01:27.800]  不能夠做一個木者去照顧國家國民
[00:01:27.800 --> 00:01:32.000]  所以神自己親自成為那個木者
[00:01:32.000 --> 00:01:33.800]  當然在上一次我們說
[00:01:33.800 --> 00:01:36.400]  就是大衛這位君王
[00:01:36.400 --> 00:01:39.000]  日後神會興起一位木者
[00:01:39.000 --> 00:01:40.600]  好像大衛那樣的
