
[00:00:00.000 --> 00:00:06.000]  創世紀第十章第十至二十二節
[00:00:06.000 --> 00:00:11.000]  是記載在我們教會聖經的舊約第三十九頁
[00:00:11.000 --> 00:00:17.000]  創世紀第二十八章第十節
[00:00:17.000 --> 00:00:21.000]  雅各離開別士巴往哈蘭去
[00:00:21.000 --> 00:00:27.000]  到了一個地方因為已經日落就在那裡過夜
[00:00:27.000 --> 00:00:31.000]  他拾起那地方的一塊石頭枕在頭下
[00:00:31.000 --> 00:00:34.000]  就躺在那地方
[00:00:34.000 --> 00:00:40.000]  他做夢 看啊!一個梯子立在地上
[00:00:40.000 --> 00:00:43.000]  梯子的頂端直伸到天
[00:00:43.000 --> 00:00:49.000]  看啊!神的使者在梯子上上去下來
[00:00:49.000 --> 00:00:53.000]  看啊!耶和華站在梯子上面說
[00:00:53.000 --> 00:00:59.000]  我是耶和華 你祖父阿伯拉罕的神 以撒的神
[00:00:59.000 --> 00:01:01.000]  你現在躺臥之地
[00:01:01.000 --> 00:01:05.000]  我要將他賜給你和你的後裔
[00:01:05.000 --> 00:01:08.000]  你的後裔必將地上的塵沙
[00:01:08.000 --> 00:01:12.000]  必向東西南北展開
[00:01:12.000 --> 00:01:16.000]  地上萬族必因你和你的後裔得福
[00:01:16.000 --> 00:01:19.000]  看啊!我必與你同在
[00:01:19.000 --> 00:01:23.000]  無論你往那裡去 我必保佑你
[00:01:23.000 --> 00:01:26.000]  令你回歸這地
[00:01:26.000 --> 00:01:35.000]  我總不離棄你 直到我實現了對你所說的話
[00:01:35.000 --> 00:01:37.000]  第十六節
[00:01:37.000 --> 00:01:42.000]  雅各睡醒了說 耶和華真的在這裡
[00:01:42.000 --> 00:01:44.000]  我竟不知道
[00:01:44.000 --> 00:01:49.000]  他就懼怕說 這地方何等可畏
[00:01:49.000 --> 00:01:55.000]  這不是別的 是神的殿 是我 是天的門
[00:01:55.000 --> 00:01:59.000]  雅各清早起來拿起枕在頭下的石頭
[00:01:59.000 --> 00:02:02.000]  立作柱子 驕傲在上面
[00:02:02.000 --> 00:02:05.000]  他給那地方起名叫伯特利
[00:02:05.000 --> 00:02:09.000]  那地方原先名叫路斯
[00:02:09.000 --> 00:02:12.000]  雅各許願說 神若與我同在
[00:02:12.000 --> 00:02:15.000]  在我所行的路上保佑我
[00:02:15.000 --> 00:02:19.000]  給我食物吃 衣服穿
[00:02:19.000 --> 00:02:23.000]  使我平平安安回到我父親的家
[00:02:23.000 --> 00:02:26.000]  我就必以耶和華為我的神
[00:02:26.000 --> 00:02:29.000]  我所立為柱子的這塊石頭
[00:02:29.000 --> 00:02:31.000]  必作神的殿
[00:02:31.000 --> 00:02:33.000]  凡你所賜給我的
[00:02:33.000 --> 00:02:37.000]  我必將十分之一獻給你
[00:02:37.000 --> 00:02:39.000]  今日很感謝神友陳靜娟姑娘
[00:02:39.000 --> 00:02:41.000]  在我們中間靜悼
[00:02:41.000 --> 00:02:43.000]  她今日的講題是
[00:02:43.000 --> 00:02:45.000]  「上帝的殿在何處」
[00:02:45.000 --> 00:02:47.000]  現在奉請陳姑娘
[00:02:47.000 --> 00:03:03.000]  陳靜娟
[00:03:03.000 --> 00:03:17.000]  陳靜娟:靜姐妹早晨
[00:03:17.000 --> 00:03:20.000]  其實我真的很喜歡這個名字
[00:03:20.000 --> 00:03:24.000]  已經回來香港三年
[00:03:24.000 --> 00:03:26.000]  特別是選擇今天的經文
[00:03:26.000 --> 00:03:30.000]  你會想是否因為我在伯特利中學服侍呢
[00:03:30.000 --> 00:03:32.000]  這段經文有提到一個地方
[00:03:32.000 --> 00:03:35.000]  就是神的殿在伯特利
[00:03:35.000 --> 00:03:38.000]  會否因為這樣而選擇這段經文呢
[00:03:38.000 --> 00:03:40.000]  又或者在開頭讀的經文裏面
[00:03:40.000 --> 00:03:43.000]  有提到神的殿 上帝的殿
[00:03:43.000 --> 00:03:45.000]  我不知道你聽到上帝的殿
[00:03:45.000 --> 00:03:47.000]  你會聯想起甚麼
[00:03:47.000 --> 00:03:48.000]  或者你會想想
[00:03:48.000 --> 00:03:50.000]  上帝的殿在哪裏呢
[00:03:50.000 --> 00:03:53.000]  很自然可能想是否指教會
[00:03:53.000 --> 00:03:57.000]  或者想是否指家裏
[00:03:57.000 --> 00:03:59.000]  還是甚麼
[00:03:59.000 --> 00:04:01.000]  但在開頭讀的經文裏面
[00:04:01.000 --> 00:04:03.000]  你會否留意到一開始
[00:04:03.000 --> 00:04:05.000]  有一個很有趣的東西
[00:04:05.000 --> 00:04:10.000]  就是雅各看到他累的時候
[00:04:10.000 --> 00:04:12.000]  他就找了一塊石頭
[00:04:12.000 --> 00:04:14.000]  原本是一塊石頭
[00:04:14.000 --> 00:04:17.000]  變成了他的枕頭
[00:04:17.000 --> 00:04:19.000]  在枕頭之後
[00:04:19.000 --> 00:04:21.000]  後來他把它豎起
[00:04:21.000 --> 00:04:23.000]  變成了一條柱子
[00:04:23.000 --> 00:04:24.000]  然後到最後
[00:04:24.000 --> 00:04:26.000]  柱子上淋完油之後
[00:04:26.000 --> 00:04:29.000]  他就說這個就是神的殿了
[00:04:29.000 --> 00:04:31.000]  這個就是神的殿
[00:04:31.000 --> 00:04:33.000]  我們一起去禱告
[00:04:33.000 --> 00:04:36.000]  主我們要將我們的心思意念
[00:04:36.000 --> 00:04:38.000]  擺在你面前
[00:04:38.000 --> 00:04:42.000]  因為主我們需要的是你的臨在
[00:04:42.000 --> 00:04:45.000]  你對我們說話
[00:04:45.000 --> 00:04:46.000]  你是我們的主
[00:04:46.000 --> 00:04:48.000]  我們的神
[00:04:48.000 --> 00:04:50.000]  我們景仰你
[00:04:50.000 --> 00:04:51.000]  我們等候你
[00:04:51.000 --> 00:04:53.000]  願你帶領
[00:04:53.000 --> 00:04:55.000]  奉耶穌基督的聖命而求
[00:04:55.000 --> 00:04:57.000]  阿們
[00:04:57.000 --> 00:05:02.000]  一開始就看看這個拋盤
[00:05:02.000 --> 00:05:06.000]  《創世紀》二十八章十到十二節
[00:05:06.000 --> 00:05:10.000]  一開始要講講雅各當時的情況
[00:05:10.000 --> 00:05:11.000]  是甚麼呢
[00:05:11.000 --> 00:05:13.000]  第十和十一節
[00:05:13.000 --> 00:05:15.000]  那裏說他離開了別士巴
[00:05:15.000 --> 00:05:17.000]  去到哈蘭
[00:05:17.000 --> 00:05:19.000]  然後就到了一個地方
[00:05:19.000 --> 00:05:24.000]  先講為甚麼他要離開別士巴去哈蘭呢
[00:05:24.000 --> 00:05:25.000]  如果你手上有聖經
[00:05:25.000 --> 00:05:29.000]  無論是電子版或是黑卦篇
[00:05:29.000 --> 00:05:31.000]  你可以翻到二十七章
[00:05:31.000 --> 00:05:34.000]  其實二十七章第一到第四十節
[00:05:34.000 --> 00:05:37.000]  就不詳細看完四十節聖經
[00:05:37.000 --> 00:05:41.000]  不過你會發現原來在他離開別士巴之前
[00:05:41.000 --> 00:05:42.000]  去哈蘭之前
[00:05:42.000 --> 00:05:43.000]  就發生了一件事
[00:05:43.000 --> 00:05:47.000]  就是他騙取了祝福
[00:05:47.000 --> 00:05:50.000]  首先他有個歌叫耳掃
[00:05:50.000 --> 00:05:53.000]  其實在之前一章就講他怎樣去用紅豆湯
[00:05:53.000 --> 00:05:56.000]  騙取了長子的名分
[00:05:56.000 --> 00:06:01.000]  然後現在就趁著他爸爸老眼昏花
[00:06:01.000 --> 00:06:03.000]  而他爸爸耳殺
[00:06:03.000 --> 00:06:07.000]  就打算給兒子和長子祝福
[00:06:07.000 --> 00:06:11.000]  而這件事就被他媽媽知道了
[00:06:11.000 --> 00:06:14.000]  他媽媽就是李百嘉
[00:06:14.000 --> 00:06:18.000]  結果他媽媽就幫兒子雅各出點辦法
[00:06:18.000 --> 00:06:20.000]  因為他喜歡小兒子雅各
[00:06:20.000 --> 00:06:21.000]  多於大兒子耳掃
[00:06:21.000 --> 00:06:25.000]  結果雅各成功地騙取了祝福
[00:06:25.000 --> 00:06:27.000]  但是換來的是甚麼
