
[00:00:00.000 --> 00:00:02.680]  不太習慣用這些裝置
[00:00:02.680 --> 00:00:06.280]  不要阻礙我們大家聆聽神的道
[00:00:06.280 --> 00:00:08.400]  二十五節
[00:00:08.400 --> 00:00:11.600]  大家就知道是最重要的經文
[00:00:11.600 --> 00:00:15.800]  見到狂風巨浪
[00:00:15.800 --> 00:00:18.360]  很恐懼
[00:00:18.360 --> 00:00:20.880]  其他的福音書馬太馬可說
[00:00:20.880 --> 00:00:22.240]  這艘船快要沉了
[00:00:22.240 --> 00:00:23.480]  裝滿水了
[00:00:23.480 --> 00:00:25.960]  快要下沉
[00:00:25.960 --> 00:00:27.840]  十二個大男人
[00:00:28.200 --> 00:00:33.280]  其中有三個至少已經是打慣魚的漁夫
[00:00:33.280 --> 00:00:36.920]  加利利海對他們來說完全不陌生
[00:00:36.920 --> 00:00:40.800]  十二個大男人現在要搖醒耶穌
[00:00:40.800 --> 00:00:44.520]  他們驚恐就是風浪
[00:00:44.520 --> 00:00:48.840]  但是耶穌醒之後叫他們更加驚恐
[00:00:48.840 --> 00:00:53.160]  因為這個人能夠跟風浪說話
[00:00:53.160 --> 00:00:56.880]  跟風說話跟水說話都有反應
[00:00:57.280 --> 00:00:59.400]  風和水有反應
[00:00:59.400 --> 00:01:02.280]  反應就是立即停止
[00:01:02.280 --> 00:01:04.840]  那些門徒就害怕了
[00:01:04.840 --> 00:01:06.360]  為什麼會這樣
[00:01:06.360 --> 00:01:09.640]  不過二十四節就更加重要
[00:01:09.640 --> 00:01:11.880]  二十四節說
[00:01:11.880 --> 00:01:14.920]  你們的信心在哪裡
[00:01:14.920 --> 00:01:18.600]  主耶穌問他們一個這樣的問題
[00:01:18.600 --> 00:01:21.800]  你們有沒有信心
[00:01:21.800 --> 00:01:24.720]  為什麼你們會沒有信心呢
[00:01:25.920 --> 00:01:28.080]  這裡就值得我們今天思想一下
[00:01:28.080 --> 00:01:29.840]  《平靜風浪》這個神蹟
[00:01:29.840 --> 00:01:32.760]  和在這個大段落裡面
[00:01:32.760 --> 00:01:35.880]  特別是耶穌對著這十二個門徒
[00:01:35.880 --> 00:01:37.760]  所問的這個問題
[00:01:37.760 --> 00:01:39.920]  為什麼你們會沒有信心呢
[00:01:39.920 --> 00:01:44.600]  如果我們一路看第八章
[00:01:44.600 --> 00:01:46.760]  這位作者路加
[00:01:46.760 --> 00:01:51.120]  在上下文描述了兩個人
[00:01:52.320 --> 00:01:55.280]  還有中間有一段相當重要
[00:01:55.280 --> 00:01:58.400]  可以發展我們信心的教導
[00:01:58.400 --> 00:02:00.760]  就是有一個比喻
