
[00:00:00.000 --> 00:00:04.800]  今天讀的經文有九節
[00:00:04.800 --> 00:00:10.840]  上四節是講到耶穌和門徒分離的時候
[00:00:10.840 --> 00:00:16.560]  祂提示門徒很快就離開他們
[00:00:16.560 --> 00:00:21.320]  但很快就在耶穌受死復活之後會見到他們
[00:00:21.320 --> 00:00:26.080]  然後祂說了兩次的實實在在告訴你們
[00:00:26.080 --> 00:00:29.160]  你們祈禱的時候奉我們的名字
[00:00:29.160 --> 00:00:32.040]  奉耶穌的名字祈禱可以得著
[00:00:32.040 --> 00:00:36.840]  所以今天和大家分享關於禱告的真理
[00:00:36.840 --> 00:00:39.880]  我們做基督徒每一天早上起來的時候
[00:00:39.880 --> 00:00:43.760]  我們祈禱神帶領我們新的一個開始
[00:00:43.760 --> 00:00:49.160]  晚上離開睡覺的時候我們都有晚禱
[00:00:49.160 --> 00:00:54.280]  我們中間無論是早餐午餐或者晚餐
[00:00:54.280 --> 00:00:59.040]  我們都會可以說是例行公事地去祈禱
[00:00:59.040 --> 00:01:04.520]  我家裡一起祈禱的時間就是晚餐的時間
[00:01:04.520 --> 00:01:08.200]  因為很少早上可以一起坐下來
[00:01:08.200 --> 00:01:10.480]  然後才上班或者工作
[00:01:10.480 --> 00:01:12.240]  下午也不在家
[00:01:12.240 --> 00:01:15.680]  之後晚餐的時候我們就一起去祈禱
[00:01:15.680 --> 00:01:17.320]  這樣也很簡單
[00:01:17.320 --> 00:01:21.160]  我家裡有太太有三個小朋友
[00:01:21.160 --> 00:01:23.960]  所以就輪流星期一我負責祈禱
[00:01:23.960 --> 00:01:25.120]  星期二太太
[00:01:25.120 --> 00:01:27.360]  星期三就大女兒
[00:01:27.360 --> 00:01:31.200]  星期六日到時候就看誰在這裡
[00:01:31.200 --> 00:01:32.800]  就輪流祈禱
[00:01:32.800 --> 00:01:35.240]  祈禱之前讀一節經文
[00:01:35.240 --> 00:01:42.000]  現在很多手機都可以有讀經的編排
[00:01:42.000 --> 00:01:44.800]  讀一節然後一起祈禱
[00:01:44.800 --> 00:01:47.080]  我們作為基督徒的生命
[00:01:47.080 --> 00:01:49.120]  祈禱在我們每一天
[00:01:49.120 --> 00:01:51.720]  我們自己個人和神的關係
[00:01:51.720 --> 00:01:53.040]  或者我們一個家庭
[00:01:53.040 --> 00:01:54.760]  當然我們一個星期回來教會
[00:01:54.760 --> 00:01:57.600]  一起集體崇拜一起去祈禱
[00:01:57.600 --> 00:02:00.560]  所以祈禱是一個很重要的
[00:02:00.560 --> 00:02:04.800]  基督徒的一個宗教的行為
[00:02:04.800 --> 00:02:09.120]  究竟耶穌在經文裡面
[00:02:09.120 --> 00:02:12.920]  教導我們一個很重要的祈禱的訊息
[00:02:12.920 --> 00:02:15.440]  我們看看最後那兩節
[00:02:15.440 --> 00:02:17.080]  經文裡面說
[00:02:17.080 --> 00:02:18.960]  他說我實實在在告訴你
[00:02:18.960 --> 00:02:22.720]  這個是你叫我
[00:02:22.720 --> 00:02:24.840]  耶穌說的話有兩個層次
[00:02:24.840 --> 00:02:26.800]  一個比較抽象的
[00:02:26.800 --> 00:02:29.000]  他會說一些道理
[00:02:29.000 --> 00:02:31.320]  通常是和我們的理性
[00:02:31.320 --> 00:02:32.640]  理解有問題
[00:02:32.640 --> 00:02:34.280]  究竟我們是否明白
[00:02:34.280 --> 00:02:35.880]  但有些事情不是明白的問題
[00:02:35.880 --> 00:02:37.720]  有些事情是你做出來的問題
[00:02:37.720 --> 00:02:39.280]  或者你經歷的問題
[00:02:39.280 --> 00:02:41.520]  比較現實一點的
[00:02:41.520 --> 00:02:43.840]  你不需要經過大腦
[00:02:43.840 --> 00:02:46.920]  你都應該實實在在去經歷
[00:02:46.920 --> 00:02:49.200]  實實在在去做的事情
[00:02:49.200 --> 00:02:51.920]  接著這段經文就說
[00:02:51.920 --> 00:02:54.200]  耶穌應許我們實實在在告訴我們
[00:02:54.200 --> 00:02:56.320]  只要我們祈禱
[00:02:56.320 --> 00:02:58.360]  奉耶穌的名祈禱
[00:02:58.360 --> 00:02:59.880]  我們就會得著
[00:02:59.880 --> 00:03:03.480]  接著有滿足的喜樂
[00:03:03.480 --> 00:03:05.040]  祈禱可以說是
[00:03:05.040 --> 00:03:08.040]  不是很高深的道理
[00:03:08.040 --> 00:03:10.040]  任何的宗教
[00:03:10.040 --> 00:03:15.760]  在他們的宗教的表現裡面
[00:03:15.760 --> 00:03:20.640]  祈求他的神明幫助他
[00:03:20.640 --> 00:03:23.800]  這個是大部分宗教都有的
[00:03:23.800 --> 00:03:27.200]  我們中國人傳統的宗教都一樣
[00:03:27.200 --> 00:03:30.640]  我記得我小時候經常跟我媽媽去拜神
[00:03:30.640 --> 00:03:32.240]  所以種下了一個
[00:03:32.240 --> 00:03:35.920]  世界上有神明的概念在我心裡面
[00:03:35.920 --> 00:03:36.960]  很小的時候
[00:03:36.960 --> 00:03:37.800]  我相信有神
[00:03:37.800 --> 00:03:39.600]  不過我不知道誰是神
[00:03:39.600 --> 00:03:42.360]  因為去到拜的時候
[00:03:42.360 --> 00:03:43.280]  沒有教導的
[00:03:43.280 --> 00:03:44.520]  就是他不需要告訴你
[00:03:44.520 --> 00:03:46.360]  沒有講道
[00:03:46.360 --> 00:03:47.840]  只是去拜
[00:03:47.840 --> 00:03:49.440]  拜完之後就回家
[00:03:49.440 --> 00:03:50.480]  有東西吃
[00:03:50.480 --> 00:03:55.120]  所以我小時候很喜歡跟我媽媽去拜神
[00:03:55.120 --> 00:03:57.880]  我媽媽是一個很傳統的
[00:03:57.880 --> 00:04:03.280]  就是叫做迷信的人
[00:04:03.280 --> 00:04:05.560]  她也很簡單的
[00:04:05.560 --> 00:04:07.920]  總之她拜了神
[00:04:07.920 --> 00:04:10.840]  多數都是為家人的健康
[00:04:10.840 --> 00:04:12.000]  或者是經濟
[00:04:12.000 --> 00:04:13.320]  或者是身體
[00:04:13.320 --> 00:04:15.040]  拜了神的時候
[00:04:15.040 --> 00:04:19.120]  偶爾要帶一些東西去還原
[00:04:19.120 --> 00:04:21.800]  我在小時候就有這個
[00:04:21.800 --> 00:04:25.480]  宗教就是求問神
[00:04:25.480 --> 00:04:27.200]  然後如果
[00:04:27.200 --> 00:04:29.400]  究竟那些東西是否成就呢
[00:04:29.400 --> 00:04:30.880]  我沒有分得很清楚
[00:04:30.880 --> 00:04:32.720]  不過總之要還原
[00:04:32.720 --> 00:04:35.200]  到哪個時間去還原
[00:04:35.200 --> 00:04:38.920]  其實一年有幾次我都會跟我媽媽去
[00:04:38.920 --> 00:04:41.440]  我記得我最遠去過屯門
[00:04:41.440 --> 00:04:43.080]  知不知道什麼山
[00:04:43.080 --> 00:04:44.720]  有個廟去拜過
[00:04:44.720 --> 00:04:47.280]  當然黃大仙也偶爾會去
[00:04:47.280 --> 00:04:48.760]  我是水上人類
[00:04:48.760 --> 00:04:51.720]  在不同的觀音廟裏面都拜過的
[00:04:51.720 --> 00:04:54.760]  直到我中學之後我信了主
[00:04:54.760 --> 00:04:56.400]  就
[00:04:56.400 --> 00:04:57.360]  其實
[00:04:57.360 --> 00:04:59.240]  沒有那麼
[00:04:59.240 --> 00:05:00.720]  民間性的
[00:05:00.720 --> 00:05:02.360]  我上教會
[00:05:02.360 --> 00:05:03.160]  都有禱告
