
[00:00:00.000 --> 00:00:04.000]  好,不如我們一起祈禱先
[00:00:04.000 --> 00:00:08.000]  好多謝主仍然讓我們能夠有生命氣息
[00:00:08.000 --> 00:00:12.000]  我們雖然在疫情都開始有一些
[00:00:12.000 --> 00:00:16.000]  不知名的感染的途徑,但是我們都盼望
[00:00:16.000 --> 00:00:20.000]  神讓我們繼續身體健康,心靈
[00:00:20.000 --> 00:00:24.000]  都是強健,對屬靈的事情我們有一個
[00:00:24.000 --> 00:00:28.000]  追求,經歷和認識,幫助我們
[00:00:28.000 --> 00:00:32.000]  查考這些聖經人物的時候
[00:00:32.000 --> 00:00:36.000]  都讓我們能夠從其中得到一些教訓
[00:00:36.000 --> 00:00:40.000]  也讓我們能夠全面貫通對
[00:00:40.000 --> 00:00:44.000]  聖經的瞭解,我們一起在你面前等候
[00:00:44.000 --> 00:00:48.000]  禱告奉耶穌基督的名,阿們
[00:00:48.000 --> 00:00:52.000]  首先和大家看一段聖經
[00:00:52.000 --> 00:00:56.000]  都挺震撼的,在提摩太前書第六章
[00:00:56.000 --> 00:01:00.000]  因爲我一直組織巴蘭
[00:01:00.000 --> 00:01:04.000]  先知的時候,新舊約聖經對
[00:01:04.000 --> 00:01:08.000]  他的評價,好像保羅也有
[00:01:08.000 --> 00:01:12.000]  很中肯和很一針見血的
[00:01:12.000 --> 00:01:16.000]  否釋,提摩太前書大家不知道有沒有讀過
[00:01:16.000 --> 00:01:20.000]  第六章的經文,第六章的
[00:01:20.000 --> 00:01:24.000]  第三節開始,留意這段聖經
[00:01:24.000 --> 00:01:28.000]  提摩太需要在以弗所教會
[00:01:28.000 --> 00:01:32.000]  來勸勉當地的教會
[00:01:32.000 --> 00:01:36.000]  他作爲傳道者,他要設立長老
[00:01:36.000 --> 00:01:40.000]  執事,保羅在臨結束的時候
[00:01:40.000 --> 00:01:44.000]  就提到有一些人要留心
[00:01:44.000 --> 00:01:48.000]  提摩太要留意,如果這些人有這樣的表現
[00:01:48.000 --> 00:01:52.000]  就要來和他分開,第三節開始
[00:01:52.000 --> 00:01:56.000]  詳細不讀那麼多,都是和巴蘭先知有關
[00:01:56.000 --> 00:02:00.000]  若有人傳異教,不服從我們主耶穌基督
[00:02:00.000 --> 00:02:04.000]  純正的話,與那合乎敬填的道理
[00:02:04.000 --> 00:02:08.000]  他是自高自大,一無所知
[00:02:08.000 --> 00:02:12.000]  專好問難,爭辯言辭
[00:02:12.000 --> 00:02:16.000]  從此就生出嫉妒,紛爭,毀謗
[00:02:16.000 --> 00:02:20.000]  妄疑,並那壞了心術
[00:02:20.000 --> 00:02:24.000]  似乎對巴蘭
[00:02:24.000 --> 00:02:28.000]  有一個很準確的描述
[00:02:28.000 --> 00:02:32.000]  失喪真理之人的憎敬
[00:02:32.000 --> 00:02:36.000]  他們以敬填爲得利的門路
