
[00:00:00.000 --> 00:00:03.000]  周牧師是我們當中全港神的華語
[00:00:03.000 --> 00:00:07.000]  周牧師的講題是耶穌是主
[00:00:07.000 --> 00:00:15.000]  相關的經文是記載在新約的哥倫多前書十二章一至三節
[00:00:15.000 --> 00:00:21.000]  是記載在新約的二百六十二頁
[00:00:21.000 --> 00:00:26.000]  哥倫多前書十二章一至三節
[00:00:26.000 --> 00:00:35.000]  聖經這樣說:弟兄們,關於屬靈的恩賜,我不願意你們不明白
[00:00:35.000 --> 00:00:42.000]  你們知道,你們作外光人的時候,隨時被引誘
[00:00:42.000 --> 00:00:47.000]  受了迷惑去拜不會出聲的偶像
[00:00:47.000 --> 00:00:59.000]  所以,我要你們知道,被神的靈感動的,沒有人會說耶穌該受就著
[00:00:59.000 --> 00:01:07.000]  若不是被聖靈感動的,也沒有人能說耶穌是主
[00:01:07.000 --> 00:01:10.000]  恭敬的將以下時間交給周牧師
[00:01:10.000 --> 00:01:20.000]  我們一起同心祈禱
[00:01:20.000 --> 00:01:27.000]  我們親愛的主耶穌,多謝祢,祢是天地的主宰
[00:01:27.000 --> 00:01:34.000]  是那一位曾經降生在伯尼亨,也在拿撒勒長大
[00:01:34.000 --> 00:01:44.000]  也在加利利一帶傳道,最終在耶路撒冷為我們人類受害
[00:01:44.000 --> 00:01:48.000]  被埋葬降在陰間
[00:01:48.000 --> 00:01:53.000]  但是祢是那一位生命的主,死亡不能將祢拘禁
[00:01:53.000 --> 00:02:04.000]  而且祢是失去了死亡對人類的克制,就是罪,使人和神擇絕的克制
[00:02:04.000 --> 00:02:09.000]  我們很感謝神,我們能夠是一群認順的群體
[00:02:09.000 --> 00:02:16.000]  我們有這位永遠愛我們的耶穌基督,我們可以隨時向祢祈禱呼求
[00:02:16.000 --> 00:02:25.000]  我們知道祢在我們生命裏面,祢藉著聖靈來感動、引導、帶領我們的人生
[00:02:25.000 --> 00:02:30.000]  而且是在真理裏面來帶領,我們很感謝神
[00:02:30.000 --> 00:02:34.000]  今早當我們一起聚集在祢的面前
[00:02:34.000 --> 00:02:41.000]  我們很盼望,雖然世界、香港的局勢一直都是動盪
[00:02:41.000 --> 00:02:44.000]  從來都沒有一個真正平安的日子
[00:02:44.000 --> 00:02:50.000]  但是懇求祢讓我們知道,在祢的裏面我們有盼望
[00:02:50.000 --> 00:02:57.000]  雖然我們仍然都要面對每一個的生活,每一個地上的困難、困局
[00:02:57.000 --> 00:03:03.000]  我們都需要參與去梳理很多不同的問題,或者我們自己家庭的問題
[00:03:03.000 --> 00:03:09.000]  但是我們仰望這位為我們的信心創始成中的耶穌基督
[00:03:09.000 --> 00:03:14.000]  我們在祢面前等候,求祢施恩
[00:03:14.000 --> 00:03:20.000]  祢的聖靈很自由的運行,讓我們大家的心能夠明白真理
