
[00:00:00.000 --> 00:00:03.560]  感恩天父給我們有新的書卷開始
[00:00:03.560 --> 00:00:06.720]  我們會看貼薩羅尼加前後書
[00:00:06.720 --> 00:00:10.320]  還有我們都會去思想一下
[00:00:10.320 --> 00:00:13.440]  系統神學裏面關於末世論
[00:00:13.440 --> 00:00:17.920]  不同的派別對聖經的理解
[00:00:17.920 --> 00:00:20.480]  都給我們有少少的概念
[00:00:20.480 --> 00:00:24.320]  到底我們要怎樣去持守
[00:00:24.320 --> 00:00:27.280]  等候主耶穌的再來
[00:00:27.280 --> 00:00:29.680]  願神大力幫助我們
[00:00:29.680 --> 00:00:32.160]  我們今天晚上求主大力
[00:00:32.160 --> 00:00:35.280]  我們大家的新心靈都能夠建壯
[00:00:35.280 --> 00:00:38.640]  一起有一個渴慕神真理的心
[00:00:38.640 --> 00:00:40.000]  我們這樣祈禱
[00:00:40.000 --> 00:00:42.400]  奉耶穌基督的名
[00:00:42.400 --> 00:00:44.400]  阿們
[00:00:44.400 --> 00:00:48.960]  原因是為甚麼要看這兩卷書
[00:00:48.960 --> 00:00:57.040]  其實就因為很想講末世論這個神學的思想
[00:00:57.040 --> 00:01:03.120]  所以就選取了這兩卷書作為藍本
[00:01:03.120 --> 00:01:04.880]  因為都提過
[00:01:04.880 --> 00:01:06.880]  貼薩羅尼加前後書
[00:01:06.880 --> 00:01:11.520]  特別是前書有五章聖經
[00:01:11.520 --> 00:01:13.520]  每章的結尾
[00:01:13.520 --> 00:01:15.920]  保羅都提到主再來的
[00:01:15.920 --> 00:01:18.160]  教會、個人
[00:01:18.160 --> 00:01:21.200]  怎樣去迎接主耶穌的再回來
[00:01:21.200 --> 00:01:25.200]  這個是貼薩羅尼加前書的特色
[00:01:25.200 --> 00:01:30.320]  去到後書就更加講那個敵基督者
[00:01:30.320 --> 00:01:33.760]  更加講現在有一個攔阻他的
[00:01:33.760 --> 00:01:35.760]  這是第二章的經文
[00:01:35.760 --> 00:01:40.000]  那裡又是很明顯和末世論有直接關係的
[00:01:40.000 --> 00:01:43.200]  所以就很想透過這兩卷書
[00:01:43.200 --> 00:01:44.960]  當然一講到末世論
[00:01:44.960 --> 00:01:47.360]  就一定不可以不講的
[00:01:47.360 --> 00:01:49.360]  譬如馬太福音的24章
[00:01:49.360 --> 00:01:52.160]  是耶穌在鑒欖山的寓言
[00:01:52.160 --> 00:01:54.160]  末世的徵兆
[00:01:54.160 --> 00:01:57.200]  但是我們以前就比較有系統
[00:01:57.200 --> 00:01:59.200]  講過了啟示錄
[00:01:59.200 --> 00:02:02.880]  所以有些相關性的經文之前都講過的
[00:02:02.880 --> 00:02:04.880]  所以這次就會集中在
[00:02:04.880 --> 00:02:07.840]  新約保羅這一個書卷
[00:02:07.840 --> 00:02:13.520]  來看保羅的模樣
[00:02:13.520 --> 00:02:17.520]  給大家有一點這方面的了解
[00:02:17.520 --> 00:02:20.160]  開始貼薩羅尼加前書
[00:02:20.160 --> 00:02:23.040]  我們又要看回那些背景
[00:02:23.040 --> 00:02:25.680]  貼薩羅尼加城
[00:02:25.680 --> 00:02:31.120]  是在現在一個很現代的地中海的一個城市
[00:02:31.120 --> 00:02:34.400]  是希臘的第二大城市
[00:02:34.400 --> 00:02:37.520]  我們上一次都有機會去過
[00:02:37.520 --> 00:02:39.520]  當然只是去過海邊
[00:02:39.520 --> 00:02:41.520]  在薩羅尼加城
[00:02:41.520 --> 00:02:45.280]  比較重要的那個堡壘
[00:02:45.280 --> 00:02:47.600]  我們上次去那個 我忘記了那個名字了
[00:02:47.600 --> 00:02:49.600]  那裡來參觀
[00:02:49.600 --> 00:02:55.120]  看到整個愛琴海周邊
[00:02:55.120 --> 00:02:57.120]  是很美的地方來的
[00:02:57.120 --> 00:02:59.120]  貼薩羅尼加城
[00:02:59.120 --> 00:03:02.640]  是亞歷山大大帝的妹妹
[00:03:02.640 --> 00:03:05.760]  來為他紀念而建的
[00:03:05.760 --> 00:03:08.960]  就是說是亞歷山大大帝的爸爸
[00:03:08.960 --> 00:03:13.120]  來打贏了加山德王
[00:03:13.120 --> 00:03:19.680]  幫他的女兒來建這個城
[00:03:19.680 --> 00:03:24.640]  所以是紀念他的妹妹亞歷山大大帝
[00:03:24.640 --> 00:03:28.560]  所以在薩羅尼加的海邊
[00:03:28.560 --> 00:03:31.600]  就有亞歷山大大帝的雕像
[00:03:31.600 --> 00:03:35.360]  所以大家如果有機會去過 你都知道
[00:03:35.360 --> 00:03:38.560]  我們上一次那個團的電影姐妹都有看過
[00:03:38.560 --> 00:03:40.400]  都有拍照留影
[00:03:40.400 --> 00:03:43.360]  就是今天的薩羅尼加
[00:03:43.360 --> 00:03:45.360]  就是這個貼薩羅尼加城
[00:03:45.360 --> 00:03:47.360]  更加重要的是什麼呢
[00:03:47.360 --> 00:03:51.120]  就是因為在羅馬帝國的時代
[00:03:51.120 --> 00:03:54.160]  保羅的時代
[00:03:54.160 --> 00:03:58.160]  貼薩羅尼加的城邦
[00:03:58.160 --> 00:04:02.400]  因為羅馬當時第一任的皇帝
[00:04:02.400 --> 00:04:04.400]  就是蓋薩奧古斯都
[00:04:04.400 --> 00:04:07.520]  或者叫做屋大維
[00:04:07.520 --> 00:04:10.880]  他和安東尼打仗
[00:04:10.880 --> 00:04:16.400]  貼薩羅尼加城就剛好壓中了
[00:04:16.400 --> 00:04:20.240]  就是買屋大維贏
[00:04:20.240 --> 00:04:21.680]  很自然的
[00:04:21.680 --> 00:04:26.240]  那個皇帝掃平了敵對勢力之後
[00:04:26.240 --> 00:04:27.760]  安東尼被殺
[00:04:27.760 --> 00:04:32.480]  輾轉奧古斯都就是這個屋大維做了皇帝
[00:04:32.480 --> 00:04:37.520]  所以就給了當時貼薩羅尼加城
[00:04:37.520 --> 00:04:40.560]  就有一個最惠國待遇
[00:04:40.560 --> 00:04:43.280]  就是免軍費
[00:04:43.280 --> 00:04:48.080]  還有很多的可能是駐幣或者駐軍
[00:04:48.080 --> 00:04:51.840]  都是不需要收那個軍費
[00:04:51.840 --> 00:04:56.480]  所以貼薩羅尼加都是一個相當重要富庶的地方
[00:04:56.480 --> 00:04:58.320]  在保羅的時代
[00:04:59.280 --> 00:05:00.560]  你可以知道
[00:05:00.560 --> 00:05:02.560]  如果你看那個地理你就知道
[00:05:02.560 --> 00:05:07.680]  那個地方過去土耳其是一個必經的地方
[00:05:07.680 --> 00:05:09.840]  所以是一個很重要
[00:05:09.840 --> 00:05:11.200]  在保羅時代
[00:05:11.200 --> 00:05:12.880]  當然到了今天都是
[00:05:12.880 --> 00:05:15.040]  都是一個很重要的港口
[00:05:15.040 --> 00:05:17.840]  所以有機會大家如果有機會去
[00:05:17.840 --> 00:05:21.440]  是一個很漂亮的地中海的城市
[00:05:21.440 --> 00:05:23.440]  是僅次於希臘的
[00:05:23.440 --> 00:05:25.440]  很出名的
[00:05:25.760 --> 00:05:28.240]  這個是貼薩羅尼加
[00:05:28.240 --> 00:05:31.200]  一些當時的背景資料
[00:05:31.200 --> 00:05:33.760]  我們看看《士道行傳》
[00:05:33.760 --> 00:05:35.760]  17章這段經文
[00:05:35.760 --> 00:05:39.760]  我們要多些聖經
[00:05:39.760 --> 00:05:43.120]  《士道行傳》的17章
[00:05:43.120 --> 00:05:49.680]  保羅和西拉
[00:05:49.680 --> 00:05:53.440]  16章就是說他們離開菲臘比
[00:05:53.440 --> 00:05:57.760]  所以菲臘比和貼薩羅尼加都很近
[00:05:57.760 --> 00:05:59.760]  我們有機會去菲臘比
[00:05:59.760 --> 00:06:01.760]  在保羅的囚室
[00:06:01.760 --> 00:06:03.760]  我們有拍過照
[00:06:03.760 --> 00:06:05.760]  在那個舊城
[00:06:05.760 --> 00:06:07.760]  菲臘比
[00:06:07.760 --> 00:06:11.200]  都是一個算是富庶的地方
[00:06:11.200 --> 00:06:14.080]  我們有去過女底亞的教堂
[00:06:14.080 --> 00:06:17.920]  女底亞河邊的祈禱的地方
[00:06:17.920 --> 00:06:20.880]  所以16章的經文
[00:06:20.880 --> 00:06:22.880]  我們全部都去過了
[00:06:22.880 --> 00:06:26.080]  17章就是貼薩羅尼加這一段
[00:06:26.080 --> 00:06:29.760]  他說保羅和西拉經過了暗非波利
[00:06:29.760 --> 00:06:31.760]  阿波羅尼亞
[00:06:31.760 --> 00:06:33.760]  來到貼薩羅尼加
