
[00:00:00.000 --> 00:00:07.600]  耶路撒冷一年三次去到耶路撒冷的聖殿去朝見神
[00:00:07.600 --> 00:00:12.160]  耶路撒冷就在山的上面
[00:00:12.160 --> 00:00:17.320]  於是乎他們就要好像行山那樣向上走
[00:00:17.320 --> 00:00:19.800]  朝著耶路撒冷的方向
[00:00:19.800 --> 00:00:23.000]  當一步一步向上走的時候
[00:00:23.000 --> 00:00:25.280]  就會唱起這些詩篇
[00:00:25.280 --> 00:00:28.440]  所以就叫做《上行之詩》
[00:00:28.440 --> 00:00:33.600]  同時這篇詩也被歸類在智慧詩裏面
[00:00:33.600 --> 00:00:36.440]  因為它所教導的內容
[00:00:36.440 --> 00:00:41.080]  就好像聖經裏面另外三卷的智慧書一樣
[00:00:41.080 --> 00:00:43.240]  那三卷的智慧書分別是
[00:00:43.240 --> 00:00:46.960]  《箏言》、《傳道書》和《約伯記》
[00:00:46.960 --> 00:00:50.400]  不過如果剛才那三卷的智慧書
[00:00:50.400 --> 00:00:52.400]  如果再細分的話
[00:00:52.400 --> 00:00:54.280]  有人會這樣形容
[00:00:54.280 --> 00:00:57.640]  它們分別是說一個平常的人生
[00:00:57.640 --> 00:00:59.120]  無常的人生
[00:00:59.120 --> 00:01:03.720]  和反常的人生之下的屬靈智慧
[00:01:03.720 --> 00:01:07.200]  如果對應詩篇127篇
[00:01:07.200 --> 00:01:11.600]  所說的是平常人生之下的屬靈智慧
[00:01:11.600 --> 00:01:15.160]  它教導神子們包括你和我
[00:01:15.160 --> 00:01:19.960]  怎樣在平常情況之下好好地過生活
[00:01:19.960 --> 00:01:22.040]  我們看第一節
[00:01:22.040 --> 00:01:24.440]  若不是耶和華建造房屋
[00:01:24.440 --> 00:01:26.880]  建造的人就枉然勞力
[00:01:26.880 --> 00:01:29.360]  若不是耶和華看守聖祠
[00:01:29.360 --> 00:01:31.880]  看守的人就枉然警醒
[00:01:31.880 --> 00:01:35.880]  連續兩次提到「枉然」這個字
[00:01:35.880 --> 00:01:40.080]  「枉然」所說的意思是用來形容一件事情
[00:01:40.080 --> 00:01:42.520]  最終是徒勞無功的
[00:01:42.520 --> 00:01:44.880]  是不會真正成功的
[00:01:44.880 --> 00:01:51.280]  意思上有少少像《傳道書》經常所說的虛空
[00:01:51.280 --> 00:01:55.240]  不過兩者之間是有一些分別的
[00:01:55.240 --> 00:01:58.560]  《傳道書》的虛空是一個名詞
[00:01:58.560 --> 00:02:02.920]  所指的是即使事情成功了
[00:02:02.920 --> 00:02:06.680]  仍然是虛空 仍然是沒有價值的
[00:02:06.680 --> 00:02:10.120]  不過詩篇所說的「枉然」卻不是一樣
[00:02:10.120 --> 00:02:12.680]  「枉然」是表示你很想成功
[00:02:12.680 --> 00:02:15.000]  卻最終不會成功
[00:02:15.000 --> 00:02:17.800]  說一個例子你就會明白
[00:02:17.800 --> 00:02:21.160]  很多人都會做夢
[00:02:21.160 --> 00:02:26.480]  夢想像李嘉誠先生一樣有錢
[00:02:26.480 --> 00:02:30.720]  不過大多數人最終只是「枉然」
[00:02:30.720 --> 00:02:32.440]  不會成功的
[00:02:32.440 --> 00:02:35.080]  不過對於李嘉誠先生來說
[00:02:35.080 --> 00:02:37.960]  有錢富貴只是像浮雲一樣
[00:02:37.960 --> 00:02:40.320]  是虛空的 是沒有意義的
[00:02:40.320 --> 00:02:41.720]  我相信你明白了
[00:02:41.720 --> 00:02:45.240]  就是「枉然」和「虛空」的意思
[00:02:45.240 --> 00:02:47.400]  回看第一節
[00:02:47.400 --> 00:02:50.640]  他引用了兩件事情作為例子
[00:02:50.640 --> 00:02:53.680]  「建造房屋」「看守城池」
[00:02:53.680 --> 00:02:55.240]  「房屋」這個字
[00:02:55.240 --> 00:02:59.280]  在希伯來的聖經裏面有很多重的意思
[00:02:59.280 --> 00:03:01.480]  不過假如以標題句
[00:03:01.480 --> 00:03:05.320]  「所羅門上行之師」作為一個背景
[00:03:05.320 --> 00:03:06.640]  「房屋」這個字
[00:03:06.640 --> 00:03:11.040]  最有可能是指耶路撒冷的聖殿
[00:03:11.040 --> 00:03:16.320]  也就是舊日時候神居住的房屋
[00:03:16.320 --> 00:03:19.360]  於是第一節裏面的「城池」
[00:03:19.360 --> 00:03:23.200]  最有可能就是聖城耶路撒冷
[00:03:23.200 --> 00:03:27.560]  也就是舊日時候神所居住的城市
[00:03:27.560 --> 00:03:29.200]  為甚麼呢?
[00:03:29.200 --> 00:03:34.040]  因為上行之師既然是一路走一路唱的
[00:03:34.040 --> 00:03:36.840]  他所路經所見到的是甚麼?
[00:03:36.840 --> 00:03:41.200]  就是耶路撒冷 就是聖殿
[00:03:41.200 --> 00:03:44.880]  不過「房屋」這個字也有其他的意思
[00:03:44.880 --> 00:03:47.320]  包括以色列的國家
[00:03:47.320 --> 00:03:50.720]  也可以解釋為普通人的房屋
[00:03:50.720 --> 00:03:53.560]  或者是家庭
[00:03:53.560 --> 00:03:56.600]  所以第一節裏面「建造房屋」的意思
[00:03:56.600 --> 00:03:59.440]  除了可以是建造神的房屋
[00:03:59.440 --> 00:04:00.920]  即是聖殿之外
[00:04:00.920 --> 00:04:04.080]  也可以解釋為建造人的房屋
[00:04:04.080 --> 00:04:06.480]  建立人的家庭
[00:04:06.480 --> 00:04:08.400]  而「看守城池」的意思
[00:04:08.400 --> 00:04:11.600]  除了可以是看守耶路撒冷
[00:04:11.600 --> 00:04:13.200]  即是聖城之外
[00:04:13.200 --> 00:04:17.760]  也可以是看守整過的以色列的國家
[00:04:17.760 --> 00:04:20.680]  對應今天你和我的生活
