
[00:00:00.000 --> 00:00:04.500]  有主的一個使者站在他們旁邊
[00:00:04.500 --> 00:00:08.200]  主的榮光四面照著他們
[00:00:08.200 --> 00:00:10.800]  牧羊人就很懼怕
[00:00:10.800 --> 00:00:16.800]  忽然有一大隊天兵和那天使讚美上帝說
[00:00:16.800 --> 00:00:20.800]  在至高之處榮耀歸於上帝
[00:00:20.800 --> 00:00:25.000]  在地上平安歸於他所喜悅的人
[00:00:25.000 --> 00:00:28.000]  大家怕不怕黑呢
[00:00:28.700 --> 00:00:31.500]  如果在黑漆漆的晚上高
[00:00:31.500 --> 00:00:34.500]  突然有事發生的時候
[00:00:34.500 --> 00:00:36.000]  或者有人大叫
[00:00:36.000 --> 00:00:38.000]  或者有大光的時候
[00:00:38.000 --> 00:00:40.000]  是不是會更害怕呢
[00:00:40.000 --> 00:00:44.000]  當耶穌基督降生的那天
[00:00:44.000 --> 00:00:48.000]  這班牧羊人就在郊野裡面
[00:00:48.000 --> 00:00:50.000]  對於這班牧羊人來說
[00:00:50.000 --> 00:00:53.000]  晚上他們不是那麼害怕的
[00:00:53.000 --> 00:00:57.000]  因為他們習慣在郊外的地方
[00:00:57.000 --> 00:01:00.000]  晚上可以看著羊
[00:01:00.000 --> 00:01:04.000]  不然羊就會被人偷走
[00:01:04.000 --> 00:01:08.000]  或者被猛獸搶走
[00:01:08.000 --> 00:01:12.000]  但是在那晚黑漆漆的晚上
[00:01:12.000 --> 00:01:15.000]  有一道強光出現了
[00:01:15.000 --> 00:01:18.000]  嚇得這班牧羊人半死
[00:01:18.000 --> 00:01:23.000]  這班牧羊人其實當時他們的處境
[00:01:23.000 --> 00:01:29.000]  不單單每一天都要在黑漆漆的晚上上來工作
[00:01:29.000 --> 00:01:35.000]  他們還要生活在黑漆漆的社會裡面
[00:01:35.000 --> 00:01:40.000]  當時管治他們這個地方的
[00:01:40.000 --> 00:01:43.000]  就是這個希律王安提柏
[00:01:43.000 --> 00:01:46.000]  他是一個荒淫無道的君王
[00:01:46.000 --> 00:01:49.000]  他以一個不法的手段
[00:01:49.000 --> 00:01:56.000]  搶了他同父異母的哥哥的太太希羅底
[00:01:56.000 --> 00:02:01.000]  當施洗約翰來指證他的錯誤的時候
[00:02:01.000 --> 00:02:04.000]  他就在他自己生日的會裡面
[00:02:04.000 --> 00:02:07.000]  藉著太太設計
[00:02:07.000 --> 00:02:10.000]  殺死了施洗約翰
[00:02:10.000 --> 00:02:15.000]  還有當耶穌基督被釘十字架的時候
[00:02:15.000 --> 00:02:18.000]  這個希律王安提柏
[00:02:18.000 --> 00:02:23.000]  是主刀走去誘訓、走去審耶穌的
[00:02:23.000 --> 00:02:26.000]  所以當時這個管治的王
[00:02:26.000 --> 00:02:33.000]  他的罪性也都帶來整個社會的人很多的不安
[00:02:33.000 --> 00:02:38.000]  牧羊人就住在這麼黑的環境裡去生活
[00:02:38.000 --> 00:02:40.000]  晚上來工作
[00:02:40.000 --> 00:02:44.000]  在這個黑社會裡面去生活
[00:02:44.000 --> 00:02:50.000]  當這個大光一進入了這個牧羊人的世界的時候
[00:02:50.000 --> 00:02:53.000]  最初這個牧羊人是很害怕的
[00:02:53.000 --> 00:02:55.000]  因為不知道發生什麼事
[00:02:55.000 --> 00:02:58.000]  但後來他定一定了
[00:02:58.000 --> 00:03:05.000]  他竟然可以將救世主耶穌基督降生的信息
[00:03:05.000 --> 00:03:07.000]  一路來去傳開去
[00:03:07.000 --> 00:03:12.000]  將這個榮耀歸給上帝讚美他
[00:03:12.000 --> 00:03:19.000]  人生有時都會陷在一個很黑暗、很恐懼
[00:03:19.000 --> 00:03:21.000]  也都覺得很迷茫
[00:03:21.000 --> 00:03:24.000]  不知道前面的路程是怎樣的時候
[00:03:24.000 --> 00:03:27.000]  可能是有這個重病
[00:03:27.000 --> 00:03:29.000]  又可能是一些感情的問題
[00:03:29.000 --> 00:03:32.000]  又是工作的問題
[00:03:32.000 --> 00:03:37.000]  但只要有耶穌基督的大光介入在裡面的時候
[00:03:37.000 --> 00:03:44.000]  就會經歷到耶穌基督很奇妙的帶領和指引
[00:03:44.000 --> 00:03:47.000]  生命就會改變了
[00:03:47.000 --> 00:03:50.000]  我第一次拍拖的時候
[00:03:50.000 --> 00:03:55.000]  其實我掙扎了一年才投入到那段感情
[00:03:55.000 --> 00:03:57.000]  但拍拖了一年之後
[00:03:57.000 --> 00:04:02.000]  我發覺這個弟兄他開始對我冷淡
[00:04:02.000 --> 00:04:05.000]  我就開始一路去經歷一下
[00:04:05.000 --> 00:04:06.000]  看看什麼事
[00:04:06.000 --> 00:04:12.000]  我發覺原來在教會裡面又有另外一個女朋友
[00:04:12.000 --> 00:04:13.000]  很慘的
[00:04:13.000 --> 00:04:18.000]  因為平時逛街的日子、聽電話的日子
[00:04:18.000 --> 00:04:22.000]  現在就沒有人陪我逛街、沒有人跟我談電話
[00:04:22.000 --> 00:04:26.000]  我就呆呆的坐在家裡
[00:04:26.000 --> 00:04:29.000]  初時我都會祈禱的
[00:04:29.000 --> 00:04:31.000]  不過一路我都會祈禱
[00:04:31.000 --> 00:04:35.000]  不過這個祈禱有很多埋怨上帝、怪責上帝
[00:04:35.000 --> 00:04:40.000]  為什麼會這樣?
[00:04:40.000 --> 00:04:43.000]  很多的不忿、很多的不喜歡
[00:04:43.000 --> 00:04:46.000]  但當我經過了兩個星期
[00:04:46.000 --> 00:04:49.000]  不斷地怪責、不斷地祈禱的時候
[00:04:49.000 --> 00:04:53.000]  我發覺我的心靈一路一路有轉變
[00:04:53.000 --> 00:04:56.000]  我的心靈開始看到
[00:04:56.000 --> 00:05:00.000]  人是很容易變的
[00:05:00.000 --> 00:05:03.000]  人是很容易變的
[00:05:03.000 --> 00:05:07.000]  唯一是上帝是不會變
[00:05:07.000 --> 00:05:11.000]  他是完全可以信靠的
[00:05:11.000 --> 00:05:15.000]  所以我就第一次向上帝納志
[00:05:15.000 --> 00:05:19.000]  要一生一世的來侍奉祂
[00:05:19.000 --> 00:05:21.000]  我教了初五年之後
[00:05:21.000 --> 00:05:25.000]  我又落在另一個人生的大低潮
[00:05:25.000 --> 00:05:27.000]  哇!很黑啊!
[00:05:27.000 --> 00:05:29.000]  其實我工作很順利的
[00:05:29.000 --> 00:05:31.000]  校長也很喜歡我
[00:05:31.000 --> 00:05:32.000]  學生也很喜歡我
[00:05:32.000 --> 00:05:34.000]  家長也很喜歡我
[00:05:34.000 --> 00:05:37.000]  我的同事相處得很融洽的
[00:05:37.000 --> 00:05:39.000]  教會也參加了師班的侍奉
[00:05:39.000 --> 00:05:42.000]  我也是傳道部的部長
[00:05:42.000 --> 00:05:47.000]  不過不知為何覺得人生很苦悶
[00:05:47.000 --> 00:05:49.000]  淡而無味
[00:05:49.000 --> 00:05:51.000]  不知做什麼好
[00:05:51.000 --> 00:05:53.000]  我找了一個下午
[00:05:53.000 --> 00:05:56.000]  我自己一個人和耶穌講掃
[00:05:56.000 --> 00:05:59.000]  不是祈禱,是講掃
[00:05:59.000 --> 00:06:01.000]  我就告訴耶穌
[00:06:01.000 --> 00:06:04.000]  我在教會裡盡心盡性的侍奉祂
