
[00:00:00.000 --> 00:00:02.000]  各位靖靈姐妹 晚安
[00:00:02.000 --> 00:00:04.700]  我們回來一起敬拜神
[00:00:04.700 --> 00:00:06.300]  今天我們也一起
[00:00:06.300 --> 00:00:07.700]  從神的話語當中
[00:00:07.700 --> 00:00:08.900]  我們一起學習
[00:00:08.900 --> 00:00:11.100]  一起看神要跟我們說些甚麼
[00:00:11.100 --> 00:00:13.100]  我們一起低頭禱告
[00:00:13.100 --> 00:00:14.400]  參天父上帝
[00:00:14.400 --> 00:00:15.500]  我們來到你的庚前
[00:00:15.500 --> 00:00:16.900]  我們要多謝你
[00:00:16.900 --> 00:00:18.900]  多謝你是你的恩典
[00:00:18.900 --> 00:00:20.600]  主呀 你愛我們
[00:00:20.600 --> 00:00:22.000]  你的恩典 你愛我們
[00:00:22.000 --> 00:00:23.500]  與我們同在
[00:00:23.500 --> 00:00:27.300]  甚至乎你是願意將你的心意告訴我們
[00:00:27.300 --> 00:00:29.800]  願意我們能夠從聖經當中
[00:00:29.800 --> 00:00:32.000]  從你的話語當中能夠認識你
[00:00:32.000 --> 00:00:33.100]  求著幫助我們
[00:00:33.100 --> 00:00:35.000]  讓我們能夠在今天
[00:00:35.000 --> 00:00:36.700]  在我們的崇拜當中
[00:00:36.700 --> 00:00:38.100]  我們更加能夠明白
[00:00:38.100 --> 00:00:39.500]  上帝你的心意
[00:00:39.500 --> 00:00:41.100]  禱告仰望你奉主耶穌
[00:00:41.100 --> 00:00:42.000]  基督的聖名
[00:00:42.000 --> 00:00:44.300]  阿們
[00:00:44.300 --> 00:00:47.000]  今天跟大家一起看一個題目
[00:00:47.000 --> 00:00:52.400]  就是誰能使你與神的愛隔絕呢
[00:00:52.400 --> 00:00:56.400]  靖姐妹 我又真的問一下你
[00:00:56.400 --> 00:01:02.200]  是誰能使你與神的愛隔絕呢
[00:01:02.200 --> 00:01:05.500]  你有沒有想過
[00:01:05.500 --> 00:01:11.800]  誰能夠使你與神的愛隔絕呢
[00:01:11.800 --> 00:01:14.300]  你是想到很多
[00:01:14.300 --> 00:01:17.100]  還是想不到
[00:01:17.100 --> 00:01:21.300]  還是也想到一兩樣
[00:01:21.300 --> 00:01:22.900]  那你就想著
[00:01:22.900 --> 00:01:24.200]  如果你有答案的
[00:01:24.200 --> 00:01:26.400]  你也留在心上
[00:01:26.400 --> 00:01:30.300]  我們遲些又再看看這些答案
[00:01:30.300 --> 00:01:31.800]  這段經文
[00:01:31.800 --> 00:01:36.200]  剛才弟兄Alex幫我們讀了之後
[00:01:36.200 --> 00:01:37.600]  可能你會留意到
[00:01:37.600 --> 00:01:39.500]  有幾個字一直重覆
[00:01:39.500 --> 00:01:40.600]  就是誰能
[00:01:40.600 --> 00:01:41.500]  誰能
[00:01:41.500 --> 00:01:42.500]  誰能
[00:01:42.500 --> 00:01:44.800]  誰能
[00:01:44.800 --> 00:01:49.300]  誰能做些甚麼呢
[00:01:49.300 --> 00:01:52.300]  誰能令到我們
[00:01:52.300 --> 00:01:55.700]  在現在的情況當中
[00:01:55.700 --> 00:01:58.800]  受到抵擋呢
[00:01:58.800 --> 00:02:00.000]  有沒有人
[00:02:00.000 --> 00:02:03.400]  有沒有物能夠使我們受到抵擋呢
[00:02:03.400 --> 00:02:06.400]  經文就告訴我們
[00:02:06.400 --> 00:02:09.000]  神幫助我們
[00:02:09.000 --> 00:02:10.200]  我們還有甚麼可以說呢
[00:02:10.200 --> 00:02:11.700]  神都幫助我們了
[00:02:11.700 --> 00:02:14.200]  誰抵擋我們呢
[00:02:14.200 --> 00:02:16.000]  上帝連自己的兒子
[00:02:16.000 --> 00:02:18.800]  他都不珍惜
[00:02:18.800 --> 00:02:25.000]  將祂為我們而放下的時候
[00:02:25.000 --> 00:02:28.300]  祂不是也會將所有的東西
[00:02:28.300 --> 00:02:30.600]  和基督一樣
[00:02:30.600 --> 00:02:32.100]  不用我們付代價
[00:02:32.100 --> 00:02:35.600]  白白賜給我們嗎
[00:02:35.600 --> 00:02:37.300]  這樣的時候
[00:02:37.300 --> 00:02:39.200]  誰能夠
[00:02:39.200 --> 00:02:41.600]  令到我們
[00:02:41.600 --> 00:02:45.400]  和神之間有分離呢
[00:02:45.400 --> 00:02:47.700]  誰能夠控告我們呢
[00:02:47.700 --> 00:02:50.800]  誰能夠定我們的罪呢
[00:02:50.800 --> 00:02:52.500]  這個誰能
[00:02:52.500 --> 00:02:54.600]  誰是誰呢
[00:02:54.600 --> 00:02:55.500]  我查一下字典
[00:02:55.500 --> 00:02:58.900]  原來誰不一定是人
[00:02:58.900 --> 00:03:02.100]  誰原來是有幾個不同的意思的
[00:03:02.100 --> 00:03:03.900]  可以說是
[00:03:03.900 --> 00:03:05.500]  甚麼
