
[00:00:00.000 --> 00:00:06.000]  (主席)很高興今天主堂也有我們的堂主任牧師曾鈺桂牧師為我們去正道
[00:00:06.000 --> 00:00:10.000]  今天去正道的題目是「贖神而累的信仰」
[00:00:10.000 --> 00:00:12.000]  經文是印在《新約聖經》
[00:00:12.000 --> 00:00:16.000]  我們一起打開《新約聖經》提摩太后書
[00:00:16.000 --> 00:00:20.000]  《新約聖經》提摩太后書第一章
[00:00:20.000 --> 00:00:26.000]  如果你在手裡拿著聖經的話請你打開第三百三十一頁
[00:00:26.000 --> 00:00:29.000]  《新約聖經》三百三十一頁
[00:00:29.000 --> 00:00:33.000]  提摩太后書第一章一至五節
[00:00:33.000 --> 00:00:36.000]  找到的請聽我讀出
[00:00:36.000 --> 00:00:39.000]  奉神旨意
[00:00:39.000 --> 00:00:43.000]  按照基督耶穌裡所應許的生命
[00:00:43.000 --> 00:00:45.000]  作基督耶穌使徒的保祿
[00:00:45.000 --> 00:00:49.000]  寫信給我親愛的兒子提摩太
[00:00:49.000 --> 00:00:53.000]  願因為憐憫平安
[00:00:53.000 --> 00:00:58.000]  從父神和我們的主基督耶穌歸給你
[00:00:58.000 --> 00:01:00.000]  我感謝神
[00:01:00.000 --> 00:01:02.000]  就是我接續祖先
[00:01:02.000 --> 00:01:06.000]  用純潔的良心所侍奉的神
[00:01:06.000 --> 00:01:10.000]  在祈禱中就夜不停地想念你
[00:01:10.000 --> 00:01:13.000]  我一想起你的眼淚
[00:01:13.000 --> 00:01:15.000]  就急切想見你
[00:01:15.000 --> 00:01:17.000]  好讓我滿心快樂
[00:01:17.000 --> 00:01:20.000]  我記得你蒙危的信心
[00:01:20.000 --> 00:01:24.000]  這信心先存在你愛祖母羅爾
[00:01:24.000 --> 00:01:27.000]  和你母親尤尼基的心裡
[00:01:27.000 --> 00:01:31.000]  我深信也存在你的心裡
[00:01:31.000 --> 00:01:34.000]  今天講到的題目是
[00:01:34.000 --> 00:01:36.000]  屬神而累的信仰
[00:01:36.000 --> 00:01:39.000]  恭敬將以下時間交給曾牧師
[00:01:39.000 --> 00:01:52.000]  我們一起祈禱
[00:01:52.000 --> 00:01:54.000]  我們親愛的主耶穌
[00:01:54.000 --> 00:01:56.000]  我們感謝你
[00:01:56.000 --> 00:02:00.000]  讓我們今早能夠來到看到
[00:02:00.000 --> 00:02:02.000]  就在我們這個社區
[00:02:02.000 --> 00:02:04.000]  有這些未信主的
[00:02:04.000 --> 00:02:08.000]  少數族裔的族群
[00:02:08.000 --> 00:02:10.000]  他們需要福音
[00:02:10.000 --> 00:02:12.000]  他們需要明白真理
[00:02:12.000 --> 00:02:14.000]  需要明白有一位真神
[00:02:14.000 --> 00:02:16.000]  是獨一的真神
[00:02:16.000 --> 00:02:18.000]  我們的主是愛他們
[00:02:18.000 --> 00:02:20.000]  他們不認識
[00:02:20.000 --> 00:02:23.000]  他們可能不斷地去四處尋問
[00:02:23.000 --> 00:02:27.000]  或者用一個積弱的
[00:02:27.000 --> 00:02:29.000]  不打緊的心
[00:02:29.000 --> 00:02:31.000]  過他們的人生生活
[00:02:31.000 --> 00:02:32.000]  我們真的很盼望
[00:02:32.000 --> 00:02:35.000]  我們是一群有信仰的群體
[00:02:35.000 --> 00:02:37.000]  我們每個星期都能夠
[00:02:37.000 --> 00:02:40.000]  帶著我們的心靈去朝見你
[00:02:40.000 --> 00:02:42.000]  得到心靈的滿足
[00:02:42.000 --> 00:02:44.000]  我們真的很盼望有更多人
[00:02:44.000 --> 00:02:46.000]  特別一些不是我們自己
[00:02:46.000 --> 00:02:48.000]  這個華人的圈子的
[00:02:48.000 --> 00:02:51.000]  他們能夠認識我們這一位主
[00:02:51.000 --> 00:02:52.000]  願你幫助我們
[00:02:52.000 --> 00:02:55.000]  多謝你讓我們教會有這樣的資源
[00:02:55.000 --> 00:02:58.000]  我們可以來做這些福音聖供
[00:02:58.000 --> 00:03:00.000]  這是神給我們很大的恩典
[00:03:00.000 --> 00:03:02.000]  和一個祝福
[00:03:02.000 --> 00:03:05.000]  我們可以來幫助不同的族群
[00:03:05.000 --> 00:03:08.000]  願神真的來建立你自己所作的功
[00:03:08.000 --> 00:03:11.000]  今早我們在懇親的主日
[00:03:11.000 --> 00:03:13.000]  我們很盼望
[00:03:13.000 --> 00:03:16.000]  藉著聖經裏面提到一些婦女
[00:03:16.000 --> 00:03:18.000]  一些媽媽
[00:03:18.000 --> 00:03:19.000]  讓我們去認識
[00:03:19.000 --> 00:03:21.000]  我們這個群體
[00:03:21.000 --> 00:03:23.000]  是要來對真神
[00:03:23.000 --> 00:03:26.000]  有一個很深的認識
[00:03:26.000 --> 00:03:28.000]  以致我們的生活為人
[00:03:28.000 --> 00:03:30.000]  生命的態度
[00:03:30.000 --> 00:03:33.000]  是能夠讓未信的朋友都能夠認識
[00:03:33.000 --> 00:03:35.000]  我們的信仰是多麼的真實
[00:03:35.000 --> 00:03:38.000]  求主幫助我們今早的時間
[00:03:38.000 --> 00:03:40.000]  再一次我們感謝主
[00:03:40.000 --> 00:03:42.000]  禱告奉耶穌基督的名
[00:03:42.000 --> 00:03:44.000]  阿們
[00:03:44.000 --> 00:03:45.000]  由一個男性的角度
