
[00:00:00.000 --> 00:00:07.000]  今天和大家分享的聖經故事
[00:00:07.000 --> 00:00:12.000]  是耶穌在他的生命當中提到一個天國的比喻
[00:00:12.000 --> 00:00:14.000]  有三個僕人
[00:00:14.000 --> 00:00:18.000]  耶穌說的真理其實是相當簡單的
[00:00:18.000 --> 00:00:20.000]  其實我們和小朋友說
[00:00:20.000 --> 00:00:25.000]  對這個故事來說都不需要很複雜的神學理論
[00:00:25.000 --> 00:00:30.000]  這個故事很簡單的看一看
[00:00:30.000 --> 00:00:34.000]  我們知道他想比較有三種的僕人
[00:00:34.000 --> 00:00:35.000]  在三種僕人裏面
[00:00:35.000 --> 00:00:39.000]  他將前兩個又良善又忠心
[00:00:39.000 --> 00:00:42.000]  對比後面那個又懶又惡
[00:00:42.000 --> 00:00:46.000]  這是第一個層次的對比
[00:00:46.000 --> 00:00:50.000]  然後其實在經文裏面有些細節
[00:00:50.000 --> 00:00:52.000]  他在處理另一個問題
[00:00:52.000 --> 00:00:53.000]  另一種的對比
[00:00:53.000 --> 00:00:57.000]  就是前面兩個的五千和二千
[00:00:57.000 --> 00:01:01.000]  其實兩者之間都有一些比較
[00:01:01.000 --> 00:01:04.000]  那個重點似乎是
[00:01:04.000 --> 00:01:06.000]  特別是我們上了教會一段時間
[00:01:06.000 --> 00:01:08.000]  在人生裏面的經驗
[00:01:08.000 --> 00:01:14.000]  我們大概都不會說自己是一個又懶又惡的
[00:01:14.000 --> 00:01:17.000]  你能夠參與崇拜
[00:01:17.000 --> 00:01:18.000]  又有些侍奉
[00:01:18.000 --> 00:01:22.000]  你都會不敢說自己又良善又忠心
[00:01:22.000 --> 00:01:25.000]  但起碼你都不覺得自己很懶
[00:01:25.000 --> 00:01:27.000]  如果你能夠聽到我們的崇拜
[00:01:27.000 --> 00:01:28.000]  在家裏聽
[00:01:28.000 --> 00:01:30.000]  你都覺得我都是很勤力的
[00:01:30.000 --> 00:01:31.000]  回不了教會
[00:01:31.000 --> 00:01:33.000]  起碼我都會聆聽
[00:01:33.000 --> 00:01:35.000]  所以其實這個故事
[00:01:35.000 --> 00:01:39.000]  當然最後一千那個是比較簡單的
[00:01:39.000 --> 00:01:42.000]  但其實在這個故事的表達手法
[00:01:42.000 --> 00:01:45.000]  五千和二千都是一個對比
[00:01:45.000 --> 00:01:50.000]  在這裏面同樣都是又良善又忠心
[00:01:50.000 --> 00:01:52.000]  不過他們兩者之間有什麼不同呢?
