
[00:00:00.000 --> 00:00:03.480]  請我們同心地來禱告
[00:00:03.480 --> 00:00:05.880]  再一次我們示立
[00:00:05.880 --> 00:00:09.320]  在耶和華我們的主您的面前
[00:00:09.320 --> 00:00:14.120]  我們都領受了您自己給我們救贖的大恩
[00:00:14.120 --> 00:00:16.880]  我們可以來到聖餐裡面
[00:00:16.880 --> 00:00:19.880]  思想耶穌基督十大大愛
[00:00:19.880 --> 00:00:22.520]  和我們的生命關係
[00:00:22.520 --> 00:00:24.080]  好像告訴我們
[00:00:24.080 --> 00:00:26.200]  我們的生命是屬於主的
[00:00:26.200 --> 00:00:28.280]  我們要為主而活
[00:00:28.280 --> 00:00:30.000]  因為禰愛我們
[00:00:30.000 --> 00:00:33.120]  無條件的犧牲為我們寫命
[00:00:33.120 --> 00:00:36.200]  很盼望感宣家的弟兄姐妹
[00:00:36.200 --> 00:00:40.760]  我們一同領受上主的大大的祝福
[00:00:40.760 --> 00:00:42.560]  特別這段聖經講
[00:00:42.560 --> 00:00:45.360]  耶和華賜福給猶太人
[00:00:45.360 --> 00:00:47.240]  進入迦南之後
[00:00:47.240 --> 00:00:51.240]  要如何來到有一個完善的制度
[00:00:51.240 --> 00:00:54.280]  來到幫助有需要的人
[00:00:54.280 --> 00:00:58.760]  這段經文成為我們大家一起彼此護面提醒
[00:00:58.760 --> 00:01:02.440]  求主帶領在我們大家的心靈裡面
[00:01:02.440 --> 00:01:04.200]  感恩禱告
[00:01:04.200 --> 00:01:06.520]  奉耶穌基督的名
[00:01:06.520 --> 00:01:08.520]  阿們
[00:01:08.520 --> 00:01:13.800]  或多或少是因為社會疫情
[00:01:13.800 --> 00:01:18.280]  已經出現了超過7%的失業率
[00:01:18.280 --> 00:01:21.000]  不計那些就業不足
[00:01:21.000 --> 00:01:24.360]  和結構性貪窮的香港人
[00:01:24.360 --> 00:01:26.880]  活在貪窮線以下的
[00:01:26.880 --> 00:01:30.200]  這一篇的信息是為他們而講的
[00:01:30.200 --> 00:01:34.360]  當然是為每一位弟兄姐妹而講的
[00:01:34.360 --> 00:01:36.960]  這裡有兩個大的類別
[00:01:36.960 --> 00:01:40.000]  和大家做一個小小的分析先
[00:01:40.000 --> 00:01:43.600]  有一些是蒙神大大祝福的人
[00:01:43.600 --> 00:01:45.600]  他進入迦南之後
[00:01:45.600 --> 00:01:50.880]  他應該如何來到去向神奉獻
[00:01:50.880 --> 00:01:57.600]  第15章又講一些有能力去借錢給人的債主
[00:01:57.600 --> 00:02:01.280]  那就不要做一個無良的債主
[00:02:01.280 --> 00:02:05.080]  就是要做一個很有良心的債主
[00:02:05.080 --> 00:02:07.080]  如何沒有良心呢
[00:02:07.080 --> 00:02:09.480]  就是因為每七年
[00:02:09.480 --> 00:02:11.880]  就叫做豁免年
[00:02:11.880 --> 00:02:14.680]  豁免年就是什麼都要豁免的了
[00:02:14.680 --> 00:02:18.440]  你借了給一些你的弟兄
[00:02:18.440 --> 00:02:20.840]  借了是可以還的
[00:02:20.840 --> 00:02:23.920]  但是如果你第七年就快到了
[00:02:23.920 --> 00:02:26.480]  你就在那一年怎麼都不借
[00:02:26.480 --> 00:02:28.720]  因為你說很窮啊沒錢了
[00:02:28.720 --> 00:02:30.720]  因為你知道其實不是你沒錢
[00:02:30.720 --> 00:02:32.120]  是豁免年
