
[00:00:00.000 --> 00:00:03.200]  今天講完就是我們的傳道人
[00:00:03.200 --> 00:00:04.880]  李明德牧師
[00:00:04.880 --> 00:00:06.520]  如果你是新來的
[00:00:06.520 --> 00:00:08.520]  你可能不認識李牧師
[00:00:08.520 --> 00:00:12.360]  李牧師其實是我們錦宣家的傳道人
[00:00:12.360 --> 00:00:17.240]  幾年前我們派了李牧師去我們
[00:00:17.240 --> 00:00:20.320]  直堂的子堂洪恩堂做堂主任
[00:00:20.320 --> 00:00:21.520]  可能做得辛苦
[00:00:21.520 --> 00:00:24.840]  所以李牧師現在fit了很多
[00:00:24.840 --> 00:00:27.520]  今天的經文有幾段
[00:00:27.520 --> 00:00:32.440]  如果大家有教會的聖經
[00:00:32.440 --> 00:00:33.600]  可以一起看
[00:00:33.600 --> 00:00:36.200]  就是《新約聖經》第四頁
[00:00:36.200 --> 00:00:40.080]  第一段經文就是《馬太福音》第二章第六節
[00:00:40.080 --> 00:00:43.200]  《馬太福音》第二章第六節
[00:00:43.200 --> 00:00:44.440]  第一節
[00:00:44.440 --> 00:00:46.640]  請先聽我讀這一節
[00:00:46.640 --> 00:00:48.800]  猶大地的伯利恆
[00:00:48.800 --> 00:00:52.560]  你在猶大諸城中並不是最少的
[00:00:52.560 --> 00:00:55.080]  因為將來有一位統治者
[00:00:55.080 --> 00:00:56.920]  要從你那裡出來
[00:00:56.920 --> 00:00:59.520]  牧養我以色列民
[00:00:59.520 --> 00:01:01.360]  第二節我們跳到二十三節
[00:01:01.360 --> 00:01:03.280]  就是旁邊那一頁第五頁
[00:01:03.280 --> 00:01:04.760]  第二十三節
[00:01:04.760 --> 00:01:06.640]  他們到了一座城
[00:01:06.640 --> 00:01:08.280]  名叫拿撒勒
[00:01:08.280 --> 00:01:10.120]  就住在那裡
[00:01:10.120 --> 00:01:13.000]  這時要應驗先知所說的話
[00:01:13.000 --> 00:01:15.960]  他將稱為拿撒勒人
[00:01:15.960 --> 00:01:17.720]  接著下一段經文
[00:01:17.720 --> 00:01:20.000]  就要跳到《路加福音》
[00:01:20.000 --> 00:01:21.440]  由《路加福音》
[00:01:21.440 --> 00:01:24.040]  就是《新約》第一百三十四頁
[00:01:24.040 --> 00:01:26.160]  一百三十四頁
[00:01:26.160 --> 00:01:28.200]  《路加福音》第二十三章
[00:01:28.200 --> 00:01:30.440]  五十二和五十三節
[00:01:30.440 --> 00:01:31.760]  經文就是
[00:01:31.760 --> 00:01:34.040]  「這人去見彼拉多
[00:01:34.040 --> 00:01:36.680]  請求要耶穌的身體」
[00:01:36.680 --> 00:01:38.320]  第二十五麻三節
[00:01:38.320 --> 00:01:40.760]  「他把耶穌的身體取下來
[00:01:40.760 --> 00:01:42.680]  用細麻布裹好
[00:01:42.680 --> 00:01:46.400]  安放在作岩而成的墳墓裡
[00:01:46.400 --> 00:01:49.200]  那墳墓從來沒有葬過人」
[00:01:49.200 --> 00:01:50.200]  經文讀筆
[00:01:50.200 --> 00:01:52.200]  將時間公認交給李律師
[00:01:52.200 --> 00:01:58.200]  
[00:01:58.200 --> 00:02:00.200]  各位弟兄姊妹平安
[00:02:00.200 --> 00:02:03.200]  很久不見了
[00:02:03.200 --> 00:02:06.200]  也有些可能不太認識我
[00:02:06.200 --> 00:02:12.200]  在我直堂之後才加入錦宣家的弟兄姊妹
[00:02:12.200 --> 00:02:16.200]  代表洪恩堂來向各位問安
[00:02:16.200 --> 00:02:21.200]  自從直堂出去都六年有多了
[00:02:21.200 --> 00:02:23.200]  感謝神的保守
[00:02:23.200 --> 00:02:28.200]  我們洪恩堂都一直去學習
[00:02:28.200 --> 00:02:29.200]  一直成長
[00:02:29.200 --> 00:02:35.200]  也很感謝母堂給我們的支援
[00:02:35.200 --> 00:02:40.200]  所以我們都有交換港台
[00:02:40.200 --> 00:02:43.200]  我們錦繡堂的童工
[00:02:43.200 --> 00:02:46.200]  都一個月來我們洪恩家
[00:02:46.200 --> 00:02:48.200]  來到港督
[00:02:48.200 --> 00:02:50.200]  這個傳統都幾好
[00:02:50.200 --> 00:02:53.200]  讓我們兩間教會的童工
[00:02:53.200 --> 00:03:00.200]  都能夠繼續去分享一下我們堂會的狀況
[00:03:00.200 --> 00:03:02.200]  所以我們感謝神
[00:03:02.200 --> 00:03:07.200]  洪恩堂跟我們的母堂很不同
[00:03:07.200 --> 00:03:11.200]  因為我在母堂都侍奉了十年
[00:03:11.200 --> 00:03:13.200]  還居住在這個社區
[00:03:13.200 --> 00:03:18.200]  真的發覺這是一個世外桃源
[00:03:18.200 --> 00:03:24.200]  在元朗區錦繡花園是一個非常特別的社區
[00:03:24.200 --> 00:03:26.200]  神很賜福大家
[00:03:26.200 --> 00:03:31.200]  所以大家在這裡生活是非常蒙福的
[00:03:31.200 --> 00:03:33.200]  我們要好好珍惜
[00:03:33.200 --> 00:03:35.200]  要去感謝神
[00:03:35.200 --> 00:03:40.200]  在一個這麼美麗的花園裡面居住
[00:03:40.200 --> 00:03:42.200]  我們更加要多些愛慕主
[00:03:42.200 --> 00:03:44.200]  多些靈命成長
[00:03:44.200 --> 00:03:47.200]  為主作美好的聖功
[00:03:47.200 --> 00:03:50.200]  我們洪水橋區都不弱
[00:03:50.200 --> 00:03:52.200]  我們都有很多特色
[00:03:52.200 --> 00:03:57.200]  我們都是一個比較鄉土化的社區
[00:03:57.200 --> 00:04:02.200]  很多街上見到的居民都是踢著拖鞋
[00:04:02.200 --> 00:04:05.200]  就可以到處走
[00:04:05.200 --> 00:04:09.200]  那些單車就滾來滾去
[00:04:09.200 --> 00:04:14.200]  久不久有些電動滑板車在你身邊擦過
[00:04:14.200 --> 00:04:19.200]  這也是我們洪水橋區的社區
[00:04:19.200 --> 00:04:21.200]  新舊交替
[00:04:21.200 --> 00:04:23.200]  現在變化都很大
[00:04:23.200 --> 00:04:25.200]  我早期去到那裡
