
[00:00:00.000 --> 00:00:03.000]  以下是正道的時間
[00:00:03.000 --> 00:00:06.000]  我們今天有我們很熟悉的弟兄
[00:00:06.000 --> 00:00:09.000]  本堂的新傳道人陳承熙傳道
[00:00:09.000 --> 00:00:11.000]  在我們當中分享信息
[00:00:11.000 --> 00:00:14.000]  他的講題是「一擔擔的教會」
[00:00:14.000 --> 00:00:19.000]  經文是記載在迦拉太書第六章一至二節
[00:00:19.000 --> 00:00:20.000]  請聽我讀出
[00:00:20.000 --> 00:00:26.000]  弟兄們,若有人偶然被過犯所成
[00:00:26.000 --> 00:00:29.000]  你們屬靈的人就要用溫柔的心
[00:00:29.000 --> 00:00:31.000]  把他挽回過來
[00:00:31.000 --> 00:00:35.000]  自己也要留意免得也被引誘
[00:00:35.000 --> 00:00:39.000]  你們各人的重擔要互相擔當
[00:00:39.000 --> 00:00:42.000]  這樣就會承傳基督的律法
[00:00:42.000 --> 00:00:43.000]  將時間交給Jason
[00:00:43.000 --> 00:01:12.000]  陳志全議員
[00:01:12.000 --> 00:01:13.000]  師父午安
[00:01:13.000 --> 00:01:24.000]  今天對我來說很特別
[00:01:24.000 --> 00:01:29.000]  第一次以傳道人的身份和大家分享信息
[00:01:29.000 --> 00:01:33.000]  其實可以回來舞會侍奉也是很開心的
[00:01:33.000 --> 00:01:37.000]  不過在這個時間入職
[00:01:37.000 --> 00:01:40.000]  我自己覺得心情也有點複雜
[00:01:40.000 --> 00:01:44.000]  我和同學也差不多在這段時間入職
[00:01:44.000 --> 00:01:51.000]  剛好我們處於香港很混亂的狀態
[00:01:51.000 --> 00:01:54.000]  基本上每天都有新問題
[00:01:54.000 --> 00:02:00.000]  最近幾個月亦有很多互相指責的氣氛
[00:02:00.000 --> 00:02:03.000]  很多人都會覺得「你錯,我對」
[00:02:03.000 --> 00:02:06.000]  或者「我對你錯」
[00:02:06.000 --> 00:02:11.000]  「你錯時,我又錯,大家也有錯」
[00:02:11.000 --> 00:02:14.000]  大家一口氣互相指責
[00:02:14.000 --> 00:02:16.000]  其實我自己是這樣看的
[00:02:16.000 --> 00:02:21.000]  我覺得對和錯是可以分辨的
[00:02:21.000 --> 00:02:24.000]  但同時我自己也很深感受
[00:02:24.000 --> 00:02:27.000]  其實做人也有很多限制
[00:02:27.000 --> 00:02:32.000]  你說要說這件事是為之完全對
[00:02:32.000 --> 00:02:34.000]  什麼為之完全錯呢
[00:02:34.000 --> 00:02:40.000]  基本上在事情很複雜的時候是不可能的
[00:02:40.000 --> 00:02:43.000]  所以我覺得教會
[00:02:43.000 --> 00:02:46.000]  當然我們很著重分辨對和錯
[00:02:46.000 --> 00:02:47.000]  究竟什麼是對什麼是錯
[00:02:47.000 --> 00:02:51.000]  這是教會不斷要問的問題
[00:02:51.000 --> 00:02:53.000]  但同時我自己也在想
[00:02:53.000 --> 00:02:57.000]  可能對或另一些問題也很值得我們去想
[00:02:57.000 --> 00:02:59.000]  我們作為基督徒
[00:02:59.000 --> 00:03:01.000]  我們很相信有真理
[00:03:01.000 --> 00:03:04.000]  相信有些事情是對的,值得去追求的
[00:03:04.000 --> 00:03:08.000]  但同時有另一個問題就是
[00:03:08.000 --> 00:03:10.000]  如果我真的錯了
[00:03:10.000 --> 00:03:12.000]  那怎麼辦呢?怎樣去面對呢?
[00:03:12.000 --> 00:03:15.000]  我覺得這也是同樣很值得去想的問題
[00:03:15.000 --> 00:03:19.000]  我們今天就一起看看迦拉太書怎麼說
[00:03:19.000 --> 00:03:21.000]  如果要去理解迦拉太書
[00:03:21.000 --> 00:03:24.000]  我們知道一點它的歷史背景
[00:03:24.000 --> 00:03:27.000]  對我們去理解它是有幫助的
[00:03:27.000 --> 00:03:29.000]  迦拉太在哪裡呢?
[00:03:29.000 --> 00:03:32.000]  迦拉太就在今天土耳其那裡的一部分
[00:03:32.000 --> 00:03:35.000]  一個省的地區
[00:03:35.000 --> 00:03:38.000]  在那個年代是外邦人教會
[00:03:38.000 --> 00:03:40.000]  我們今天也是外邦人
[00:03:40.000 --> 00:03:42.000]  他們那時候也是那裡的中東人
[00:03:42.000 --> 00:03:44.000]  是保羅帶他們信主的
[00:03:44.000 --> 00:03:47.000]  是保羅建立這間教會出來的
[00:03:47.000 --> 00:03:50.000]  他們初代教會也經常面對一個對與錯的問題
[00:03:50.000 --> 00:03:52.000]  他們也很困擾他們
[00:03:52.000 --> 00:03:55.000]  就是外邦人怎樣才得救呢?
[00:03:55.000 --> 00:03:57.000]  今天我們每個人都說得出
[00:03:57.000 --> 00:03:59.000]  要因信稱義
[00:03:59.000 --> 00:04:01.000]  其實這四個字很值錢的
[00:04:01.000 --> 00:04:04.000]  因為是經過兩千年的神學辯論
[00:04:04.000 --> 00:04:06.000]  死過很多人 叫過很多次
[00:04:06.000 --> 00:04:09.000]  才濃縮出這四個字
[00:04:09.000 --> 00:04:11.000]  他們那時候沒有這四個字
