
[00:00:00.000 --> 00:00:05.360]  而今日宣講的講題就是「善務作看門人」
[00:00:05.360 --> 00:00:08.960]  有一段經文就是詩篇第84篇
[00:00:08.960 --> 00:00:10.960]  可以聽我讀出
[00:00:11.920 --> 00:00:16.560]  萬君之耶和華,你的居所何等可愛
[00:00:16.560 --> 00:00:19.440]  我善務學賞耶和華的婉譽
[00:00:19.440 --> 00:00:24.080]  我的內心,我的肉體向永生神歡呼
[00:00:24.080 --> 00:00:27.840]  萬君之耶和華,我的王,我的神
[00:00:27.840 --> 00:00:31.760]  在你濟譚那裡,麻將為自己找到鳥家
[00:00:31.760 --> 00:00:35.440]  然至為自己找著部初之窩
[00:00:35.440 --> 00:00:39.280]  如此,住在你殿中的有福了
[00:00:39.280 --> 00:00:41.920]  他們不斷地讚美你
[00:00:41.920 --> 00:00:46.080]  靠你的力量,心中嚮往錫安大道的
[00:00:46.080 --> 00:00:48.080]  這人有福了
[00:00:48.080 --> 00:00:50.960]  他們經過流淚谷
[00:00:50.960 --> 00:00:53.440]  叫這谷變為泉源之地
[00:00:53.440 --> 00:00:58.480]  且有秋雨,秋雨之福蓋滿了泉谷
[00:00:58.480 --> 00:01:01.120]  他們行走力上加力
[00:01:01.120 --> 00:01:04.080]  各人到錫安召見神
[00:01:04.080 --> 00:01:08.880]  萬君之耶和華,求你聽我的禱告
[00:01:08.880 --> 00:01:12.400]  那國的神,求你則耳而聽
[00:01:12.400 --> 00:01:15.760]  神,我們的盾牌,求你觀看
[00:01:15.760 --> 00:01:19.680]  求你,誰顧你受高者的面
[00:01:19.680 --> 00:01:23.120]  在你的婉語一日,勝處千日
[00:01:23.120 --> 00:01:26.400]  寧可在我神的殿中看門
[00:01:26.400 --> 00:01:29.760]  不願住在惡人的帳篷裡
[00:01:29.760 --> 00:01:34.000]  因為耶和華神的太陽是盾牌
[00:01:34.000 --> 00:01:37.600]  耶和華要賜下恩惠和榮耀
[00:01:37.600 --> 00:01:39.600]  他未嘗留下福氣
[00:01:39.600 --> 00:01:42.880]  不及那些行動正直的人
[00:01:42.880 --> 00:01:47.680]  萬君之耶和華,倚靠你的人有福了
[00:01:47.680 --> 00:01:50.400]  現在恭敬的將時間交給鄭牧師
[00:01:50.400 --> 00:01:57.440]  請我們一起同心祈禱
[00:01:57.440 --> 00:02:00.880]  親愛的主耶穌
[00:02:00.880 --> 00:02:03.280]  多謝你仍然給我們能夠
[00:02:03.280 --> 00:02:06.880]  可以來敬拜你的時間
[00:02:06.880 --> 00:02:08.480]  剛才的詩歌
[00:02:08.480 --> 00:02:11.680]  真的勾起我們對你的渴慕
[00:02:11.680 --> 00:02:14.960]  很盼望藉著今天的靜度
[00:02:14.960 --> 00:02:16.640]  這一篇的詩
[00:02:16.640 --> 00:02:19.040]  都是可拉的後裔
[00:02:19.040 --> 00:02:22.000]  這一班朝聖者
[00:02:22.000 --> 00:02:26.800]  來呼喚他們的國民同胞
[00:02:26.800 --> 00:02:31.520]  來朝見神的一篇詩歌
[00:02:31.520 --> 00:02:34.240]  也好像反映著我們
[00:02:34.240 --> 00:02:37.520]  尤其是我們很難能夠聚在一起
[00:02:37.520 --> 00:02:39.840]  很暢快地來分享
[00:02:39.840 --> 00:02:41.600]  互相的握手
[00:02:41.600 --> 00:02:44.720]  互相很近距離的接觸的時候
[00:02:44.720 --> 00:02:48.000]  憤愛這個聚集顯得珍貴
[00:02:48.000 --> 00:02:50.960]  今早我們真的很盼望
[00:02:50.960 --> 00:02:52.480]  好像詩人一樣
[00:02:52.480 --> 00:02:55.680]  他表達他的心境那種渴慕
[00:02:55.680 --> 00:02:57.680]  一個不是利未人
[00:02:57.680 --> 00:02:59.200]  不是祭司
[00:02:59.200 --> 00:03:03.840]  他能夠在這個憲制裏面
[00:03:03.840 --> 00:03:07.440]  他可以繼續停留在聖殿
[00:03:07.440 --> 00:03:09.280]  來親近神
[00:03:09.280 --> 00:03:10.960]  這一份心靈
[00:03:10.960 --> 00:03:13.440]  真的值得我們大家一起去學習
[00:03:13.440 --> 00:03:16.320]  今早我們一起等候在你的面前
[00:03:16.320 --> 00:03:19.440]  多謝你的臨在在我們中間
[00:03:19.440 --> 00:03:21.280]  讓我們去敬拜你
[00:03:21.280 --> 00:03:24.640]  以及得到你所賜給我們心靈的平安
[00:03:24.640 --> 00:03:26.240]  以及福樂
[00:03:26.240 --> 00:03:27.840]  我們獻上感謝
[00:03:27.840 --> 00:03:30.720]  禱告奉耶穌基督的名
[00:03:30.720 --> 00:03:32.160]  阿們
[00:03:32.160 --> 00:03:35.920]  仍然有回眾弟兄姊妹聚集
[00:03:35.920 --> 00:03:37.120]  講道
[00:03:37.120 --> 00:03:39.120]  是非常好的
[00:03:39.120 --> 00:03:40.880]  印尼語林牧師
[00:03:40.880 --> 00:03:41.920]  剛才我見到他
[00:03:41.920 --> 00:03:44.160]  因為我們都要停外語
[00:03:44.160 --> 00:03:48.320]  所以林牧師剛才對著一個空的場地
[00:03:48.320 --> 00:03:49.120]  講道
