
[00:00:00.000 --> 00:00:05.000]  請各位主女平安 聖誕節快樂
[00:00:05.000 --> 00:00:10.760]  感謝神讓我們雖然在疫情 但仍然有聚會的時間
[00:00:10.760 --> 00:00:17.520]  我們可以很寧靜的有聖誕的歌聲 有一個很平靜安穩的心靈
[00:00:17.520 --> 00:00:23.320]  大家也都是安坐在家中 來到一起頌讚我們的主
[00:00:23.320 --> 00:00:27.080]  這一位造物的主宰 我們先有一個祈禱
[00:00:27.080 --> 00:00:31.640]  然後今天我們透過40篇 一至第八節
[00:00:31.640 --> 00:00:38.920]  我們去思想主耶穌在人生裏面對上主 對父神的信服
[00:00:38.920 --> 00:00:44.800]  我們一起祈禱 再一次我們將我們的心靈打開
[00:00:44.800 --> 00:00:53.480]  上主啊 我們過去香港世界經歷疫情的困難
[00:00:53.480 --> 00:01:00.280]  你是深深知道明白 你容許 即是說我們有功課學習
[00:01:00.280 --> 00:01:05.280]  求你憐憫軟弱的世人 讓人的心
[00:01:05.280 --> 00:01:12.040]  透過這個這麼特大世紀的疫情 有很深的反思
[00:01:12.040 --> 00:01:17.160]  國家與國家之間不要再有敵對
[00:01:17.160 --> 00:01:25.160]  而是充盛的和衷共濟的合作 分享 和人的本質
[00:01:25.160 --> 00:01:29.720]  人與人之間真的不應該有藩籬
[00:01:29.720 --> 00:01:34.960]  這些都是有歷史以來 好像都還未能夠解除
[00:01:34.960 --> 00:01:39.920]  我們很盼望上主的救恩 十字架的大愛
[00:01:39.920 --> 00:01:44.840]  復和的同神 同人的這個復和的恩典
[00:01:44.840 --> 00:01:50.160]  是能夠雖然在疫情更加帶來的一個突破
[00:01:50.160 --> 00:01:56.760]  進入2021年 人類學到一個很大的生命功課
[00:01:56.760 --> 00:02:00.920]  但願今早我們少少的聚集
[00:02:00.920 --> 00:02:05.320]  雖然都是一百人多一些 我們在線
[00:02:05.320 --> 00:02:11.600]  但是我們知道上主的聖靈是隨意的運行
