
[00:00:00.000 --> 00:00:03.400]  各位錦繡堂的弟兄姊妹 大家好
[00:00:03.400 --> 00:00:07.000]  我們一起有個祈禱
[00:00:07.000 --> 00:00:08.840]  慈悲人外的天父
[00:00:08.840 --> 00:00:13.680]  我們祈求主你透過這個網上的崇拜
[00:00:13.680 --> 00:00:17.580]  讓我們能夠如同去到面見主一樣
[00:00:17.580 --> 00:00:21.680]  我們能夠直接聆聽你寶貴的話語
[00:00:21.680 --> 00:00:25.820]  讓孩子所宣講所分享都蒙你月立
[00:00:25.820 --> 00:00:29.360]  也讓我們有謙卑的心去聆聽
[00:00:29.360 --> 00:00:33.360]  我們的禱告是奉耶穌基督命求 阿們
[00:00:33.960 --> 00:00:39.560]  上星期還可以在我自己教會友愛堂
[00:00:39.560 --> 00:00:41.500]  去到一起面見弟兄姊妹
[00:00:41.500 --> 00:00:44.640]  不過時勢轉變得很快
[00:00:44.640 --> 00:00:47.540]  我們今天只能夠透過網絡
[00:00:47.540 --> 00:00:52.240]  和大家一起宣講和分享上帝的話語
[00:00:52.240 --> 00:00:58.420]  今天我來了錦繡堂幾個星期六晚的崇拜
[00:00:58.420 --> 00:01:01.760]  每次來我都是講孟學福音
[00:01:01.760 --> 00:01:08.760]  所以今天已經講到馬學福音第十章35至45節
[00:01:08.760 --> 00:01:12.000]  這段經文我想大家比較熟悉的
[00:01:12.000 --> 00:01:15.540]  其實就是第45章那一節的經文
[00:01:15.540 --> 00:01:19.440]  就是「因為人子來並不是要受人的服侍
[00:01:19.440 --> 00:01:24.120]  乃是要服侍人 並且要捨命作多人的贖價」
[00:01:24.120 --> 00:01:29.080]  這一節其實正正就是馬學福音的約節
[00:01:29.080 --> 00:01:33.120]  說明了整個馬學福音的神學重點所在
[00:01:33.120 --> 00:01:39.700]  成為很多中學 小學 又或者一些機構有一個校訓
[00:01:39.700 --> 00:01:43.760]  如果大家熟悉一些中小學 它的校訓就是這一句
[00:01:43.760 --> 00:01:46.300]  就是「非以逆人 乃逆於人」
[00:01:46.300 --> 00:01:50.540]  是來自馬學福音第十章的45節
[00:01:50.540 --> 00:01:54.040]  其實我們比較熟悉的是第45節
[00:01:54.040 --> 00:01:58.240]  但是我們卻對於上下文的理解真的不是太熟悉
[00:01:58.240 --> 00:02:04.180]  為什麼在討論雅各和約翰向耶穌基督請求的時候
[00:02:04.180 --> 00:02:09.420]  耶穌的回應卻涉及到服人的問題呢?
[00:02:09.420 --> 00:02:14.400]  為什麼雅各和約翰明明期望去到博賞位
[00:02:14.400 --> 00:02:19.200]  但是最終卻有一節有關服侍的經文作為結束呢?
[00:02:19.200 --> 00:02:24.400]  所以我們期望今天透過這些講道回應這些問題
[00:02:24.400 --> 00:02:30.340]  這段經文 我們剛才曾牧師和大家一起讀的經文
[00:02:30.340 --> 00:02:36.940]  35到45節的特徵其實有三個筆字
[00:02:36.940 --> 00:02:39.620]  和大家一起去看一看
[00:02:39.620 --> 00:02:45.620]  這三個筆全部都是出自耶穌基督的口
[00:02:45.620 --> 00:02:49.800]  第一個筆記載在第40節
[00:02:49.800 --> 00:02:53.760]  就是「不是我可以持的」
[00:02:53.760 --> 00:02:57.460]  第二個筆出現在第43節
[00:02:57.460 --> 00:03:00.260]  就是「不可這樣」
[00:03:00.260 --> 00:03:03.040]  第三個筆在第45節
[00:03:03.040 --> 00:03:06.640]  就是「不是要受人的服侍」
[00:03:06.640 --> 00:03:11.720]  這三個筆就說明了耶穌基督重要的三個概念
[00:03:11.720 --> 00:03:16.620]  也成為今天講道的三點和大家分享
[00:03:16.620 --> 00:03:20.060]  所以事不宜遲就和大家講一下第一個筆
[00:03:20.060 --> 00:03:24.420]  第一個筆就是「不是我可以持的」
[00:03:24.420 --> 00:03:27.500]  35到40節
[00:03:27.500 --> 00:03:30.100]  在耶穌基督十二個門徒裡
[00:03:30.100 --> 00:03:33.180]  雅各 彼得 約翰這三個
[00:03:33.180 --> 00:03:37.800]  其實就是屬於門徒小組最親近耶穌基督的成員
[00:03:37.800 --> 00:03:43.820]  他們三個曾幾何時就跟隨耶穌基督進入管會堂的家女
[00:03:43.820 --> 00:03:47.920]  使十二歲的小女孩復活
[00:03:47.920 --> 00:03:51.940]  這記載在《馬學福音》第5章37節
[00:03:51.940 --> 00:03:54.060]  誰都不可以進去
[00:03:54.060 --> 00:03:58.060]  只有這三個能夠和耶穌基督進去
[00:03:58.060 --> 00:04:01.080]  而在耶穌基督登山變相的時候
[00:04:01.080 --> 00:04:05.900]  只有這三個才能和耶穌基督一起上去
[00:04:05.900 --> 00:04:08.640]  這是《馬學福音》第9章第2節
[00:04:08.640 --> 00:04:14.200]  而在之後有關末日的兆頭的論述當中
[00:04:14.200 --> 00:04:19.800]  也只有這三個才能夠直接聆聽耶穌基督的解釋
[00:04:19.800 --> 00:04:22.640]  這是《馬學福音》第13章第3節
[00:04:22.640 --> 00:04:24.080]  由此可見
[00:04:24.080 --> 00:04:27.600]  彼得 雅各 約翰的地位和身份
[00:04:27.600 --> 00:04:31.560]  其實和其他門徒可能真的更高
[00:04:31.560 --> 00:04:37.120]  和耶穌基督的親密程度也更加深入
[00:04:37.120 --> 00:04:40.080]  但就算如此
[00:04:40.080 --> 00:04:43.760]  耶穌基督曾幾何時真的在《馬學福音》中
[00:04:43.760 --> 00:04:48.440]  應許過十二個門徒有一段這樣的應許
[00:04:48.440 --> 00:04:50.920]  「我實在告訴你們
[00:04:50.920 --> 00:04:53.240]  你們只是跟從我的人
[00:04:53.240 --> 00:04:54.880]  到復興的時候
[00:04:54.880 --> 00:04:58.880]  人子坐在榮耀的寶座上
[00:04:58.880 --> 00:05:02.720]  你們也要坐在十二個寶座上
[00:05:02.720 --> 00:05:05.760]  審判以色列十二個之派」
[00:05:05.760 --> 00:05:09.600]  這是《馬學福音》第19章第28節
[00:05:09.600 --> 00:05:11.760]  也就是告訴我們
[00:05:11.760 --> 00:05:16.600]  將來這十二個門徒都不分地位高低
[00:05:16.600 --> 00:05:19.480]  因為他們都有自己的座位
[00:05:19.480 --> 00:05:23.400]  成為十二個之派寶座的主人
[00:05:23.400 --> 00:05:25.160]  但是大家明白
[00:05:25.160 --> 00:05:29.160]  雅各和約翰向耶穌所祈求的
[00:05:29.160 --> 00:05:32.920]  並不是他們有沒有寶座可以讓他們坐
[00:05:32.920 --> 00:05:37.920]  而是期望坐在耶穌的左邊和右邊
[00:05:37.920 --> 00:05:42.520]  他們的要求並不是有沒有寶座可以讓他們坐
[00:05:42.520 --> 00:05:45.360]  因為所有的寶座已經應許了
[00:05:45.360 --> 00:05:48.480]  有十二個寶座不需要搶小椅
[00:05:48.480 --> 00:05:51.840]  每個人都有寶座可以坐
[00:05:51.840 --> 00:05:56.920]  而是要求坐在寶座的位置到底在哪裡
[00:05:56.920 --> 00:06:01.440]  本來這十二個寶座之間真的沒有分地位高低
[00:06:01.440 --> 00:06:06.040]  但是雅各和約翰卻自我創作了
[00:06:06.040 --> 00:06:10.800]  一個叫做耶穌左邊和耶穌右邊的位置
[00:06:10.800 --> 00:06:14.920]  就將十二個寶座分別到了分門別類
[00:06:14.920 --> 00:06:18.560]  耶穌就反問他
[00:06:18.560 --> 00:06:22.920]  「我所賜的杯 你們能不能夠喝?
[00:06:22.920 --> 00:06:26.680]  我所受的洗 你能不能夠去洗?」
[00:06:26.680 --> 00:06:31.400]  「杯」這個字其實在舊約可以象徵「舊恩」
[00:06:31.400 --> 00:06:33.640]  因為我們聽過有一句經文
[00:06:33.640 --> 00:06:36.480]  就是說要舉起舊恩的杯
[00:06:36.480 --> 00:06:40.160]  另一方面「杯」這個字也象徵「審判」
[00:06:40.160 --> 00:06:43.160]  因為是上帝傾倒憤怒的杯
[00:06:43.160 --> 00:06:46.000]  去到祂要審判的對象當中
[00:06:46.000 --> 00:06:48.720]  而馬學福音十四章三十六節
[00:06:48.720 --> 00:06:52.760]  就說明了赫西瑪利元的經歷
[00:06:52.760 --> 00:06:57.440]  就是耶穌基督祈求這位天父
[00:06:57.440 --> 00:07:00.120]  去到將這個虎杯挪開
[00:07:00.120 --> 00:07:02.560]  當然原文沒有「虎」字
[00:07:02.560 --> 00:07:06.560]  也只是祈求上帝的杯能夠挪開
[00:07:06.560 --> 00:07:09.640]  所以「杯」這個字象徵「舊恩」
[00:07:09.640 --> 00:07:13.080]  同一時間也象徵「審判」
[00:07:13.080 --> 00:07:17.720]  另外 耶穌詢問他們是否願意分享所受的洗
[00:07:17.720 --> 00:07:21.560]  受洗其實就是代表與基督同死
