
[00:00:00.000 --> 00:00:06.000]  我們一起同心祈禱,多謝天父再一次招聚我們能夠有茶經班的時間
[00:00:06.000 --> 00:00:12.000]  很盼望我們這個講授,雖然不是一個互動式的討論
[00:00:12.000 --> 00:00:18.000]  但是盼望能夠將神的話語大家一起用心的認真去研讀
[00:00:18.000 --> 00:00:23.000]  能夠很仔細的去思想當時經文的背景
[00:00:23.000 --> 00:00:30.000]  作者寫作的企劃和要帶出的目的
[00:00:30.000 --> 00:00:32.000]  我們盼望透過這樣的研讀
[00:00:32.000 --> 00:00:40.000]  可以能夠重塑整個書卷要帶給我們歸回的歷史裏面
[00:00:40.000 --> 00:00:42.000]  一些重要的訊息
[00:00:42.000 --> 00:00:48.000]  未必是我們後世的人會很賞心或者很迫切
[00:00:48.000 --> 00:00:53.000]  但是當我們看到神的救恩的進程
[00:00:53.000 --> 00:00:57.000]  我們就不得不覺得奇妙
[00:00:57.000 --> 00:01:00.000]  神是有各方面的安排
[00:01:00.000 --> 00:01:04.000]  特別是我們想到領袖的出現
[00:01:04.000 --> 00:01:06.000]  這個絕對不可能是偶然的
[00:01:06.000 --> 00:01:11.000]  有心的人為神的國度這樣擺上
[00:01:11.000 --> 00:01:15.000]  是經年累月的禱告尋求
[00:01:15.000 --> 00:01:20.000]  和將自己的生活放下
[00:01:20.000 --> 00:01:27.000]  在神的時間成為一個時代的見證人
[00:01:27.000 --> 00:01:29.000]  盼望神幫助我們
[00:01:29.000 --> 00:01:33.000]  我們仰望禱告奉耶穌基督的名
[00:01:33.000 --> 00:01:34.000]  阿們
[00:01:34.000 --> 00:01:38.000]  因為上一個星期我們講到第六章
[00:01:38.000 --> 00:01:41.000]  不得不我們看到那個結構
[00:01:41.000 --> 00:01:47.000]  我們一直都分析了第二章尼西米記
[00:01:47.000 --> 00:01:51.000]  他拿了亞特赦西王的譽旨
[00:01:51.000 --> 00:01:54.000]  那個詔書之後
[00:01:54.000 --> 00:01:56.000]  也有那些材料
