
[00:00:00.000 --> 00:00:02.000]  各位電影節目的朋友們平安
[00:00:02.000 --> 00:00:05.880]  剛才我進來的時候
[00:00:05.880 --> 00:00:08.440]  盧醫生說我今晚很精神
[00:00:08.440 --> 00:00:10.440]  我經常覺得自己很精神
[00:00:10.440 --> 00:00:13.360]  我想我們前面坐的老人家
[00:00:13.360 --> 00:00:16.000]  每個人都覺得自己很精神
[00:00:16.000 --> 00:00:17.040]  只是覺得而已
[00:00:17.040 --> 00:00:19.040]  但是別人看到我們
[00:00:19.040 --> 00:00:21.400]  就說你今天好像不太精神
[00:00:21.400 --> 00:00:24.080]  但是我們覺得我們自己很精神
[00:00:24.080 --> 00:00:27.520]  我們剛剛聽到印尼來的牧師
[00:00:27.520 --> 00:00:28.760]  跟我們做過見證
[00:00:29.240 --> 00:00:31.800]  也知道我們今晚有些老人家
[00:00:31.800 --> 00:00:33.240]  他信了主
[00:00:33.240 --> 00:00:35.240]  今天第一次來我們的教會聚會
[00:00:35.240 --> 00:00:39.480]  所有這些事能夠發生
[00:00:39.480 --> 00:00:42.360]  所有這些事能夠發生
[00:00:42.360 --> 00:00:45.000]  就是經文裏面那句話
[00:00:45.000 --> 00:00:47.640]  耶穌說
[00:00:47.640 --> 00:00:49.640]  我們要求我們的天父
[00:00:49.640 --> 00:00:51.640]  將人猜出去
[00:00:51.640 --> 00:00:53.640]  講傳他的福音
[00:00:53.640 --> 00:00:58.120]  我們這邊是接受那個傳福音的人
[00:00:58.120 --> 00:01:00.120]  所結的果子
[00:01:00.120 --> 00:01:02.120]  在我們的生命裏面
[00:01:02.120 --> 00:01:04.120]  一定有一些人
[00:01:04.120 --> 00:01:06.120]  某一個人
[00:01:06.120 --> 00:01:08.120]  某一些人
[00:01:08.120 --> 00:01:10.120]  遵從那個吩咐
[00:01:10.120 --> 00:01:12.120]  進到我們的生命裏面
[00:01:12.120 --> 00:01:14.120]  跟我們講幾句關於耶穌基督的話
[00:01:14.120 --> 00:01:16.120]  使我們有感動的心
[00:01:16.120 --> 00:01:18.120]  讓我們可以聽到那些說話
[00:01:18.120 --> 00:01:20.120]  內心柔軟到
[00:01:20.120 --> 00:01:22.120]  可以信耶穌
[00:01:22.120 --> 00:01:24.120]  我們知道在這個世界裏面
[00:01:24.120 --> 00:01:26.120]  有很多人聽一波不信
[00:01:26.120 --> 00:01:28.120]  聽兩波不信
[00:01:28.120 --> 00:01:30.120]  聽十波不信
[00:01:30.120 --> 00:01:32.120]  聽一百波都不信
[00:01:32.120 --> 00:01:34.120]  我們今天在我們年紀老大的時候
[00:01:34.120 --> 00:01:36.120]  能夠有人將福音傳到我們的生命裏面來
[00:01:36.120 --> 00:01:38.120]  是上帝給我們一個很特別的恩典
[00:01:38.120 --> 00:01:40.120]  是上帝給我們一個很特別的恩典
[00:01:40.120 --> 00:01:42.120]  真是一個很特別的恩典
[00:01:42.120 --> 00:01:44.120]  讓我們在年紀老大的時候
[00:01:44.120 --> 00:01:46.120]  讓我們在年紀老大的時候
[00:01:46.120 --> 00:01:48.120]  似乎我們的身體力量健康
[00:01:48.120 --> 00:01:50.120]  似乎我們的身體力量健康
[00:01:50.120 --> 00:01:52.120]  不如我們年輕的時候
[00:01:52.120 --> 00:01:54.120]  但是在這個年紀裏面
[00:01:54.120 --> 00:01:56.120]  仍然讓我們信得到耶穌
[00:01:56.120 --> 00:01:58.120]  仍然讓我們信得到耶穌
[00:01:58.120 --> 00:02:00.120]  信得到那些人不肯接納的
[00:02:00.120 --> 00:02:02.120]  信得到那些人不肯接納的
[00:02:02.120 --> 00:02:04.120]  或者拒絕的耶穌
[00:02:04.120 --> 00:02:06.120]  當聖經告訴我們
[00:02:06.120 --> 00:02:08.120]  為什麼我們要讀馬太福音第九章
[00:02:08.120 --> 00:02:10.120]  為什麼我們要讀馬太福音第九章
[00:02:10.120 --> 00:02:12.120]  一直到第十章
[00:02:12.120 --> 00:02:14.120]  因為這兩段聖經是不可以分開的
[00:02:14.120 --> 00:02:16.120]  因為這兩段聖經是不可以分開的
[00:02:16.120 --> 00:02:18.120]  我們一分開的話固然有自己的信息
[00:02:18.120 --> 00:02:20.120]  但是最重要的信息就是
[00:02:20.120 --> 00:02:22.120]  主耶穌說
[00:02:22.120 --> 00:02:24.120]  我們要求天父
[00:02:24.120 --> 00:02:26.120]  派人出去收割莊稼
[00:02:26.120 --> 00:02:28.120]  派人出去收割莊稼
[00:02:28.120 --> 00:02:30.120]  然後他就選擇門道
[00:02:30.120 --> 00:02:32.120]  訓練他們
[00:02:32.120 --> 00:02:34.120]  是相輔相成的
[00:02:34.120 --> 00:02:36.120]  我們今天一起來看看
[00:02:36.120 --> 00:02:38.120]  在這兩段經文裏面
[00:02:38.120 --> 00:02:40.120]  或者整段經文裏面
[00:02:40.120 --> 00:02:42.120]  上帝會給我們什麼信息呢
[00:02:42.120 --> 00:02:44.120]  經文第九章三十五節
[00:02:44.120 --> 00:02:46.120]  經文第九章三十五節
[00:02:46.120 --> 00:02:48.120]  耶穌走遍各城各鄉
[00:02:48.120 --> 00:02:50.120]  在會堂裏教訓人
[00:02:50.120 --> 00:02:52.120]  宣講天國的福音
[00:02:52.120 --> 00:02:54.120]  有醫治各樣的病症
[00:02:54.120 --> 00:02:56.120]  他出來傳講福音
[00:02:56.120 --> 00:02:58.120]  他出來醫治各樣的病症
[00:02:58.120 --> 00:03:00.120]  醫病趕鬼
[00:03:00.120 --> 00:03:02.120]  耶穌說
[00:03:02.120 --> 00:03:04.120]  耶穌說
