
[00:00:00.000 --> 00:00:07.000]  你們是地上的鹽,鹽若失了味,怎能叫它再鹹呢?
[00:00:07.000 --> 00:00:13.000]  它不再有用,只好被雕在外面,任人踐踏。
[00:00:13.000 --> 00:00:20.000]  你們是世上的光,成灶在山上,是不能隱藏的。
[00:00:20.000 --> 00:00:24.000]  人點燈,不放在斗底下,
[00:00:24.000 --> 00:00:29.000]  而是放在燈台上,就照亮一家的人。
[00:00:29.000 --> 00:00:33.000]  你們的光也要這樣照在人前,
[00:00:33.000 --> 00:00:36.000]  叫他們看見你們的好行為,
[00:00:36.000 --> 00:00:41.000]  把榮耀歸給你們在天上的父。
[00:00:41.000 --> 00:00:48.000]  第43至48節,是記載在新約第9頁。
[00:00:48.000 --> 00:00:55.000]  你們聽過有話說,要愛你的鄰舍,恨你的仇敵。
[00:00:55.000 --> 00:01:03.000]  但是我告訴你們,要愛你們的仇敵,為那不害你們的土告。
[00:01:03.000 --> 00:01:09.000]  這樣,你們就可以作天父的兒女了。
[00:01:09.000 --> 00:01:15.000]  因為,他叫太陽照好人,也照壞人。
[00:01:15.000 --> 00:01:19.000]  降雨給愚人,也給不義的人。
[00:01:19.000 --> 00:01:24.000]  你們若只愛那愛你們的人,有什麼賞賜呢?
[00:01:24.000 --> 00:01:28.000]  就是稅吏,不也是這樣做嗎?
[00:01:28.000 --> 00:01:34.000]  你們若只請你弟兄的安,有什麼比別人強呢?
[00:01:34.000 --> 00:01:38.000]  就是愛邦人,不也是這樣做嗎?
[00:01:38.000 --> 00:01:44.000]  所以,你們要完全,如同你們的天父是完全的。
[00:01:44.000 --> 00:01:54.000]  多謝各位,現在恭請陳牧師正道。
[00:01:54.000 --> 00:01:58.000]  各位姐妹,早晨。
[00:01:58.000 --> 00:02:04.000]  我們中國人有一句話,叫做老如松柏。
[00:02:04.000 --> 00:02:10.000]  通常這句話,都是恭賀一些長者長壽。
[00:02:10.000 --> 00:02:14.000]  所以,我們就說,恭祝對方老如松柏。
[00:02:14.000 --> 00:02:20.000]  其實,松和柏這一類的樹,生命力是很特別的。
[00:02:20.000 --> 00:02:30.000]  特別是,你看到松樹的針葉是常青的,四季常綠的。
[00:02:30.000 --> 00:02:38.000]  就算在冷的天氣下,它都能夠內行的。
[00:02:38.000 --> 00:02:47.000]  所以,你看到松樹的生命力,是非常之強壯的。
[00:02:47.000 --> 00:02:51.000]  所以,就叫做老如松柏。
[00:02:51.000 --> 00:02:58.000]  我想一想,我們的師班,為什麼會叫做常青師班呢?
[00:02:58.000 --> 00:03:04.000]  也都有這個原因,因為你們的生命都好像松樹柏樹一樣。
[00:03:04.000 --> 00:03:17.000]  四季常青,針葉常綠,也象徵著在任何惡劣,或者很嚴寒的天氣下,都能夠支撐得住。
[00:03:17.000 --> 00:03:22.000]  我就想起,這一種這麼獨特的植物,
[00:03:22.000 --> 00:03:30.000]  我發覺原來,把它比方到我們基督徒的生命,也是很貼切的。
[00:03:30.000 --> 00:03:31.000]  為什麼呢?
[00:03:31.000 --> 00:03:40.000]  因為我們信了耶穌的基督徒,我們的生命和其他人的生命是不同的。
[00:03:40.000 --> 00:03:51.000]  雖然我們大家都是高度,身形,眼耳口鼻,好像也沒有什麼分別,和美信的朋友都是差不多。
[00:03:51.000 --> 00:03:55.000]  但是,我們內在的生命是不同了一點的。
[00:03:55.000 --> 00:03:56.000]  為什麼呢?
[00:03:56.000 --> 00:04:07.000]  因為我們的內在生命是一個新造的生命,是主耶穌賜給我們一個復活的生命。
[00:04:07.000 --> 00:04:13.000]  所以,我們基督徒的生命,可以說是一種超凡脫俗的生命。
