
[00:00:00.000 --> 00:00:06.000]  今晚我們又再一次能聚集,一起有一個簡單的祈禱
[00:00:06.000 --> 00:00:14.000]  多謝天父讓我們今天晚上,雖然很快到凌晨天氣也會非常惡劣
[00:00:14.000 --> 00:00:19.000]  但是我們能夠在禮拜堂這裡去查考聖經
[00:00:19.000 --> 00:00:25.000]  幫助我們能夠明白經文,當然有很多字面我們都明白了
[00:00:25.000 --> 00:00:34.000]  但是讓我們看到作者這個敘事的歷史的
[00:00:34.000 --> 00:00:38.000]  可能是猶太人,可能是以色列
[00:00:38.000 --> 00:00:43.000]  都幫助我們能夠從其中去明白經文背後
[00:00:43.000 --> 00:00:48.000]  想要承載的那個時代的一個需要
[00:00:48.000 --> 00:00:52.000]  也都讓我們看到在主耶穌的救恩裡面
[00:00:52.000 --> 00:00:56.000]  我們都是德性的,我們都是屬神的子民
[00:00:56.000 --> 00:00:59.000]  幫助我們對這個身份的一個認同
[00:00:59.000 --> 00:01:03.000]  還有一份很強的榮耀感
[00:01:03.000 --> 00:01:09.000]  我們等候在你的面前,禱告奉耶穌基督的名,阿們
[00:01:09.000 --> 00:01:16.000]  上個禮拜我們就說了有一個三天的禁食禱告
[00:01:16.000 --> 00:01:23.000]  意味著大家都感覺到那個事態嚴重
[00:01:23.000 --> 00:01:27.000]  必須要無論是個人的安危
[00:01:27.000 --> 00:01:31.000]  或者是整個猶大民族的生死存亡
[00:01:31.000 --> 00:01:35.000]  都是需要當下去倚靠神
[00:01:35.000 --> 00:01:37.000]  雖然沒有提到向誰祈禱
[00:01:37.000 --> 00:01:42.000]  假設已經知道猶大人一定是向神禱告
[00:01:42.000 --> 00:01:46.000]  一定是向著耶路撒冷的主去祈禱
[00:01:46.000 --> 00:01:50.000]  也都很肯定他們是知道
[00:01:50.000 --> 00:01:54.000]  耶路撒冷已經被重建有聖殿
[00:01:54.000 --> 00:01:58.000]  因為已經過了一段長時間的秘魯歸回
[00:01:58.000 --> 00:02:01.000]  在這個時候是不是孤軍作戰
[00:02:01.000 --> 00:02:05.000]  127個省的猶大人
[00:02:05.000 --> 00:02:11.000]  在12月13日就要面對滅族的危機
[00:02:11.000 --> 00:02:18.000]  現在是正月,還有12個月去處理這個問題
[00:02:18.000 --> 00:02:23.000]  現在就沒抵改,一直禁食祈禱
[00:02:23.000 --> 00:02:26.000]  一直尋求唯一的辦法
[00:02:26.000 --> 00:02:33.000]  就是他的繼女,以斯帖來拯救自己的民族
[00:02:33.000 --> 00:02:40.000]  以斯帖也都輾轉透過太監的傳譯
[00:02:40.000 --> 00:02:43.000]  來跟叔父說
[00:02:43.000 --> 00:02:48.000]  他已經30天沒有去皇宮被召見
[00:02:48.000 --> 00:02:52.000]  可能皇帝公務繁忙
[00:02:52.000 --> 00:02:58.000]  也都可能暗示皇帝不再像起初那樣
[00:02:58.000 --> 00:03:02.000]  對以斯帖有一個愛
[00:03:02.000 --> 00:03:04.000]  也都不出奇的
[00:03:04.000 --> 00:03:08.000]  但是無論如何就是三日三夜的禁食
[00:03:08.000 --> 00:03:10.000]  全個民族
[00:03:10.000 --> 00:03:15.000]  當然未必去到其他省份的猶大人
[00:03:15.000 --> 00:03:18.000]  因為那個通訊不是今天的通訊
[00:03:18.000 --> 00:03:21.000]  不是今天的WhatsApp或者Zoom
[00:03:21.000 --> 00:03:23.000]  所以是有困難的
[00:03:23.000 --> 00:03:26.000]  但是書山城裏面的猶大人
[00:03:26.000 --> 00:03:30.000]  他們得到那個消息來祈禱
[00:03:30.000 --> 00:03:32.000]  這個就肯定了
[00:03:32.000 --> 00:03:35.000]  因為四章的17節
[00:03:35.000 --> 00:03:37.000]  於是沒抵改
[00:03:37.000 --> 00:03:41.000]  照以斯帖一切所吩咐的就去行
[00:03:41.000 --> 00:03:45.000]  即是通報招聚書山城所有的猶大人
[00:03:45.000 --> 00:03:49.000]  為他準備要冒險見王
[00:03:49.000 --> 00:03:52.000]  來到去禁食三晝三夜
