
[00:00:00.000 --> 00:00:09.000]  經文記載在《路加福音》23章32-49節和《約翰福音》第19章30節
[00:00:09.000 --> 00:00:14.000]  另外有兩個犯人也被帶來和耶穌一同處死
[00:00:14.000 --> 00:00:17.000]  到了一個地方名叫「獨留地」
[00:00:17.000 --> 00:00:21.000]  他們就在那裡把耶穌釘在十字架上
[00:00:21.000 --> 00:00:23.000]  又釘了兩個犯人
[00:00:23.000 --> 00:00:27.000]  一個在右邊,一個在左邊
[00:00:27.000 --> 00:00:35.000]  這時耶穌說:父啊,赦免他們,因為他們所做的,他們不知道
[00:00:35.000 --> 00:00:39.000]  士兵就抽籤分他的衣服
[00:00:39.000 --> 00:00:46.000]  百姓站在那裡觀看,官長也嘲笑他,說:他救了別人
[00:00:46.000 --> 00:00:51.000]  他若是基督,是神所揀選的,救救他自己吧
[00:00:51.000 --> 00:00:56.000]  士兵也戲弄他,上前拿醋送給他喝
[00:00:56.000 --> 00:01:02.000]  說:你若是猶太人的王,救救你自己吧
[00:01:02.000 --> 00:01:08.000]  在耶穌上方有一個牌子寫著:這是猶太人的王
[00:01:08.000 --> 00:01:20.000]  同釘的犯人中有一個譏笑他,說:你不自基督嗎?救救你自己和我們吧
[00:01:20.000 --> 00:01:23.000]  另一個就應聲責備他說:
[00:01:23.000 --> 00:01:27.000]  你是一樣受刑的,還不怕神嗎?
[00:01:27.000 --> 00:01:36.000]  我們是應得的,因為我們是自作自受,但這個人沒有做過一件不對的事
[00:01:36.000 --> 00:01:38.000]  第四十二節
[00:01:38.000 --> 00:01:44.000]  他對耶穌說:耶穌說:你進入你國的時候,求你紀念我
[00:01:44.000 --> 00:01:51.000]  耶穌對他說:我實在告訴你,今天你要和我在樂園裡了
[00:01:51.000 --> 00:01:57.000]  那時大約是正午,全地都黑暗了
[00:01:57.000 --> 00:02:04.000]  直到下午三點鐘,太陽變黑了,電的萬紙蟲當中裂為兩半
[00:02:04.000 --> 00:02:10.000]  耶穌大聲喊著說:父啊,我將我的靈交在你手裡
[00:02:10.000 --> 00:02:13.000]  他說了這話,氣就斷了
[00:02:13.000 --> 00:02:19.000]  伯夫長看見所發生的事,就歸榮耀給神,說:
[00:02:19.000 --> 00:02:22.000]  這人真是過意人
[00:02:22.000 --> 00:02:29.000]  聚集觀看者是的眾人,見了所發生的事,都隨著空回去了
[00:02:29.000 --> 00:02:38.000]  所有與耶穌熟悉的人,和從加里尼跟著他來的婦女們,都遠遠地站著看這些事
[00:02:38.000 --> 00:02:41.000]  楊楓音十九章三十節
[00:02:41.000 --> 00:02:47.000]  耶穌嘗了那醋說,成了,就低下頭,斷了氣
