
[00:00:00.000 --> 00:00:01.540]  我們一起再祈禱吧
[00:00:01.540 --> 00:00:03.300]  我們再一次仰望主
[00:00:03.300 --> 00:00:04.400]  讓我們能夠
[00:00:04.400 --> 00:00:07.000]  既然我們可以安坐家中
[00:00:07.000 --> 00:00:11.300]  來聆聽和研讀神的話語
[00:00:11.300 --> 00:00:12.600]  讓我們用心
[00:00:12.600 --> 00:00:13.800]  讓我們明白
[00:00:13.800 --> 00:00:15.400]  讓我們可以掌握
[00:00:15.400 --> 00:00:17.000]  以及我們真的很想
[00:00:17.000 --> 00:00:18.900]  在我們的生命裡面
[00:00:18.900 --> 00:00:20.500]  有更新
[00:00:20.500 --> 00:00:23.400]  以致我們能夠明白神的心意
[00:00:23.400 --> 00:00:26.700]  是很願意有力量去幫助其他人
[00:00:26.700 --> 00:00:29.100]  進入救恩的真理
[00:00:29.100 --> 00:00:31.700]  願祢帶領我們今天晚上的時間
[00:00:31.700 --> 00:00:33.800]  一起在祢面前等候禱告
[00:00:33.800 --> 00:00:35.800]  奉耶穌基督的名
[00:00:35.800 --> 00:00:36.800]  阿們
[00:00:36.800 --> 00:00:40.400]  好,大家都聽到了
[00:00:40.400 --> 00:00:41.600]  那就不客氣了
[00:00:41.600 --> 00:00:43.700]  我們繼續看回
[00:00:43.700 --> 00:00:45.600]  最後這一段
[00:00:45.600 --> 00:00:47.600]  之後的那些我都不看了
[00:00:47.600 --> 00:00:49.000]  比較完整的
[00:00:49.000 --> 00:00:51.200]  就是路加福音的第十
[00:00:51.200 --> 00:00:54.500]  十八章近尾那裡了
[00:00:54.500 --> 00:00:58.200]  路加的十八章
[00:00:58.600 --> 00:01:00.600]  由三十五節
[00:01:00.600 --> 00:01:03.300]  看到第十九章的第十節
[00:01:03.300 --> 00:01:09.500]  大家可以聽聽這段聖經
[00:01:09.500 --> 00:01:12.500]  耶穌將近耶利哥的時候
[00:01:12.500 --> 00:01:14.500]  有一個乞子
[00:01:14.500 --> 00:01:16.500]  坐在路旁討飯
[00:01:16.500 --> 00:01:19.100]  聽見許多人經過
[00:01:19.100 --> 00:01:20.700]  就問是什麼事
[00:01:20.700 --> 00:01:22.400]  他們告訴他
[00:01:22.400 --> 00:01:24.900]  是拿撒勒人耶穌經過
[00:01:24.900 --> 00:01:26.500]  他就呼叫說
[00:01:26.800 --> 00:01:28.800]  大位的子孫耶穌啊
[00:01:28.800 --> 00:01:30.100]  可憐我爸
[00:01:30.100 --> 00:01:31.900]  在前頭走的人
[00:01:31.900 --> 00:01:33.200]  就責備他
[00:01:33.200 --> 00:01:34.800]  不許他作聲
[00:01:34.800 --> 00:01:36.200]  他卻越發
[00:01:36.200 --> 00:01:37.200]  喊叫說
[00:01:37.200 --> 00:01:38.900]  大位的子孫
[00:01:38.900 --> 00:01:39.900]  可憐我爸
[00:01:39.900 --> 00:01:41.500]  耶穌站住
[00:01:41.500 --> 00:01:43.300]  吩咐把他領過來
[00:01:43.300 --> 00:01:44.600]  到了庚前
[00:01:44.600 --> 00:01:45.700]  就問他說
[00:01:45.700 --> 00:01:48.200]  你要我為你作什麼
[00:01:48.200 --> 00:01:49.000]  他說
[00:01:49.000 --> 00:01:51.000]  主啊我要能看見
[00:01:51.000 --> 00:01:52.200]  耶穌說
[00:01:52.200 --> 00:01:53.500]  你可以看見
[00:01:53.500 --> 00:01:55.500]  你的信救了你了
[00:01:55.900 --> 00:01:57.900]  乞子立刻看見了
[00:01:57.900 --> 00:01:59.500]  就跟隨耶穌
