
[00:00:00.000 --> 00:00:03.720]  一起來去禱告 真是天賦
[00:00:03.720 --> 00:00:09.300]  我們在晚上 我們都知道牽動著我們全香港
[00:00:09.300 --> 00:00:13.700]  以至於全世界 一件這麼特大的災難
[00:00:13.700 --> 00:00:16.440]  來發生在我們的面前
[00:00:16.440 --> 00:00:21.360]  而且媒體不斷的過去兩天
[00:00:21.360 --> 00:00:25.960]  不斷的去報告 更新那些資料
[00:00:25.960 --> 00:00:30.220]  讓我們的心更加痛 因為有百多人
[00:00:30.220 --> 00:00:34.000]  還有200人還沒有聯絡到
[00:00:34.000 --> 00:00:38.640]  我們知道裡面甚至很多是老人家
[00:00:38.640 --> 00:00:42.740]  我們想到突然間那個災難臨到
[00:00:42.740 --> 00:00:44.880]  很多人都是措手不及
[00:00:44.880 --> 00:00:48.540]  所以我們很盼望 現在可以做到的
[00:00:48.540 --> 00:00:52.260]  物資似乎都相當豐富
[00:00:52.260 --> 00:00:57.300]  金錢的救濟也有不同的機構
[00:00:57.300 --> 00:01:01.740]  大的財團等等 還有政府來支援
[00:01:01.740 --> 00:01:05.900]  也有心靈的安慰輔導的社工
[00:01:05.900 --> 00:01:08.240]  精神科的醫生等等
[00:01:08.240 --> 00:01:11.460]  心理學家都臨場的去幫助
[00:01:11.460 --> 00:01:15.460]  天賦我們很盼望 教會在這個時候
[00:01:15.460 --> 00:01:19.580]  我們成為那個陪伴者 同行者
[00:01:19.580 --> 00:01:21.980]  我們未必能夠在這個時候
[00:01:21.980 --> 00:01:26.540]  進入到他們的心靈 這個就是我們平常
[00:01:26.540 --> 00:01:29.280]  如果能夠是社區的教會
[00:01:29.280 --> 00:01:33.520]  他們是認識社區 認識教會的時候
[00:01:33.520 --> 00:01:36.520]  就不會感覺到對教會有陌生
[00:01:36.520 --> 00:01:39.640]  所以我們都盼望 我們都成為
[00:01:39.640 --> 00:01:43.960]  社區的一間教會 是居民
[00:01:43.960 --> 00:01:48.060]  就算他們未信主 都是感覺到教會
[00:01:48.060 --> 00:01:49.840]  是跟他們有關
[00:01:49.840 --> 00:01:52.800]  他們現在面對這麼大的
[00:01:52.800 --> 00:01:58.480]  突然間的慘況 教會是同行的
[00:01:58.480 --> 00:02:00.380]  所以我們很盼望主
[00:02:00.380 --> 00:02:03.720]  讓我們有主理的因典
[00:02:03.720 --> 00:02:07.380]  很特別 我們今晚就開始講到
[00:02:07.380 --> 00:02:11.700]  十二章羅馬書最後的第三段
[00:02:11.700 --> 00:02:14.640]  關乎到一些生活的倫理
[00:02:14.640 --> 00:02:19.900]  我們個人怎樣去跟其他的教友相處
[00:02:19.900 --> 00:02:23.600]  還有跟外面未信的人
[00:02:23.600 --> 00:02:27.000]  當時是一個敵對的羅馬世界
[00:02:27.000 --> 00:02:30.980]  帝國是對基督徒相當不友善的
[00:02:30.980 --> 00:02:36.180]  但是一而再叫我們用愛 用善去成惡
[00:02:36.180 --> 00:02:41.840]  所以相信字面的經文已經是相當難去學的
[00:02:41.840 --> 00:02:44.080]  所以我們看到斯圖保羅
[00:02:44.080 --> 00:02:49.000]  他那個淑寧的胸襟 淑寧的眼光
[00:02:49.000 --> 00:02:51.460]  還有教會要存在
[00:02:51.460 --> 00:02:55.100]  在當時的羅馬世界是需要忍耐的
[00:02:55.100 --> 00:02:57.720]  是需要用溫柔的心的
[00:02:57.720 --> 00:03:01.680]  所以我們很盼望我們不會變成極端
[00:03:01.680 --> 00:03:04.360]  也都不會變成冷漠 冷淡
[00:03:04.360 --> 00:03:09.100]  我們盼望我們能夠跟未信的人同行的
[00:03:09.100 --> 00:03:11.880]  今天晚上我們等候在你的面前
[00:03:11.880 --> 00:03:17.840]  我們這樣仰望禱告 奉耶穌基督的名 阿們
[00:03:17.840 --> 00:03:19.680]  好 頂曉會萬安
[00:03:19.680 --> 00:03:27.120]  我們繼續第三段落的羅馬書的研讀
[00:03:27.120 --> 00:03:29.280]  我給的題目就是
[00:03:29.280 --> 00:03:32.520]  因為第三到第八節
[00:03:32.520 --> 00:03:35.220]  我們都用了差不多兩課的時間
[00:03:35.220 --> 00:03:43.340]  來跟大家總結了一個恩信青兒被主的恩典
[00:03:43.340 --> 00:03:46.420]  來拯救弟兄姊妹
[00:03:46.420 --> 00:03:49.180]  就應該在神的憐憫下
[00:03:49.180 --> 00:03:53.220]  看到自己是應該奉獻自己給神
[00:03:53.220 --> 00:03:57.980]  作為一個活祭 是神喜悅聖潔的活祭
[00:03:57.980 --> 00:04:01.100]  這個時候 第三節就叫我們
[00:04:01.100 --> 00:04:03.720]  首先不要看自己過高
[00:04:03.720 --> 00:04:07.540]  要來謙卑的 恰如其分的
[00:04:07.540 --> 00:04:10.620]  按照著我們靈情的成長
[00:04:10.620 --> 00:04:13.980]  這樣來參與在神的國度
[00:04:13.980 --> 00:04:17.940]  很快就提到教會這個群體
[00:04:17.940 --> 00:04:20.260]  很快就已經告訴我們
[00:04:20.260 --> 00:04:22.940]  信了耶穌不是一了百了
[00:04:22.940 --> 00:04:26.020]  不是自己一個人這樣來生活
[00:04:26.020 --> 00:04:29.260]  而是要加入一個地方的組織
[00:04:29.260 --> 00:04:32.060]  稱為耶穌基督的身體
[00:04:32.060 --> 00:04:35.060]  當然那個是一個很淑靈的概念
[00:04:35.060 --> 00:04:38.340]  就是說很小的每一個基督徒
[00:04:38.340 --> 00:04:41.140]  就是在基督耶穌的身體裏面
[00:04:41.140 --> 00:04:43.540]  但是這個身體裏面
[00:04:43.540 --> 00:04:46.060]  也都代表著我們實實在在
[00:04:46.060 --> 00:04:48.580]  是要參與一個地方
[00:04:48.580 --> 00:04:51.700]  一個社群的教會
[00:04:51.700 --> 00:04:55.380]  所以羅馬的弟兄姊妹
[00:04:55.380 --> 00:04:59.300]  他們如果是由司徒函主的第二章
[00:04:59.300 --> 00:05:02.060]  在那個五旬節信主
[00:05:02.060 --> 00:05:05.700]  當時一些人上去守節的猶太人
[00:05:05.700 --> 00:05:08.100]  信了主 得到聖靈
[00:05:08.100 --> 00:05:12.860]  有感度回到羅馬去設立教會
[00:05:12.860 --> 00:05:16.420]  開始有自己的聚會
[00:05:16.420 --> 00:05:19.420]  就是在羅馬的一個地方
[00:05:19.420 --> 00:05:22.540]  不知道是哪一個的省市
[00:05:22.540 --> 00:05:24.860]  那裏設立了一個聚會點
[00:05:24.860 --> 00:05:29.340]  那個聚會點就是奉基督耶穌的名字聚集
[00:05:29.340 --> 00:05:31.860]  好像當時猶太人的會堂那樣
[00:05:31.860 --> 00:05:36.540]  但是要分別的不是信獨一的耶和華
[00:05:36.540 --> 00:05:39.140]  而是相信三一真神
[00:05:39.140 --> 00:05:43.220]  這個就是很清楚的界分
[00:05:43.220 --> 00:05:46.140]  所以地方的教會
